Snapshot,Time_Gyr,Redshift,ExpansionFactor,Mass_Msun,Mass_H_Msun,Mass_B_Msun,Mass_CD_Msun,Mass_WD_Msun
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
30.0,0.4217845366394565,10.919033198155363,0.08389942232519026,219369.09375,0.0,138330.640625,0.0,81038.4609375
31.0,0.4528384166734556,10.367443572408746,0.08797052684978504,552987.375,200696.734375,200993.09375,0.0,151297.5625
32.0,0.48617612343955924,9.841380439471834,0.09223917614394847,272868.34375,0.0,101030.9609375,84894.3984375,86942.9609375
33.0,0.5182708119307342,9.388771271940549,0.09625777426642748,330702.875,70070.8671875,260632.015625,0.0,0.0
34.0,0.5564188833159369,8.907999185598532,0.1009285508878038,2385799.5,675672.8125,1253730.75,63042.09765625,393354.125
35.0,0.5973702376945801,8.449476294368743,0.10582597054568338,3424274.75,493162.4375,1880568.375,481607.84375,568936.5
36.0,0.6413297674084788,8.012172948865935,0.11096103078290759,5314011.0,1999526.0,2546096.75,357196.8125,411191.6875
37.0,0.6885170787669509,7.5951071498715965,0.11634526278301709,7394031.0,1258940.125,5091101.0,365950.875,678039.3125
38.0,0.7339395587876801,7.23627606616736,0.1214140944240273,9473216.0,2394531.5,5786591.0,472602.15625,819490.0625
39.0,0.787921774026992,6.855117262650799,0.12730554701643482,12266908.0,2440601.0,7543890.5,909741.375,1372674.25
40.0,0.8458612530579325,6.491597745667503,0.1334828742744916,12493696.0,3572927.25,5044932.0,1036194.1875,2839642.75
41.0,0.9080449696290195,6.144901203416368,0.13995994787469493,15194244.0,5647488.0,7999150.0,409329.75,1138276.75
42.0,0.9678924784861273,5.846613747881867,0.14605760406878063,16630604.0,4802122.0,8958156.0,800211.4375,2070112.625
43.0,1.0390037466243902,5.5297658079491026,0.15314484920464314,14132754.0,1662830.125,9992458.0,639978.3125,1837489.0
44.0,1.115309430693374,5.227580973127337,0.1605759932010687,17149664.0,8984800.0,4251850.5,1637305.0,2275706.25
45.0,1.197181863756146,4.939380663491011,0.1683677232791182,41579116.0,8230702.5,10639275.0,6335470.0,16373668.0
46.0,1.2850184010331818,4.664517702470927,0.1765375363843931,66340312.0,19032622.0,40666648.0,2417700.25,4223341.0
47.0,1.3695201902147043,4.428033736605549,0.18422877390319162,106147256.0,21449636.0,42800832.0,15874094.0,26022700.0
48.0,1.469878490582777,4.176834914726472,0.19316822276007173,159569392.0,45374748.0,54720812.0,18784440.0,40689400.0
49.0,1.577506484958674,3.9372610847275835,0.20254144612552438,254367392.0,34988832.0,102510128.0,39072816.0,77795616.0
50.0,1.6929110344480442,3.7087742646422353,0.21236949231329916,346016736.0,84906248.0,169496752.0,26954628.0,64659104.0
