,[Fe/H]_Median,[Fe/H]_MAD,StellarAge_BinCenters_Gyr,[Fe/H]_Median_H,[Fe/H]_MAD_H,[Fe/H]_Median_B,[Fe/H]_MAD_B,[Fe/H]_Median_CD,[Fe/H]_MAD_CD,[Fe/H]_Median_WD,[Fe/H]_MAD_WD
0,0.187393,0.139949,0.5,0.064002,0.289655,0.526733,0.047866,0.142273,0.107815,0.411594,0.103612
1,0.139625,0.137413,1.5,0.130755,0.256174,0.386465,0.0444,0.104692,0.12129,0.291824,0.088407
2,0.133851,0.119445,2.5,-0.152648,0.168816,0.336748,0.051884,0.112752,0.108657,0.205458,0.110943
3,0.101354,0.107825,3.5,-0.0454,0.19441,0.231477,0.049023,0.071569,0.096495,0.130076,0.102418
4,0.216639,0.131873,4.5,-0.052196,0.16105,0.339741,0.087403,0.118078,0.111821,0.184659,0.116879
5,0.237896,0.162866,5.5,-0.242432,0.138669,0.357896,0.102275,0.131038,0.143583,0.188876,0.149683
6,0.26159,0.176081,6.5,-0.251676,0.155159,0.389006,0.107633,0.121798,0.13514,0.193074,0.15996
7,0.116119,0.19693,7.5,-0.349351,0.153996,0.308849,0.121968,0.042408,0.1665,0.062271,0.189767
8,-0.085867,0.228611,8.5,-0.466678,0.136206,0.199876,0.164631,-0.102384,0.180157,-0.106306,0.205723
9,-0.149863,0.230442,9.5,-0.569189,0.14337,0.067089,0.21535,-0.193174,0.167457,-0.186896,0.190149
10,-0.345356,0.240783,10.5,-0.671576,0.156129,-0.15718,0.219445,-0.341826,0.182866,-0.341417,0.207656
11,-0.67981,0.311119,11.5,-0.978668,0.258469,-0.399785,0.194551,-0.588621,0.265097,-0.600006,0.277699
12,-1.32832,0.345734,12.5,-1.426585,0.331735,-1.014195,0.250022,-1.256712,0.330144,-1.297366,0.351804
13,-2.05178,0.455666,13.5,-2.102603,0.46566,-1.933198,0.421208,-1.942856,0.452737,-2.08717,0.492815
