SnapshotNumber,Time_Gyr,Redshift,ExpansionFactor,VirialRadius_ckpc,VirialMass_1E10Msun,LookbackTime_Gyr,MainHaloIdx,MainSubhaloIdx
26,0.3197047486453908,13.338248289848616,0.06974352653022431,,,13.50082505051826,0,0
27,0.3432479553190217,12.674702104803705,0.07312773560520312,,,13.477281843844626,0,0
28,0.3685237986994882,12.041863543925086,0.07667615878911731,,,13.452006000464161,0,0
29,0.3928584464329656,11.497387954803507,0.08001672058325109,,,13.427671352730687,0,0
30,0.4217845366394565,10.919033198155363,0.08389942232519026,48.95051241237646,0.38495440389513,13.398745262524193,0,0
31,0.4528384166734556,10.367443572408746,0.08797052684978504,29.374106396998357,0.0832054609567767,13.367691382490193,0,0
32,0.4861761234395592,9.841380439471834,0.09223917614394847,36.13121516236306,0.15487211968178627,13.334353675724087,0,0
33,0.5182708119307342,9.388771271940547,0.09625777426642748,43.4692784697499,0.2697385903637512,13.302258987232914,0,0
34,0.5564188833159369,8.907999185598532,0.1009285508878038,47.535336358859965,0.352901647765323,13.264110915847715,0,0
35,0.5973702376945801,8.449476294368743,0.10582597054568338,55.70655201887582,0.568062607932798,13.223159561469073,0,0
36,0.6413297674084788,8.012172948865935,0.1109610307829076,68.46612479036952,1.0550717820596325,13.17920003175517,0,0
37,0.6885170787669509,7.5951071498715965,0.11634526278301707,74.253149162409,1.346592673056418,13.132012720396698,0,0
38,0.7339395587876801,7.2362760661673615,0.1214140944240273,77.9193856115624,1.5567774545377702,13.086590240375967,0,0
39,0.787921774026992,6.855117262650799,0.12730554701643482,81.2525831968784,1.766335494542555,13.032608025136655,0,0
40,0.8458612530579325,6.491597745667503,0.1334828742744916,91.39383812824569,2.515592000926686,12.974668546105713,0,0
41,0.9080449696290196,6.144901203416368,0.13995994787469493,95.57343574159174,2.8791650305178482,12.91248482953463,0,0
42,0.9678924784861273,5.846613747881866,0.14605760406878066,97.43844458394405,3.0533490287214486,12.852637320677527,0,0
43,1.0390037466243902,5.529765807949103,0.15314484920464316,97.68481836463914,3.080006034145212,12.78152605253926,0,0
44,1.115309430693374,5.2275809731273375,0.1605759932010687,96.40641219147685,2.964202925327589,12.705220368470275,0,0
45,1.197181863756146,4.939380663491012,0.1683677232791182,104.43194190080635,3.7734266120423183,12.623347935407505,0,0
