,Simulation,Abundance_OH_H,StellarAge_H_Gyr,Abundance_OH_B,StellarAge_B_Gyr,Abundance_OH_CD,StellarAge_CD_Gyr,Abundance_OH_WD,StellarAge_WD_Gyr
0,au2_or_l4_s127,-0.4451070822820853,10.267826279676006,0.17673429120891937,10.039073328723404,0.21199247372450003,5.330824582487809,0.0926418685568553,7.731535397510047
1,au3_or_l4_s127,-0.3416164861084017,10.253932966981536,0.10532038652539777,10.731084546939318,0.3111405834153904,5.1168867792024315,0.1207272279294207,8.735823556846189
2,au4_or_l4_s127,-0.07384598421195676,5.868255654268335,0.24964461711344565,5.508987438400705,0.36339963889006355,1.2798918686792486,0.1636517684932608,4.373743703196604
3,au6_or_l4_s127,-0.4001186786589468,9.476254928232512,0.0428708595168148,10.130346841198502,0.26416789157905707,5.364911865159785,0.11214592181448202,7.790491492142536
4,au7_or_l4_s127,-0.14009453970613084,5.721754223705496,0.17320116451648637,7.854530622054091,0.2329027978656828,2.3601212581830335,0.15735098986497653,4.458646629349188
5,au8_or_l4_s127,-0.3672199873806212,9.560315121480702,0.05805978564304315,9.657980722200978,0.12961759588108013,6.51417074671973,0.05703875712454831,7.623507380249688
6,au9_or_l4_s127,-0.34071963457424426,10.356666295180325,0.3327988011821583,8.916653838495067,0.22986625849466735,4.704376441801983,0.2182794432278199,7.550024852268685
7,au10_or_l4_s127,-0.29803477100950815,8.963047239952182,0.4952129884374328,6.578849666560319,0.283704330947673,4.07126750464816,0.30214116859449947,5.919279254638218
8,au12_or_l4_s127,-0.197454093520685,8.420609948061603,0.16760997362790597,8.164855895690373,0.29315465893376835,2.7827215898598574,0.1936009203904816,5.614894213193647
9,au13_or_l4_s127,-0.21180312233873488,8.103870626517747,0.4909927604279207,5.654232755337743,0.27316743722533454,4.269621752426545,0.2624708938006175,5.209731056169671
10,au14_or_l4_s127,-0.11341916294730803,8.478529138409762,0.46609726218936576,6.35229705274985,0.32107520503058606,3.528870576509771,0.23193495513981954,5.823359156285457
11,au15_or_l4_s127,-0.40103786780444706,8.00575378239715,-0.022429322719635714,7.297412570241585,0.23269771990017674,2.780340596253687,0.10590999683332813,5.047820511561266
12,au16_or_l4_s127,-0.45551826200570167,9.819471785032707,-0.08300565727361064,10.387285983969601,0.22101869704909038,4.972998446627495,0.06415076254033103,7.807992583440351
13,au17_or_l4_s127,-0.31327710493676664,10.583855782422692,0.48848626303645437,8.044993608333613,0.2458402029379445,7.120634077113882,0.2804861238095562,8.090267024887309
14,au18_or_l4_s127,-0.4551205358734971,10.901219527192922,0.47816125024863876,8.63502345239093,0.2776929562820438,5.234047117764975,0.2524472474174,7.8335533757155735
15,au20_or_l4_s127,-0.1714903765497855,6.748178656322228,0.20255198716576128,8.938075845558554,0.1351390454016541,5.1690963150425056,0.09316136798128616,6.8877082964904055
16,au21_or_l4_s127,-0.26077297897471974,8.468543844350979,0.15613418300728998,8.061276554166806,0.316017792505364,4.608227894386449,0.20702726896748325,6.177097085886464
17,au22_or_l4_s127,-0.3532279939938183,10.159179781233112,0.43380124829070166,7.859480155237275,0.2691389746282802,5.564474838180743,0.2687321093849002,7.547165739899368
18,au23_or_l4_s127,-0.36042883420034677,10.094707009144646,0.39848295558420066,9.325031476415639,0.27878523524266896,4.991177491194744,0.2471241414136749,7.424823649693755
19,au24_or_l4_s127,-0.36307355895323745,10.31307795521866,0.30224719496126307,9.123992261271482,0.1996755974590494,5.329217792205094,0.11112830919806438,7.810216010504252
20,au25_or_l4_s127,-0.48565436468769985,9.788590091284036,-0.05770233813283987,10.857735798447754,0.1892472247103596,6.162403512366736,0.12916238305205474,7.363734128102542
21,au26_or_l4_s127,-0.26163644634032845,10.239795635315248,0.5421614715498455,7.109815080704429,0.3190546316696361,4.839743652747454,0.3712817900016594,5.9838449726117
22,au27_or_l4_s127,-0.34973717930917836,9.851407440367737,0.22107475806682286,9.336667344326887,0.3097726267893899,4.333485683788197,0.23315576455696085,6.981353880695422
