,[Fe/H]_Median,[Fe/H]_MAD,StellarAge_BinCenters_Gyr,[Fe/H]_Median_H,[Fe/H]_MAD_H,[Fe/H]_Median_B,[Fe/H]_MAD_B,[Fe/H]_Median_CD,[Fe/H]_MAD_CD,[Fe/H]_Median_WD,[Fe/H]_MAD_WD
0,0.441686,0.202245,0.5,0.126578,0.040467,0.865479,0.049438,0.39417,0.114358,0.343163,0.194792
1,0.533617,0.209813,1.5,0.223842,0.088028,0.784637,0.082265,0.500206,0.158984,0.486014,0.193493
2,0.492996,0.244385,2.5,0.153462,0.109312,0.798894,0.086429,0.324971,0.140155,0.475339,0.16983
3,0.420098,0.213741,3.5,0.023033,0.123933,0.548129,0.17154,0.248999,0.16103,0.346864,0.183274
4,0.164253,0.155062,4.5,0.053221,0.158782,0.276301,0.111921,0.219483,0.131899,0.206615,0.133299
5,0.152368,0.188767,5.5,0.061631,0.180665,0.349923,0.154305,0.221624,0.148657,0.213805,0.161357
6,0.10297,0.179507,6.5,0.034581,0.175693,0.284681,0.19153,0.148661,0.152092,0.144204,0.164382
7,0.033182,0.213151,7.5,-0.075702,0.196448,0.264663,0.175552,0.0908,0.184089,0.086426,0.192215
8,-0.04718,0.209272,8.5,-0.146802,0.186109,0.201673,0.200883,-0.004737,0.18763,-0.010722,0.197263
9,-0.185294,0.239632,9.5,-0.316278,0.20359,0.055367,0.226274,-0.136134,0.225137,-0.142918,0.224592
10,-0.284963,0.243948,10.5,-0.451871,0.208241,-0.064437,0.223585,-0.241637,0.216964,-0.247503,0.220714
11,-0.48838,0.277526,11.5,-0.811268,0.255955,-0.325904,0.214883,-0.419727,0.236312,-0.438754,0.247654
12,-0.98901,0.365047,12.5,-1.198767,0.326671,-0.675452,0.259959,-0.895335,0.34112,-0.905028,0.349438
13,-1.614161,0.486558,13.5,-1.84829,0.458716,-1.292124,0.392485,-1.426789,0.486094,-1.551503,0.495335
