SnapshotNumber,Time_Gyr,StellarMassInR200_Msun,StellarMassIn0.5R200_Msun,StellarMassIn0.3R200_Msun
0,,,,
1,,,,
2,,,,
3,,,,
4,,,,
5,,,,
6,,,,
7,,,,
8,,,,
9,,,,
10,,,,
11,,,,
12,,,,
13,,,,
14,,,,
15,,,,
16,,,,
17,,,,
18,,,,
19,,,,
20,,,,
21,,,,
22,,,,
23,,,,
24,,,,
25,,,,
26,,,,
27,,,,
28,,,,
29,,,,
30,,,,
31,,,,
32,,,,
33,,,,
34,,,,
35,0.597,6652408.0,63152.0,0.0
36,0.641,98120.0,0.0,0.0
37,0.689,591984.0,333872.0,131112.0
38,0.734,276720.0,33424.0,0.0
39,0.788,346896.0,0.0,0.0
40,0.846,1588704.0,617472.0,0.0
41,0.908,3317844.0,929328.0,0.0
42,0.968,1373856.0,152224.0,0.0
43,1.039,1033504.0,269888.0,0.0
44,1.115,647904.0,0.0,0.0
45,1.197,29075200.0,9843640.0,7090832.0
46,1.285,137031120.0,21617056.0,10194944.0
47,1.37,119112800.0,106801312.0,1180032.0
48,1.47,6513472.0,3622144.0,3519232.0
49,1.578,14740096.0,752640.0,109184.0
50,1.693,23583744.0,16412928.0,1425792.0
51,1.817,200274304.0,26995584.0,19846592.0
52,1.949,1964570880.0,173790336.0,2976768.0
53,2.091,2201570304.0,1069467648.0,829019648.0
54,2.244,1387833344.0,996120576.0,590207488.0
55,2.39,1070438400.0,598275072.0,209817600.0
56,2.545,745085952.0,172163072.0,109628416.0
57,2.691,745362432.0,123312128.0,77208576.0
58,2.846,701319168.0,21037056.0,12701696.0
59,2.988,656055296.0,20909056.0,7752704.0
60,3.137,479567872.0,113432576.0,999424.0
61,3.293,357628928.0,108906496.0,103759872.0
62,3.456,610269184.0,123201536.0,675840.0
63,3.602,584255488.0,92585984.0,1267712.0
64,3.754,594198528.0,101076992.0,1097728.0
65,3.911,589588480.0,72050688.0,43163648.0
66,4.047,576256000.0,496367616.0,27750400.0
67,4.217,525633536.0,479913984.0,46200832.0
68,4.362,498085888.0,453036032.0,30654464.0
69,4.513,498913280.0,135426048.0,15888384.0
70,4.668,498624512.0,215490560.0,7526400.0
71,4.827,497033216.0,433342464.0,931840.0
72,4.992,453316608.0,403156992.0,343009280.0
73,5.127,396263424.0,347648000.0,346126336.0
74,5.301,363601920.0,324288512.0,291989504.0
75,5.444,345053184.0,309235712.0,9322496.0
76,5.59,341106688.0,307703808.0,186695680.0
77,5.739,290131968.0,253849600.0,252026880.0
78,5.93,228954112.0,191860736.0,188203008.0
79,6.087,202432512.0,170446848.0,166117376.0
80,6.207,184958976.0,158363648.0,155197440.0
81,6.37,143224832.0,125300736.0,119025664.0
82,6.537,110596096.0,92983296.0,92934144.0
83,6.707,88829952.0,73564160.0,71028736.0
84,6.836,73519104.0,57769984.0,55517184.0
85,7.013,97869824.0,35934208.0,35934208.0
86,7.147,76890112.0,15691776.0,15577088.0
87,7.33,63369216.0,397312.0,0.0
88,7.469,63942656.0,3665920.0,172032.0
89,7.658,59883520.0,44810240.0,12951552.0
90,7.802,57155584.0,42962944.0,41955328.0
91,7.948,57970688.0,45834240.0,1056768.0
92,8.096,56737792.0,48668672.0,2342912.0
93,8.296,53297152.0,5296128.0,4616192.0
94,8.449,53944320.0,5931008.0,2883584.0
95,8.603,71938048.0,4943872.0,131072.0
96,8.76,381972480.0,1200128.0,0.0
97,8.919,31642136576.0,4452352.0,81920.0
98,9.079,32482123776.0,13017088.0,28672.0
99,9.242,33091375104.0,29472919552.0,2543616.0
100,9.407,30932250624.0,30919909376.0,30633996288.0
101,9.573,25485848576.0,25475526656.0,25437216768.0
102,9.742,21804474368.0,21788131328.0,21664612352.0
103,9.855,141287424.0,87998464.0,925696.0
104,10.026,331603968.0,3899392.0,221184.0
105,10.2,406872064.0,2121728.0,540672.0
106,10.375,399695872.0,1744896.0,598016.0
107,10.552,408182784.0,87498752.0,245760.0
108,10.671,410230784.0,313630720.0,204800.0
109,10.852,403652608.0,315162624.0,293167104.0
110,11.034,435994624.0,353517568.0,2523136.0
111,11.156,453025792.0,399851520.0,0.0
112,11.341,460062720.0,43827200.0,16523264.0
113,11.527,422109184.0,33144832.0,0.0
114,11.652,420290560.0,35684352.0,3342336.0
115,11.842,4778196992.0,35078144.0,0.0
116,11.969,7913586688.0,35700736.0,0.0
117,12.161,12006072320.0,32194560.0,0.0
118,12.355,12260786176.0,32825344.0,0.0
119,12.485,12408823808.0,33595392.0,0.0
120,12.681,12608176128.0,35307520.0,368640.0
121,12.812,12725141504.0,43294720.0,0.0
122,13.011,12854697984.0,40394752.0,49152.0
123,13.145,4502577152.0,40640512.0,319488.0
124,13.346,4321411072.0,34324480.0,278528.0
125,13.481,4346929152.0,34709504.0,327680.0
126,13.684,54108160.0,35250176.0,352256.0
127,13.821,44015616.0,34889728.0,417792.0
