,Time_Gyr,ExpansionFactor,zPositionAbsMedian_kpc
0,,,
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
11,,,
12,,,
13,,,
14,,,
15,,,
16,,,
17,,,
18,,,
19,,,
20,,,
21,,,
22,,,
23,,,
24,,,
25,,,
26,,,
27,,,
28,,,
29,,,
30,,,
31,,,
32,,,
33,,,
34,,,
35,,,
36,,,
37,,,
38,,,
39,,,
40,,,
41,,,
42,,,
43,,,
44,,,
45,,,
46,,,
47,,,
48,,,
49,,,
50,,,
51,,,
52,1.949231863937383,0.23347940267290615,2.296683160716113
53,2.0913186379114133,0.24480867081657914,1.0039996775795006
54,2.243523728229641,0.2566876761756205,0.9721274337147789
55,2.38970908764874,0.2678708269437177,0.7006646446920769
56,2.545136331266385,0.27954119573086944,0.617690261727586
57,2.6914781240414243,0.29034101878914165,0.5601552904332747
58,2.845920886458248,0.30155808331261197,0.6136875794196008
59,2.988012615874371,0.3117279402557108,0.5874951464746834
60,3.1368772698499368,0.32224076923625916,0.5649715189651986
61,3.29278934427696,0.3331081367707903,0.5603801223044156
62,3.4560273421127374,0.344341999449342,0.596540200549059
63,3.6019897617620327,0.3542720825792927,0.629256483488139
64,3.7537195774394347,0.3644885279628326,0.6140119638055886
65,3.911395417791096,0.3749995936718436,0.639253085537864
66,4.047462659359281,0.3839899945738943,0.741427590055263
67,4.216501575170758,0.395063440663206,0.8226466426547966
68,4.362284942489244,0.40453486082803386,0.8816155299779267
69,4.51264561130662,0.41423335287728646,0.9706345580020064
70,4.667681813768118,0.42416436072959446,1.2260469152364324
71,4.827489579195381,0.4343334588184266,1.1928781394576506
72,4.992162284945694,0.4447463552211064,1.1119460390430234
73,5.127463975584815,0.45325613023749545,1.1219086281275088
74,5.301118608921481,0.46412268687092223,1.0386621228647264
75,5.443716379840261,0.4730032085410998,1.0211072465853888
76,5.589624137566063,0.4820536500780824,1.0189645291231493
77,5.738880497072539,0.4912772627279358,1.0411855549354043
78,5.930215178562359,0.5030553542792862,1.0262643906599118
79,6.087135431528504,0.5126808134549512,1.014787543781776
80,6.207093384097111,0.5200205801199638,1.026019488086862
81,6.370083836372647,0.5299706518603222,0.9825771221609683
82,6.536579634205232,0.5401111082343341,0.9917843129102311
83,6.706603691236406,0.5504455920608321,0.9507602206972832
84,6.836449148310662,0.5583260161014446,0.9403397577429665
85,7.012693145756433,0.5690090239036288,0.9557780712793352
86,7.147221247683246,0.5771552102951079,0.9557437541641983
87,7.329727457563047,0.5881984958251407,0.9263409949774175
88,7.468962790806977,0.596619407235837,0.931692361230751
89,7.657754221443944,0.6080351206337894,0.9087551837476999
90,7.80170653839661,0.616740021992414,0.9317893316447415
91,7.947679589081643,0.6255695465925124,0.9375468353323195
92,8.095671082722221,0.6345254785958663,0.960165175609868
93,8.296126559325902,0.6466664866145445,0.9402563146000956
94,8.448811765562718,0.6559244517992534,0.9808922398386726
95,8.60349865622863,0.6653149581332802,0.9602162651583467
96,8.760179450310375,0.6748399031346985,0.9673496730032639
97,8.918845098217659,0.684501211487295,0.9637544071436607
98,9.079485288786328,0.6943008354294861,0.9533918646011451
99,9.242088459951992,0.7042407551488017,0.9539470854362667
100,9.406641813093389,0.7143229791820179,0.9624905431887489
101,9.573131331020738,0.7245495448210172,0.9563277137613027
102,9.741541799560094,0.7349225185244588,0.951508250020157
103,9.854874595547287,0.7419202059930923,0.9506747257515672
104,10.026449669104903,0.7525418658117033,0.936191623876605
105,10.19989947196752,0.7633155900388464,0.9429037171302641
106,10.375204641492832,0.7742435556962617,0.9524392756710172
107,10.552344763553133,0.7853279709729014,0.9515861322001546
108,10.67144705609926,0.7928056023731169,0.955277313647447
109,10.85159733936031,0.8041557601699713,0.9689641194829895
110,11.033523308792786,0.8156684118765909,0.9727914617672172
111,11.155782009390867,0.823434934850752,0.9651982541069283
112,11.340613907183545,0.8352235958012078,0.963028245245259
113,11.527155884914245,0.8471810284677068,0.9775116519710169
114,11.652454415336605,0.8552476040823377,0.9849111017276782
115,11.841788296065106,0.8674917093619414,0.9776790510579431
116,11.968923189270404,0.8757516765159388,0.9805708801537543
117,12.160973462266846,0.8882893272206793,0.9715947729451193
118,12.354616159128053,0.9010064725120812,0.9606681584958806
119,12.48458181323533,0.9095855560793044,0.987884797359188
120,12.680814521632618,0.9226075876597282,0.9673446713707664
121,12.812479750823842,0.9313923498515226,0.9898921906939226
122,13.011220678541196,0.9447265771954694,0.9686359723552489
123,13.144530370226075,0.9537219490392906,0.9620133340100112
124,13.345696086314069,0.9673758568617342,0.9865863266575696
125,13.48059417811007,0.9765868876036025,0.9674595947244308
126,13.684100038722406,0.99056814006128,0.9794153380182782
127,13.82052979916365,0.9999999999999998,0.9094349740319162
