,[Fe/H]_Median,[Fe/H]_MAD,StellarAge_BinCenters_Gyr,[Fe/H]_Median_H,[Fe/H]_MAD_H,[Fe/H]_Median_B,[Fe/H]_MAD_B,[Fe/H]_Median_CD,[Fe/H]_MAD_CD,[Fe/H]_Median_WD,[Fe/H]_MAD_WD
0,0.174419,0.162296,0.5,0.396303,0.061878,0.645188,0.047502,0.138439,0.145408,0.48658,0.122873
1,0.096877,0.164973,1.5,0.323101,0.06894,0.582946,0.047423,0.061729,0.145956,0.458099,0.124418
2,0.09176,0.210383,2.5,0.454672,0.027937,0.624542,0.038189,0.050203,0.176713,0.459301,0.160762
3,0.090336,0.174303,3.5,-0.122051,0.306498,0.44138,0.078488,0.048566,0.150756,0.251526,0.163794
4,0.032867,0.17774,4.5,-0.360947,0.088702,0.37101,0.052187,0.005606,0.154424,0.119719,0.224177
5,-0.006303,0.164852,5.5,-0.325212,0.136319,0.239584,0.057546,-0.027585,0.140453,-0.002655,0.194512
6,0.062424,0.166144,6.5,-0.309163,0.127421,0.2233,0.09454,-0.033244,0.135077,0.062737,0.15852
7,0.14984,0.191835,7.5,-0.409084,0.069124,0.268223,0.135386,-0.01529,0.163662,0.095685,0.179955
8,0.020024,0.25247,8.5,-0.470229,0.080507,0.195356,0.230953,-0.107175,0.175048,-0.035542,0.209159
9,-0.158102,0.229331,9.5,-0.488825,0.169876,0.017055,0.207745,-0.17537,0.166359,-0.148776,0.19467
10,-0.44797,0.250912,10.5,-0.563998,0.223524,-0.122279,0.177248,-0.356538,0.256869,-0.372455,0.248725
11,-0.650648,0.316299,11.5,-0.862669,0.264147,-0.306326,0.214435,-0.551337,0.296969,-0.571652,0.303769
12,-0.95075,0.364645,12.5,-1.268617,0.318524,-0.628369,0.229229,-0.876424,0.331788,-0.877659,0.342512
13,-1.616765,0.476403,13.5,-1.915805,0.431113,-1.262306,0.355156,-1.475275,0.419052,-1.478119,0.467682
