Snapshot,Time_Gyr,Redshift,ExpansionFactor,Mass_Msun,Mass_H_Msun,Mass_B_Msun,Mass_CD_Msun,Mass_WD_Msun
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
30.0,0.4217845366394565,10.919033198155363,0.08389942232519026,3374713.0,910214.125,1566140.875,241998.84375,656358.625
31.0,0.4528384166734556,10.367443572408746,0.08797052684978504,5861100.5,1494453.625,3509896.25,229133.34375,627617.6875
32.0,0.48617612343955924,9.841380439471834,0.09223917614394847,10740680.0,2379060.5,6586261.0,712466.3125,1062892.25
33.0,0.5182708119307342,9.388771271940549,0.09625777426642748,17472264.0,6150768.5,8321125.5,867499.75,2132870.25
34.0,0.5564188833159369,8.907999185598532,0.1009285508878038,25148802.0,3954326.75,10473276.0,4626126.5,6095073.0
35.0,0.5973702376945801,8.449476294368743,0.10582597054568338,35362260.0,7367401.5,15576282.0,4010967.75,8407610.0
36.0,0.6413297674084788,8.012172948865935,0.11096103078290759,48277688.0,13644510.0,19505032.0,4261201.0,10866944.0
37.0,0.6885170787669509,7.5951071498715965,0.11634526278301709,65740072.0,14423518.0,33665248.0,4626136.5,13025170.0
38.0,0.7339395587876801,7.23627606616736,0.1214140944240273,93897496.0,29092536.0,42534096.0,6238954.5,16031910.0
39.0,0.787921774026992,6.855117262650799,0.12730554701643482,131838912.0,44406464.0,56449568.0,8085042.0,22897834.0
40.0,0.8458612530579325,6.491597745667503,0.1334828742744916,181038848.0,50438724.0,96416968.0,9517635.0,24665532.0
41.0,0.9080449696290195,6.144901203416368,0.13995994787469493,236647648.0,68687784.0,121062672.0,14808593.0,32088592.0
42.0,0.9678924784861273,5.846613747881867,0.14605760406878063,279242624.0,72766992.0,149271424.0,16364960.0,40839232.0
43.0,1.0390037466243902,5.5297658079491026,0.15314484920464314,317988960.0,79724648.0,172948624.0,20266876.0,45048816.0
44.0,1.115309430693374,5.227580973127337,0.1605759932010687,386370176.0,94531376.0,198110656.0,28639232.0,65088880.0
45.0,1.197181863756146,4.939380663491011,0.1683677232791182,522841536.0,130350400.0,267696656.0,37721308.0,87073168.0
46.0,1.2850184010331818,4.664517702470927,0.1765375363843931,645029184.0,169350688.0,361201344.0,30155068.0,84322064.0
47.0,1.3695201902147043,4.428033736605549,0.18422877390319162,276150080.0,88361912.0,132622400.0,17169140.0,37996632.0
48.0,1.469878490582777,4.176834914726472,0.19316822276007173,342476160.0,57051372.0,175303904.0,30304068.0,79816824.0
49.0,1.577506484958674,3.9372610847275835,0.20254144612552438,478944992.0,67746288.0,257490912.0,43222404.0,110485360.0
50.0,1.6929110344480442,3.7087742646422353,0.21236949231329916,729197440.0,159145248.0,403208128.0,46362304.0,120481816.0
