,Time_Gyr,ExpansionFactor,zPositionAbsMedian_kpc
0,,,
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
11,,,
12,,,
13,,,
14,,,
15,,,
16,,,
17,,,
18,,,
19,,,
20,,,
21,,,
22,,,
23,,,
24,,,
25,,,
26,,,
27,,,
28,,,
29,,,
30,,,
31,,,
32,,,
33,,,
34,,,
35,,,
36,,,
37,,,
38,,,
39,,,
40,,,
41,,,
42,,,
43,,,
44,,,
45,,,
46,,,
47,,,
48,,,
49,,,
50,,,
51,,,
52,,,
53,,,
54,,,
55,,,
56,,,
57,,,
58,,,
59,,,
60,,,
61,,,
62,,,
63,,,
64,,,
65,,,
66,,,
67,,,
68,,,
69,,,
70,,,
71,,,
72,,,
73,,,
74,,,
75,,,
76,,,
77,,,
78,,,
79,,,
80,,,
81,,,
82,,,
83,,,
84,,,
85,,,
86,,,
87,,,
88,,,
89,,,
90,,,
91,7.947679589081643,0.6255695465925124,0.27425004100642086
92,8.095671082722221,0.6345254785958663,0.27411277351827357
93,8.296126559325902,0.6466664866145445,0.29302937696214587
94,8.448811765562718,0.6559244517992534,0.3034427934550474
95,8.60349865622863,0.6653149581332802,0.29696686717327403
96,8.760179450310375,0.6748399031346985,0.30588222815297356
97,8.918845098217659,0.684501211487295,0.31457060436767753
98,9.079485288786328,0.6943008354294861,0.33169522466471063
99,9.242088459951992,0.7042407551488017,0.3290178411326981
100,9.406641813093389,0.7143229791820179,0.32536885980181185
101,9.573131331020738,0.7245495448210172,0.3205338242959202
102,9.741541799560094,0.7349225185244588,0.3255270533728802
103,9.854874595547287,0.7419202059930923,0.3227100455830167
104,10.026449669104903,0.7525418658117033,0.32707474931994934
105,10.19989947196752,0.7633155900388464,0.32830894969974633
106,10.375204641492832,0.7742435556962617,0.3293204690316423
107,10.552344763553133,0.7853279709729014,0.33470907592277366
108,10.67144705609926,0.7928056023731169,0.33473786026063373
109,10.85159733936031,0.8041557601699713,0.3434008142911665
110,11.033523308792786,0.8156684118765909,0.3451162859483914
111,11.155782009390867,0.823434934850752,0.3501407897742131
112,11.340613907183545,0.8352235958012078,0.35971667129741874
113,11.527155884914245,0.8471810284677068,0.36280260843602924
114,11.652454415336605,0.8552476040823377,0.3618490074032387
115,11.841788296065106,0.8674917093619414,0.3629437730962216
116,11.968923189270404,0.8757516765159388,0.3679862129244902
117,12.160973462266846,0.8882893272206793,0.3727388946578349
118,12.354616159128053,0.9010064725120812,0.3747361409993057
119,12.48458181323533,0.9095855560793044,0.3718678237283024
120,12.680814521632618,0.9226075876597282,0.3712203521192138
121,12.812479750823842,0.9313923498515226,0.37409032118237373
122,13.011220678541196,0.9447265771954694,0.3766685139580855
123,13.144530370226075,0.9537219490392906,0.3780965030117391
124,13.345696086314069,0.9673758568617342,0.3748478398490596
125,13.48059417811007,0.9765868876036025,0.37710478304616535
126,13.684100038722406,0.99056814006128,0.37515725973664626
127,13.82052979916365,0.9999999999999998,0.39252676710860646
