,[Fe/H]_Median,AgeBinCenters_Gyr,[Fe/H]_Median_H,[Fe/H]_Median_B,[Fe/H]_Median_CD,[Fe/H]_Median_WD
0,0.20996776064769218,0.5,,1.0131157225356935,0.19977105389009164,0.8085262566561107
1,0.16963991895353425,1.5,-0.508547866424935,1.040726341769369,0.16012418593930988,0.7269264506967579
2,0.15891321950549742,2.5,-0.1885961510109877,0.890173726656867,0.14460537268475981,0.550469873611946
3,0.09892419569136024,3.5,-0.42910865440930834,0.8431056267343315,0.09397239580491767,0.1857709255268869
4,0.11077353614730479,4.5,-0.33547991762300455,0.8191281984614696,0.09969205493004285,0.17827282108001086
5,0.04105718825683624,5.5,-0.36390723283597604,0.6283490486399921,0.01757636556602904,0.10452739133598143
6,-0.018531728789683566,6.5,-0.38697417870394357,0.5145280359829929,-0.017752875722742534,-0.03260643236261895
7,-0.08246600180244767,7.5,-0.41885071113342853,0.20251202241403465,-0.07609735426754627,-0.09093109945082212
8,-0.22064218648116318,8.5,-0.5614582903252034,-0.06803444987649154,-0.17596693041392975,-0.17253622762420395
9,-0.32326344439566945,9.5,-0.6293070647274766,-0.12074134213722232,-0.3054497326017218,-0.287220187961192
10,-0.4188371894377978,10.5,-0.7772662010577456,-0.26668040635553814,-0.4417277139755891,-0.42754910390903067
11,-0.6322463362922335,11.5,-1.00396570736254,-0.5377354577585995,-0.6097003651759971,-0.6073792454316171
12,-1.1120557275404783,12.5,-1.3808999863075133,-0.9050824331832925,-1.1033912254080742,-1.0781172796528944
13,-1.7232772935433287,13.5,-2.1835015374292976,-1.5159473938483439,-1.758252601285541,-1.6717713846651177
