CylindricalRadius_ckpc,SurfaceDensity_Type0_Msun/ckpc^2,SurfaceDensity_Type4_Msun/ckpc^2,SurfaceDensity_Type4_H_Msun/ckpc^2,SurfaceDensity_Type4_B_Msun/ckpc^2,SurfaceDensity_Type4_CD_Msun/ckpc^2,SurfaceDensity_Type4_WD_Msun/ckpc^2
0.25,25.0179,1584.9115,0.6378,1014.7378,185.8793,383.6566
0.75,34.9442,1055.5326,0.834,551.6623,197.5782,305.458
1.25,19.0339,590.4965,0.8461,262.1311,141.9468,185.5726
1.75,12.8966,379.6749,0.7207,142.9736,110.6064,125.3743
2.25,11.4266,279.0529,1.121,91.8026,89.7011,96.4282
2.75,10.6893,226.217,0.9078,67.1654,77.6901,80.4537
3.25,8.47,183.0991,0.9889,48.0594,69.5893,64.4615
3.75,8.2665,153.3211,1.0154,34.6335,68.0122,49.6599
4.25,7.9055,133.4181,1.023,25.7681,67.336,39.291
4.75,7.62,117.7461,1.0908,19.9254,64.3254,32.4045
5.25,7.7035,99.1545,1.1707,15.9195,55.9478,26.1165
5.75,7.8405,84.8983,1.1989,12.6823,49.3325,21.6845
6.25,8.1086,73.7543,1.282,10.4482,43.4089,18.6153
6.75,7.9122,64.1319,1.4085,8.6508,38.2122,15.8604
7.25,7.6805,57.3509,1.5466,7.0626,34.8952,13.8464
7.75,8.0384,53.3941,1.5594,5.7458,33.1345,12.9543
8.25,8.4742,49.0735,1.8721,4.7097,30.8042,11.6876
8.75,8.4885,45.6231,1.9814,3.9627,29.2083,10.4708
9.25,8.472,41.5483,2.2917,3.0054,27.3313,8.9199
9.75,7.9191,38.2807,2.7094,2.2171,25.2198,8.1343
10.25,7.4924,34.7243,3.2638,1.2213,22.9716,7.2676
10.75,6.8833,31.7153,4.0269,0.0917,20.8986,6.6982
11.25,6.6567,28.6089,3.727,0.0,18.9241,5.9578
11.75,6.7245,26.5785,3.3695,0.0,17.8738,5.3351
12.25,6.989,24.6475,3.2159,0.0,16.8522,4.5794
12.75,7.5644,22.4716,2.8702,0.0,15.5179,4.0834
13.25,7.9146,20.726,2.5933,0.0,14.4322,3.7005
13.75,8.2595,18.5593,2.3833,0.0,12.9432,3.2327
14.25,8.3487,16.65,2.1238,0.0,11.7027,2.8235
14.75,8.3393,14.9719,1.9507,0.0,10.5462,2.475
15.25,8.4278,13.556,1.8225,0.0,9.5068,2.2267
15.75,8.337,12.3922,1.6419,0.0,8.7143,2.0361
16.25,8.5306,11.342,1.4713,0.0,7.9866,1.8841
16.75,8.8499,10.2574,1.3757,0.0,7.1482,1.7335
17.25,8.523,9.201,1.2445,0.0,6.4375,1.519
17.75,8.7721,8.4188,1.1711,0.0,5.8972,1.3505
18.25,9.0921,7.754,1.0985,0.0,5.4801,1.1754
18.75,9.509,7.3113,1.0364,0.0,5.1975,1.0774
19.25,10.1181,6.865,0.9716,0.0,4.9317,0.9618
19.75,10.3993,6.5327,0.8825,0.0,4.7664,0.8838
20.25,10.5633,6.0854,0.8324,0.0,4.4123,0.8407
20.75,10.7616,5.7166,0.7889,0.0,4.1609,0.7667
21.25,11.1968,5.2658,0.7737,0.0,3.8113,0.6808
21.75,11.3138,4.9024,0.7239,0.0,3.504,0.6745
22.25,10.7034,4.5325,0.6479,0.0,3.2526,0.632
22.75,10.3094,4.2372,0.6499,0.0,3.0444,0.5428
23.25,10.0451,3.7938,0.5792,0.0,2.7281,0.4865
23.75,9.906,3.6595,0.5815,0.0,2.6181,0.4599
24.25,9.3612,3.3405,0.5557,0.0,2.3849,0.3999
24.75,8.8055,2.9268,0.534,0.0,2.0287,0.3641
25.25,8.4153,2.7486,0.5052,0.0,1.9022,0.3412
25.75,7.7766,2.5074,0.4737,0.0,1.689,0.3447
26.25,7.6531,2.3414,0.4532,0.0,1.6015,0.2868
26.75,7.3309,2.1618,0.4863,0.0,1.4147,0.2607
27.25,7.272,1.9827,0.4515,0.0,1.2869,0.2443
27.75,7.1076,1.7856,0.4325,0.0,1.1504,0.2026
28.25,6.9353,1.656,0.3969,0.0,1.0665,0.1927
28.75,6.6498,1.5339,0.3791,0.0,0.9658,0.1889
29.25,6.6091,1.4412,0.3638,0.0,0.8939,0.1836
29.75,6.6664,1.2853,0.3714,0.0,0.7596,0.1544
30.25,6.5455,1.2053,0.3699,0.0,0.6906,0.1448
30.75,6.1439,1.057,0.3445,0.0,0.5883,0.1242
31.25,5.85,0.9562,0.3427,0.0,0.4787,0.1348
31.75,5.4307,0.8649,0.3286,0.0,0.4192,0.1171
32.25,4.9106,0.7896,0.3103,0.0,0.3587,0.1206
32.75,4.5422,0.6906,0.2983,0.0,0.2863,0.106
33.25,4.3563,0.633,0.3014,0.0,0.2256,0.1061
33.75,4.0413,0.5424,0.2703,0.0,0.175,0.097
34.25,3.8917,0.4981,0.2639,0.0,0.1435,0.0907
34.75,3.6774,0.4555,0.2531,0.0,0.1184,0.084
35.25,3.437,0.4192,0.2407,0.0,0.0949,0.0835
35.75,3.1338,0.4068,0.2401,0.0,0.0934,0.0733
36.25,3.075,0.3743,0.2427,0.0,0.0651,0.0665
36.75,2.8595,0.3538,0.2225,0.0,0.0644,0.0669
37.25,2.6974,0.3238,0.2087,0.0,0.0476,0.0675
37.75,2.5475,0.2875,0.1962,0.0,0.0354,0.0558
38.25,2.3871,0.295,0.2118,0.0,0.0339,0.0493
38.75,2.2892,0.2685,0.1949,0.0,0.0235,0.0501
39.25,2.0916,0.2507,0.19,0.0,0.0183,0.0425
39.75,1.843,0.2222,0.1647,0.0,0.0123,0.0452
40.25,1.7573,0.2072,0.1542,0.0,0.0156,0.0374
40.75,1.6011,0.1999,0.1519,0.0,0.0153,0.0327
41.25,1.5213,0.1871,0.1423,0.0,0.0123,0.0325
41.75,1.4216,0.1912,0.1524,0.0,0.0081,0.0307
42.25,1.3947,0.1699,0.1353,0.0,0.0086,0.026
