,Time_Gyr,ExpansionFactor,zPositionMedian_kpc,zPosition16thPercentile_kpc,zPosition84thPercentile_kpc,zPositionAbsMedian_kpc,zPositionAbs16thPercentile_kpc,zPositionAbs84thPercentile_kpc,zAngularMomFracMedian,zAngularMomFrac16thPercentile,zAngularMomFrac84thPercentile,CircularityMedian,Circularity16thPercentile,Circularity84thPercentile
0,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,
40,0.8458612530579325,0.1334828742744916,-0.27336521179660944,-0.6420705507456318,0.031629913881581706,0.27336521179660944,0.11067656313953539,0.6420705507456318,0.845540613074841,0.7553963874982417,0.9584762694997442,0.9297364850542007,0.7848639884991372,1.1118661284493976
41,0.9080449696290195,0.13995994787469493,-0.2640249155000279,-1.2462139250908473,0.3404889810361194,0.46597768979926074,0.11553486881144515,1.2851992253496853,0.7541047050291818,0.6287931179049394,0.9645192615892706,0.91881175413779,0.5444677074011689,1.1180529611039238
42,0.9678924784861273,0.14605760406878063,-0.07599233714034223,-1.7432623310904993,0.8526249306911166,0.7773602513334887,0.10239660855486042,2.1472941311514986,-0.46947378475206936,-0.8926175720651244,0.7963901686933329,-0.28210046823155943,-0.7451838358210405,0.6526007837608263
43,1.0390037466243902,0.15314484920464314,-0.2157371497941447,-1.0430195971500018,0.4670178712696306,0.5074398546734824,0.17433902894748282,1.2040364333180498,0.18438937975687936,-0.7299625698249874,0.8925011419498434,0.07490551420094482,-0.4047381754927367,0.7096125294267783
