,Time_Gyr,ExpansionFactor,zPositionMedian_kpc,zPosition16thPercentile_kpc,zPosition84thPercentile_kpc,zPositionAbsMedian_kpc,zPositionAbs16thPercentile_kpc,zPositionAbs84thPercentile_kpc,zAngularMomFracMedian,zAngularMomFrac16thPercentile,zAngularMomFrac84thPercentile,CircularityMedian,Circularity16thPercentile,Circularity84thPercentile
0,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,
40,0.8458612530579325,0.1334828742744916,-0.10626125553333209,-3.6227964218499267,0.5608925990781589,0.8748473541894489,0.3522088071032895,3.8687439734198836,0.8698505642889461,0.7415541167981203,0.8820067155877263,0.8067179448733224,0.7754009058150967,0.907807335699439
41,0.9080449696290195,0.13995994787469493,-1.2469279690942578,-1.9373299158164043,0.12214207752856125,1.2469279690942578,0.20979717814803814,1.9373299158164043,0.8079641631274763,0.7039737362327622,0.9327303870336457,0.8968135247611304,0.7977501840521195,1.1734817880452053
42,0.9678924784861273,0.14605760406878063,-0.4627198990648785,-1.6704199979250456,0.47341054198407423,0.9775563665020586,0.39818511071807833,1.831048659872131,-0.8512017959757219,-0.9379812544689,0.7917490002469032,-0.46947464524947624,-1.0039065780095502,0.20966053229561427
43,1.0390037466243902,0.15314484920464314,-0.3935998243460078,-1.95678317715104,0.5965652012947955,0.9061250074441992,0.2825624553027538,2.1388793600218423,0.35709209113423473,-0.8874063861422291,0.841712681049587,0.09454438366366853,-0.6567161734786012,0.5726708673869554
