CylindricalRadius_ckpc,[Fe/H]_Stars,[Fe/H]_H_Stars,[Fe/H]_B_Stars,[Fe/H]_CD_Stars,[Fe/H]_WD_Stars,[O/H]_Stars,[O/H]_H_Stars,[O/H]_B_Stars,[O/H]_CD_Stars,[O/H]_WD_Stars,[O/Fe]_Stars,[O/Fe]_H_Stars,[O/Fe]_B_Stars,[O/Fe]_CD_Stars,[O/Fe]_WD_Stars
22.75,-0.238816,-0.753944,,-0.080889,-0.460909,0.006208,-0.467844,,0.151294,-0.196842,0.245024,0.2861,,0.232183,0.264067
23.25,-0.240192,-0.755436,,-0.080705,-0.481957,0.004112,-0.472431,,0.151039,-0.21639,0.244304,0.283004,,0.231745,0.265567
23.75,-0.249335,-0.764829,,-0.082926,-0.502942,-0.003526,-0.477471,,0.149285,-0.235685,0.24581,0.287358,,0.232211,0.267257
24.25,-0.250531,-0.770497,,-0.081332,-0.491425,-0.004254,-0.48088,,0.150968,-0.22578,0.246277,0.289617,,0.2323,0.265646
24.75,-0.26623,-0.74851,,-0.084485,-0.519781,-0.019808,-0.462159,,0.14682,-0.251997,0.246422,0.28635,,0.231305,0.267784
25.25,-0.278924,-0.788025,,-0.088648,-0.545076,-0.03161,-0.502285,,0.144069,-0.276427,0.247313,0.28574,,0.232717,0.268649
25.75,-0.291513,-0.777938,,-0.095154,-0.544473,-0.043155,-0.492925,,0.138092,-0.275571,0.248358,0.285013,,0.233246,0.268903
26.25,-0.288529,-0.791532,,-0.092087,-0.534202,-0.039866,-0.5054,,0.141618,-0.265517,0.248664,0.286132,,0.233705,0.268686
26.75,-0.316153,-0.769791,,-0.099529,-0.586362,-0.064806,-0.481302,,0.133767,-0.311281,0.251347,0.28849,,0.233296,0.275081
27.25,-0.317643,-0.80736,,-0.091431,-0.554252,-0.067114,-0.51875,,0.141593,-0.285756,0.250529,0.288609,,0.233024,0.268495
27.75,-0.317344,-0.768106,,-0.094579,-0.555916,-0.066507,-0.481669,,0.138639,-0.286095,0.250837,0.286437,,0.233218,0.269821
28.25,-0.336935,-0.815888,,-0.094099,-0.60974,-0.08546,-0.530407,,0.139268,-0.334383,0.251475,0.285481,,0.233367,0.275357
28.75,-0.345898,-0.798542,,-0.102921,-0.604196,-0.094528,-0.513049,,0.129773,-0.331594,0.25137,0.285493,,0.232694,0.272602
29.25,-0.344644,-0.78241,,-0.098897,-0.61936,-0.09235,-0.496641,,0.134397,-0.345093,0.252294,0.285769,,0.233294,0.274268
29.75,-0.38009,-0.800377,,-0.105757,-0.646385,-0.124638,-0.510413,,0.127847,-0.372244,0.255452,0.289964,,0.233604,0.274141
