,Time_Gyr,ExpansionFactor,zPositionMedian_kpc,zPosition16thPercentile_kpc,zPosition84thPercentile_kpc,zPositionAbsMedian_kpc,zPositionAbs16thPercentile_kpc,zPositionAbs84thPercentile_kpc,zAngularMomFracMedian,zAngularMomFrac16thPercentile,zAngularMomFrac84thPercentile,CircularityMedian,Circularity16thPercentile,Circularity84thPercentile
0,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,
40,0.8458612530579325,0.1334828742744916,0.023346376013359618,0.0029266451060972138,0.10520524014538629,0.023346376013359618,0.01201503554245294,0.10520524014538629,0.8910727061127939,0.7234094726504354,0.9414690030946378,1.0627563144089858,0.981934557862889,1.1496613004680833
41,0.9080449696290195,0.13995994787469493,0.05090242953179477,-0.2001085310893843,0.24177630946523798,0.2171512493325729,0.059073926827763745,0.2814541890603803,0.9074678860104833,0.747571841446037,0.9819426534258894,0.8004848028377001,0.3995633380235282,0.9525316809550258
42,0.9678924784861273,0.14605760406878063,0.0341448518988515,-0.30203209373759776,0.2871017054641674,0.19068596943068636,0.050438992944438224,0.4847531598713055,0.7951721468137881,0.7473897929857968,0.9834068887140496,0.90850421496811,0.6857401243243116,0.9604296148822642
43,1.0390037466243902,0.15314484920464314,0.2194661851553072,-0.03131551095877182,0.6700712964779387,0.2194661851553072,0.045108377325665854,0.6700712964779387,0.2301855310270656,-0.6929783533758238,0.7759213252214032,0.05499854341078521,-0.2212269282664856,0.27334039812334154
