,[Fe/H]_Median,[Fe/H]_MAD,StellarAge_BinCenters_Gyr,[Fe/H]_Median_H,[Fe/H]_MAD_H,[Fe/H]_Median_B,[Fe/H]_MAD_B,[Fe/H]_Median_CD,[Fe/H]_MAD_CD,[Fe/H]_Median_WD,[Fe/H]_MAD_WD
0,0.247653,0.17052,0.5,-0.114929,0.108445,0.859591,0.043305,0.225768,0.153912,0.755466,0.100204
1,0.188536,0.177147,1.5,-0.299301,0.080074,0.822686,0.055807,0.171824,0.16015,0.655941,0.143419
2,0.159215,0.202473,2.5,-0.323652,0.055494,0.769145,0.054049,0.139379,0.181879,0.423024,0.264878
3,0.146213,0.202525,3.5,-0.298932,0.098736,0.627337,0.055903,0.124581,0.170984,0.266924,0.291578
4,0.087089,0.231024,4.5,-0.34032,0.131362,0.56412,0.052976,0.067213,0.187673,0.156803,0.304932
5,0.113678,0.200396,5.5,-0.364237,0.148945,0.352194,0.088719,0.094657,0.17329,0.146374,0.213007
6,0.035635,0.181572,6.5,-0.529975,0.194826,0.348471,0.071961,0.035062,0.141928,0.058938,0.18457
7,-0.081154,0.181874,7.5,-0.495563,0.225101,0.375447,0.105206,-0.088212,0.13492,-0.066824,0.178372
8,0.009978,0.279427,8.5,-0.574048,0.233553,0.32741,0.254575,-0.066426,0.169409,0.000987,0.217789
9,-0.218213,0.239082,9.5,-0.49464,0.16183,-0.070547,0.219665,-0.135709,0.189916,-0.12946,0.216304
10,-0.477201,0.259703,10.5,-0.734079,0.181166,-0.296491,0.222923,-0.407883,0.25078,-0.423183,0.25521
11,-0.782141,0.276178,11.5,-1.011648,0.24667,-0.616325,0.224672,-0.628361,0.268345,-0.708727,0.266879
12,-1.132676,0.355637,12.5,-1.355512,0.348854,-0.931728,0.286456,-0.973431,0.305913,-1.054684,0.332589
13,-1.815966,0.476267,13.5,-2.079245,0.48616,-1.565471,0.391512,-1.641163,0.403638,-1.771951,0.476619
