CylindricalRadius_ckpc,SurfaceDensity_Type0_Msun/ckpc^2,SurfaceDensity_Type4_Msun/ckpc^2,SurfaceDensity_Type4_H_Msun/ckpc^2,SurfaceDensity_Type4_B_Msun/ckpc^2,SurfaceDensity_Type4_CD_Msun/ckpc^2,SurfaceDensity_Type4_WD_Msun/ckpc^2
0.25,56.4904,9278.0339,55.2277,5472.4204,1357.0187,2393.367
0.75,107.7777,4656.3046,57.8705,2531.0431,755.5867,1311.8044
1.25,83.9402,1847.8197,54.8919,825.5652,405.5256,561.8371
1.75,59.137,1042.0201,54.1993,352.2203,305.6714,329.929
2.25,48.7882,721.9277,53.3398,174.8133,265.4572,228.3174
2.75,48.1314,523.8928,51.9296,87.1876,230.3128,154.4628
3.25,44.2002,401.4512,53.4781,48.9312,195.2784,103.7635
3.75,42.8213,326.5759,56.533,24.4123,170.8666,74.764
4.25,34.1701,266.099,63.7197,3.9535,141.5565,56.8694
4.75,26.9764,220.4449,58.7784,0.0,116.4699,45.1966
5.25,24.8466,192.354,51.5193,0.0,105.1894,35.6453
5.75,26.8668,175.1837,46.8896,0.0,97.9052,30.3889
6.25,29.6404,154.7475,41.3292,0.0,87.7441,25.6742
6.75,33.6215,133.2086,36.7795,0.0,76.4553,19.9738
7.25,31.0489,115.071,32.2094,0.0,66.3712,16.4903
7.75,28.3936,100.8396,28.0804,0.0,58.3919,14.3673
8.25,27.334,89.7342,24.7423,0.0,52.7901,12.2018
8.75,27.2153,80.818,21.7172,0.0,48.1847,10.9161
9.25,27.6906,73.2675,19.0714,0.0,44.7874,9.4087
9.75,28.7332,66.9143,16.942,0.0,41.8172,8.1551
10.25,29.6048,61.5972,14.7212,0.0,39.4821,7.3939
10.75,31.3738,56.3642,13.1334,0.0,35.6554,7.5754
11.25,32.3196,50.1017,11.7329,0.0,30.7852,7.5836
11.75,31.5702,43.5217,10.4201,0.0,25.8699,7.2317
12.25,32.013,38.1986,9.5579,0.0,22.1797,6.461
12.75,32.1992,33.6127,8.3981,0.0,19.6396,5.575
13.25,31.8391,29.817,7.531,0.0,17.3747,4.9114
13.75,30.7808,26.5102,6.9545,0.0,15.2484,4.3073
14.25,31.2758,23.3919,6.324,0.0,13.1213,3.9465
14.75,31.1567,20.6941,5.7144,0.0,11.3711,3.6086
15.25,30.617,18.831,5.325,0.0,10.1302,3.3757
15.75,29.609,16.7091,4.66,0.0,8.9181,3.131
16.25,28.3161,15.3978,4.3558,0.0,8.115,2.927
16.75,28.0527,14.1214,4.0388,0.0,7.3299,2.7527
