,[Fe/H]_Median,[Fe/H]_MAD,StellarAge_BinCenters_Gyr,[Fe/H]_Median_H,[Fe/H]_MAD_H,[Fe/H]_Median_B,[Fe/H]_MAD_B,[Fe/H]_Median_CD,[Fe/H]_MAD_CD,[Fe/H]_Median_WD,[Fe/H]_MAD_WD
0,0.269599,0.219385,0.5,-0.081057,0.052044,0.745411,0.048414,0.215543,0.195498,0.532148,0.229287
1,0.161957,0.220484,1.5,-0.09587,0.05957,0.718167,0.06217,0.132164,0.187058,0.284808,0.368048
2,0.278691,0.233676,2.5,-0.132895,0.068881,0.683817,0.065169,0.208458,0.166111,0.410792,0.263196
3,0.257811,0.183417,3.5,-0.237323,0.066426,0.55584,0.092056,0.194911,0.134613,0.309354,0.195565
4,0.05905,0.17955,4.5,-0.346493,0.099713,0.470971,0.1078,0.0371,0.136486,0.052924,0.20443
5,-0.032036,0.196393,5.5,-0.20997,0.16817,0.421097,0.229861,-0.087951,0.131765,-0.087475,0.154891
6,0.076836,0.249068,6.5,-0.208314,0.182827,0.314326,0.209027,0.122601,0.197628,0.12685,0.220276
7,-0.07556,0.233308,7.5,-0.194967,0.202286,0.329031,0.158158,0.045641,0.205383,0.015877,0.227527
8,-0.19202,0.219471,8.5,-0.280627,0.183655,0.308472,0.185751,-0.06557,0.215934,-0.098189,0.231046
9,-0.289746,0.242623,9.5,-0.426046,0.184072,0.193886,0.194237,-0.139395,0.212812,-0.166272,0.234182
10,-0.464862,0.275639,10.5,-0.641461,0.203087,-0.099637,0.197408,-0.365338,0.260109,-0.38706,0.278937
11,-0.612913,0.318773,11.5,-0.903657,0.272415,-0.315008,0.211351,-0.542995,0.276367,-0.538044,0.294438
12,-0.953966,0.382482,12.5,-1.288014,0.329455,-0.618159,0.239611,-0.896689,0.353188,-0.888246,0.3612
13,-1.730654,0.464681,13.5,-2.030306,0.486541,-1.413971,0.339287,-1.700406,0.438841,-1.673377,0.455877
