,[Fe/H]_Median,[Fe/H]_MAD,StellarAge_BinCenters_Gyr,[Fe/H]_Median_H,[Fe/H]_MAD_H,[Fe/H]_Median_B,[Fe/H]_MAD_B,[Fe/H]_Median_CD,[Fe/H]_MAD_CD,[Fe/H]_Median_WD,[Fe/H]_MAD_WD
0,0.058136,0.170266,0.5,-0.420955,0.153768,0.938472,0.129552,0.078139,0.16447,-0.027522,0.135991
1,0.128241,0.20678,1.5,-0.240754,0.099018,0.828636,0.130888,0.172857,0.174676,-0.068705,0.158377
2,0.077081,0.18346,2.5,-0.312646,0.058206,0.74721,0.115426,0.09473,0.158525,-0.032115,0.201361
3,0.084682,0.21127,3.5,-0.309044,0.160599,0.643377,0.156919,0.052741,0.176371,0.083611,0.239383
4,0.09328,0.205504,4.5,0.134116,0.162312,0.270507,0.138146,0.039569,0.214996,0.082221,0.201508
5,-0.02393,0.20729,5.5,-0.000234,0.206421,0.204208,0.131072,-0.066313,0.195414,-0.049055,0.209363
6,-0.066975,0.216833,6.5,-0.067395,0.200518,0.1372,0.143976,-0.123253,0.211306,-0.087487,0.218894
7,-0.151229,0.229305,7.5,-0.281959,0.236971,0.072601,0.169839,-0.1826,0.219801,-0.1786,0.230758
8,-0.232313,0.23889,8.5,-0.406842,0.219709,-0.04586,0.18352,-0.262747,0.234317,-0.259461,0.243306
9,-0.347041,0.23071,9.5,-0.591822,0.18788,-0.20039,0.211119,-0.361633,0.22232,-0.367761,0.231848
10,-0.547142,0.24227,10.5,-0.842407,0.160468,-0.398268,0.225719,-0.555866,0.226733,-0.549077,0.229414
11,-0.713655,0.29812,11.5,-1.064058,0.226938,-0.544949,0.255791,-0.792978,0.2874,-0.747641,0.290676
12,-1.049514,0.350234,12.5,-1.419975,0.315145,-0.873882,0.285701,-1.099075,0.349991,-1.077442,0.35008
13,-1.771104,0.462087,13.5,-2.123447,0.43188,-1.576153,0.395355,-1.83836,0.470167,-1.827378,0.447216
