,StellarMassFraction_0,StellarMassFraction_0_InSitu,StellarMassFraction_0_ExSitu,StellarMassFraction_0to0,StellarMassFraction_1to0,StellarMassFraction_2to0,StellarMassFraction_3to0,StellarMassFraction_1,StellarMassFraction_1_InSitu,StellarMassFraction_1_ExSitu,StellarMassFraction_0to1,StellarMassFraction_1to1,StellarMassFraction_2to1,StellarMassFraction_3to1,StellarMassFraction_2,StellarMassFraction_2_InSitu,StellarMassFraction_2_ExSitu,StellarMassFraction_0to2,StellarMassFraction_1to2,StellarMassFraction_2to2,StellarMassFraction_3to2,StellarMassFraction_3,StellarMassFraction_3_InSitu,StellarMassFraction_3_ExSitu,StellarMassFraction_0to3,StellarMassFraction_1to3,StellarMassFraction_2to3,StellarMassFraction_3to3,Abundance_[O/H]
0,0.0018984551,0.00068929227,0.0012091628,0.00038014937,6.7266433e-06,0.00013852191,0.0001489072,4.3859643e-05,2.9120933e-05,1.4738711e-05,1.7752443e-06,7.945106e-06,1.944855e-06,7.3556375e-06,5.458433e-05,9.171987e-06,4.541234e-05,1.9577583e-06,0.0,0.0,5.6587323e-06,0.00012217954,4.1780055e-05,8.0399484e-05,2.6733067e-05,1.4258259e-06,2.2537815e-06,1.2599698e-06,-1.9649999999999999
1,0.00203322,0.0007520778,0.001281142,0.00039075522,2.3306966e-05,0.00012361172,0.00015309014,5.263964e-05,3.9836217e-05,1.2803422e-05,2.2359054e-06,1.392658e-05,0.0,6.371984e-06,9.1199814e-05,3.264044e-05,5.8559373e-05,2.3413138e-05,0.0,3.8007693e-06,1.7020822e-06,0.00014368896,4.7106223e-05,9.6582735e-05,2.32355e-05,9.759532e-07,1.0064073e-05,6.662271e-06,-1.895
2,0.0025440366,0.0010251706,0.0015188659,0.0006388848,1.4071318e-05,0.0001187939,0.00020333372,7.159692e-05,4.7798294e-05,2.3798631e-05,1.2689201e-05,9.90473e-06,2.9019645e-06,9.402134e-06,0.00010891353,4.086444e-05,6.80491e-05,1.7659915e-05,2.4028727e-06,1.035129e-05,5.5931714e-06,0.00017425811,7.815362e-05,9.610449e-05,4.2252494e-05,9.478235e-06,8.566062e-06,1.2326258e-05,-1.825
3,0.0030094879,0.0012504708,0.001759017,0.0006890572,3.9335573e-05,0.00016550669,0.00030173775,7.413728e-05,4.5204237e-05,2.893305e-05,1.5747994e-05,1.09509765e-05,2.4215926e-06,1.5855773e-06,0.00013466147,3.750682e-05,9.715466e-05,1.840378e-05,1.1824786e-06,5.3356325e-06,7.3052306e-06,0.00022552218,8.637144e-05,0.00013915074,3.9474904e-05,5.1621582e-06,1.6611506e-05,1.9174224e-05,-1.755
4,0.0035858161,0.0015228876,0.0020629286,0.00081949343,7.77659e-05,0.000231977,0.0003435075,8.416966e-05,5.6923716e-05,2.7245946e-05,1.0952191e-05,1.1254157e-05,2.4877497e-06,2.0395224e-05,0.00016020561,3.64983e-05,0.00012370732,1.964159e-05,0.0,9.851335e-06,5.4949933e-06,0.00026084442,9.816873e-05,0.00016267566,4.0050185e-05,8.895306e-06,1.3975918e-05,2.5101843e-05,-1.685
5,0.004089256,0.0018711627,0.0022180928,0.0011873578,8.620161e-05,0.0001921125,0.0003861956,7.2294475e-05,5.5770677e-05,1.6523798e-05,1.6999107e-05,1.0722e-05,4.0590253e-06,1.102793e-05,0.00020577663,5.9774844e-05,0.00014600177,1.8694114e-05,7.1851828e-06,1.0125381e-05,1.7597993e-05,0.0002903365,0.00012111482,0.00016922168,6.2749445e-05,6.429383e-06,2.3422908e-05,1.5534411e-05,-1.615
6,0.004767956,0.0023316327,0.0024363233,0.0013664885,9.843725e-05,0.0003358361,0.00049213204,9.298346e-05,7.08042e-05,2.2179254e-05,1.192472e-05,3.28355e-05,3.2396238e-06,8.670976e-06,0.00026578776,5.7201392e-05,0.0002085864,2.9740939e-05,5.4871016e-06,1.3624587e-05,6.7820015e-06,0.0004139989,0.00018582407,0.00022817485,8.502129e-05,1.3680534e-05,3.264247e-05,4.971491e-05,-1.545
7,0.0053303167,0.002609771,0.0027205453,0.0014825243,0.00011093288,0.00034895784,0.00062709843,0.00012031358,9.993944e-05,2.0374146e-05,2.305547e-05,3.0905638e-05,7.649988e-06,1.8282006e-05,0.00031614263,8.819758e-05,0.00022794507,4.1414693e-05,8.021509e-06,1.5441336e-05,2.018574e-05,0.0004377414,0.00016897215,0.00026876925,8.940219e-05,1.6502992e-05,2.3742828e-05,2.6587682e-05,-1.475
8,0.006780705,0.0034296382,0.003351067,0.002016501,0.00013637429,0.000374638,0.0008136302,0.00016433415,0.00013254164,3.1792515e-05,1.3352098e-05,5.4752716e-05,9.941903e-06,3.447325e-05,0.0003434646,9.0710586e-05,0.00025275405,3.9411865e-05,1.5877278e-05,9.3549115e-06,2.3441207e-05,0.0005836151,0.00023790427,0.00034571084,9.5313335e-05,3.1561183e-05,4.3390864e-05,5.3420452e-05,-1.4049999999999998
9,0.0078275,0.0038826263,0.0039448733,0.0022643865,0.00020812906,0.0004530639,0.0009002111,0.00017408837,0.00013488757,3.9200797e-05,2.1025538e-05,6.104132e-05,1.3124231e-05,2.8064445e-05,0.0005027379,0.00012262455,0.00038011334,5.298744e-05,1.7727056e-05,2.3130862e-05,1.8436727e-05,0.00072481274,0.00030264677,0.0004221659,0.00010854539,2.3175106e-05,7.20432e-05,8.1541904e-05,-1.335
