,StellarMassFraction_0,StellarMassFraction_0_InSitu,StellarMassFraction_0_ExSitu,StellarMassFraction_0to0,StellarMassFraction_1to0,StellarMassFraction_2to0,StellarMassFraction_3to0,StellarMassFraction_1,StellarMassFraction_1_InSitu,StellarMassFraction_1_ExSitu,StellarMassFraction_0to1,StellarMassFraction_1to1,StellarMassFraction_2to1,StellarMassFraction_3to1,StellarMassFraction_2,StellarMassFraction_2_InSitu,StellarMassFraction_2_ExSitu,StellarMassFraction_0to2,StellarMassFraction_1to2,StellarMassFraction_2to2,StellarMassFraction_3to2,StellarMassFraction_3,StellarMassFraction_3_InSitu,StellarMassFraction_3_ExSitu,StellarMassFraction_0to3,StellarMassFraction_1to3,StellarMassFraction_2to3,StellarMassFraction_3to3,StellarAge_Gyr
0,0.0008950059,0.0008950059,0.0,0.0005237617,0.0,0.00010703776,0.00026420646,0.004527341,0.004527341,0.0,0.0,0.0030215995,0.00060194737,0.00090379413,0.023752056,0.023749527,2.5309735e-06,2.416463e-06,0.00041337442,0.022353098,0.0009806361,0.0055710175,0.005571018,0.0,3.273883e-05,0.000693571,0.0010402276,0.003804481,0.14
1,0.0009862321,0.0009862321,0.0,0.00022961762,1.6607639e-05,0.0003429288,0.00039707797,0.00590585,0.0059058503,0.0,9.251157e-06,0.0027363156,0.0012758041,0.0018844794,0.01918902,0.01918902,0.0,6.016329e-05,0.0009693273,0.015868185,0.0022913464,0.006784707,0.006784707,0.0,6.612729e-05,0.0015564365,0.0024463576,0.0027157855,0.42000000000000004
2,0.0012451536,0.0012451536,0.0,0.00038369093,7.754541e-06,0.00051954814,0.00033416,0.0077183875,0.0077183875,0.0,1.2768105e-05,0.0038513679,0.0013964546,0.0024577966,0.017859347,0.017857177,2.167981e-06,6.6663175e-05,0.0010799943,0.014581071,0.0021294495,0.007095733,0.007095734,0.0,8.3682455e-05,0.0018404898,0.0024460144,0.002725547,0.7000000000000001
3,0.0012038557,0.0012038558,0.0,0.00031029797,4.147631e-05,0.0004306558,0.00042142574,0.0062233685,0.0062233694,0.0,1.3230682e-05,0.0032095877,0.0011047098,0.0018958411,0.015739044,0.015739044,0.0,7.406009e-05,0.0008426361,0.012868864,0.0019534826,0.0062321634,0.006232164,0.0,7.346229e-05,0.0013897701,0.0023105924,0.0024583384,0.9800000000000001
4,0.0012420381,0.0012420381,0.0,0.00024929785,0.0,0.00046631222,0.000526428,0.008053575,0.008053575,0.0,6.618564e-06,0.004830611,0.0010636472,0.002152698,0.02093545,0.02093545,0.0,5.359838e-05,0.00070749526,0.01804108,0.0021332754,0.0067076706,0.006707671,0.0,3.569356e-05,0.0012934785,0.0028842252,0.002494274,1.2600000000000002
5,0.0019765883,0.001976588,0.0,0.00047289894,8.241328e-06,0.00078669016,0.0007087577,0.009700033,0.009700033,0.0,1.0567407e-05,0.004739628,0.0018459663,0.003103872,0.030097295,0.030092742,4.553638e-06,3.6329475e-05,0.0010024286,0.026166372,0.002887611,0.011160389,0.011159226,1.1610119e-06,6.215241e-05,0.001889779,0.0053374846,0.0038698108,1.54
6,0.0018560032,0.001830931,2.5072244e-05,0.00051661785,1.7813069e-05,0.00060901104,0.00068748905,0.0061734794,0.0061734794,0.0,9.791739e-06,0.0029794446,0.0010838734,0.0021003694,0.02875601,0.02870603,4.997835e-05,3.6333e-05,0.000692407,0.025560884,0.0024164082,0.009488333,0.009469485,1.8847715e-05,6.182801e-05,0.0013444902,0.0046912655,0.0033719018,1.8200000000000003
7,0.0013246877,0.0012782402,4.644757e-05,0.00022173263,5.8432884e-06,0.0005118025,0.0005388618,0.0052752113,0.005275211,0.0,5.834316e-06,0.002823254,0.00090930256,0.0015368195,0.022280142,0.022218224,6.191865e-05,1.7672455e-05,0.0004864364,0.01994173,0.0017723844,0.0077390014,0.0077264896,1.2511799e-05,4.309631e-05,0.0009538557,0.0044381013,0.0022914363,2.1
8,0.0006479937,0.0006355373,1.2456338e-05,0.00014310563,8.410748e-06,0.00031231417,0.00017170682,0.0049795792,0.0049795792,0.0,1.0268769e-05,0.0029201317,0.0007214611,0.0013277179,0.01544876,0.015401524,4.7234873e-05,1.38803025e-05,0.00040858032,0.013805588,0.0011734755,0.005737795,0.005722985,1.4809483e-05,1.9595856e-05,0.00085407274,0.0032803,0.0015690167,2.3800000000000003
9,0.0010983712,0.0010983712,0.0,0.00020083976,5.4784655e-06,0.0005015058,0.0003905472,0.008195881,0.008195881,0.0,1.0575324e-05,0.0042352355,0.001485434,0.0024646355,0.016955277,0.016935501,1.977726e-05,1.2534486e-05,0.00071194384,0.014365942,0.0018450792,0.009326784,0.009319708,7.075613e-06,2.6442418e-05,0.0014813392,0.0049349046,0.0028770226,2.66
10,0.0018077539,0.0018011574,6.5966533e-06,0.0004959145,3.7070717e-05,0.00057608745,0.0006920847,0.010507325,0.010507324,0.0,1.0489397e-05,0.005452362,0.0018734366,0.0031710358,0.018521927,0.018499387,2.2541517e-05,1.812759e-05,0.0008876423,0.015127613,0.0024660027,0.011423318,0.011421115,2.2036547e-06,4.1277814e-05,0.0018758146,0.0058589606,0.003645063,2.9400000000000004
11,0.0021567547,0.0021480036,8.751333e-06,0.00046109007,5.6505567e-05,0.00079505995,0.00083534786,0.012122798,0.012122797,0.0,1.7327884e-05,0.0057639806,0.0023475199,0.0039939694,0.017435662,0.017429423,6.2401805e-06,1.6115246e-05,0.0010689289,0.013345931,0.002998449,0.0129947085,0.012991704,3.006083e-06,4.934618e-05,0.002030711,0.0066219266,0.0042897197,3.22
