,[Fe/H]_Median,[Fe/H]_MAD,StellarAge_BinCenters_Gyr,[Fe/H]_Median_H,[Fe/H]_MAD_H,[Fe/H]_Median_B,[Fe/H]_MAD_B,[Fe/H]_Median_CD,[Fe/H]_MAD_CD,[Fe/H]_Median_WD,[Fe/H]_MAD_WD
0,0.227806,0.221485,0.5,0.254536,0.093067,0.616333,0.059176,0.125321,0.115172,0.47119,0.160424
1,0.187064,0.163539,1.5,0.226475,0.127511,0.5413,0.058955,0.10868,0.09589,0.330667,0.136863
2,0.188864,0.160597,2.5,0.172814,0.151149,0.555939,0.057875,0.106287,0.085217,0.282021,0.163554
3,0.284235,0.194272,3.5,-0.019774,0.150653,0.496169,0.083159,0.124992,0.125806,0.292877,0.170081
4,0.212099,0.18522,4.5,-0.134655,0.121739,0.448409,0.081532,0.090931,0.11077,0.219908,0.171578
5,0.196819,0.168777,5.5,-0.161495,0.086665,0.322719,0.10534,0.093084,0.147895,0.191455,0.16314
6,0.335434,0.212525,6.5,-0.142293,0.109659,0.462202,0.152438,0.173046,0.174046,0.244778,0.193145
7,0.163455,0.189374,7.5,-0.238346,0.166575,0.438191,0.170464,0.064861,0.112041,0.131038,0.154834
8,0.053262,0.221681,8.5,-0.33207,0.145479,0.322436,0.15619,-0.061352,0.142888,-0.000212,0.195021
9,-0.066313,0.229646,9.5,-0.424793,0.213318,0.219184,0.178975,-0.114837,0.182997,-0.099916,0.215038
10,-0.224592,0.23668,10.5,-0.571107,0.198904,0.016403,0.194496,-0.257546,0.192871,-0.253797,0.215087
11,-0.387435,0.27059,11.5,-0.749106,0.236025,-0.166811,0.187251,-0.414771,0.240194,-0.417695,0.251672
12,-0.771108,0.3331,12.5,-1.246922,0.318059,-0.56986,0.238785,-0.76352,0.304257,-0.764888,0.308295
13,-1.911883,0.505657,13.5,-2.06304,0.520483,-1.674269,0.455534,-1.825687,0.494595,-1.841093,0.49426
