,Time_Gyr,ExpansionFactor,zPositionMedian_kpc,zPosition16thPercentile_kpc,zPosition84thPercentile_kpc,zPositionAbsMedian_kpc,zPositionAbs16thPercentile_kpc,zPositionAbs84thPercentile_kpc,zAngularMomFracMedian,zAngularMomFrac16thPercentile,zAngularMomFrac84thPercentile,CircularityMedian,Circularity16thPercentile,Circularity84thPercentile
0,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,
40,0.8458612530579325,0.1334828742744916,-0.4991937494099804,-1.723816460396095,0.04702174403467371,0.4991937494099804,0.11889158137828905,1.7238164603960948,0.8656390824106678,0.6577986054082631,0.9622795159986669,0.9796272952850511,0.8163753088872246,1.1884530221107696
41,0.9080449696290195,0.13995994787469493,-0.08681927312964294,-2.4128985323087653,1.2250627488603711,0.5333074108241138,0.21469338287898293,2.412898532308765,0.8474514603760614,0.5748515142857025,0.9585561289899691,0.9871593292199772,0.7941178497293204,1.061899592344089
42,0.9678924784861273,0.14605760406878063,-0.060225917255821854,-1.2259401785720525,1.2541801720992607,0.8656417697982991,0.29270598120739116,1.9717284119527132,0.6770606883311222,0.2677171076533639,0.9423671633614232,0.8348420628001346,0.31520626984077926,1.122466202512162
43,1.0390037466243902,0.15314484920464314,0.21263871239529314,-0.8447051818223191,1.5056891420041119,0.7409758369842879,0.3045671077886533,2.5511310605184043,0.7192615076176103,0.21148144443333228,0.9259482206565692,0.769785774466128,0.14425097499365513,1.0163250595533773
