CylindricalRadius_ckpc,SurfaceDensity_Type0_Msun/ckpc^2,SurfaceDensity_Type4_Msun/ckpc^2,SurfaceDensity_Type4_H_Msun/ckpc^2,SurfaceDensity_Type4_B_Msun/ckpc^2,SurfaceDensity_Type4_CD_Msun/ckpc^2,SurfaceDensity_Type4_WD_Msun/ckpc^2
0.25,52.8972,3251.9965,2.4502,2162.3353,355.6905,731.5205
0.75,78.5173,1659.0985,2.8285,1049.0632,214.192,393.0149
1.25,33.9308,818.7236,3.1298,488.0346,119.7594,207.7999
1.75,19.0284,490.7644,3.2167,274.768,78.0394,134.7403
2.25,16.5077,340.0324,3.3269,182.8987,57.4463,96.3604
2.75,16.177,245.1463,3.2549,126.723,43.1417,72.0268
3.25,18.3822,178.529,3.5096,84.2724,35.7705,54.9765
3.75,22.0313,138.0733,3.6147,58.7556,33.0102,42.6928
4.25,22.4668,109.5493,3.6799,41.968,28.0718,35.8296
4.75,21.3124,91.8222,3.9444,31.632,25.0436,31.2022
5.25,21.8064,78.8573,4.1797,24.7546,21.9032,28.0199
5.75,21.4819,67.0973,4.2417,19.1971,19.995,23.6634
6.25,20.6691,57.5799,4.5773,14.8601,17.2431,20.8994
6.75,20.2992,48.3866,4.7531,11.4068,14.6848,17.5419
7.25,19.2161,41.9374,5.0275,8.6547,13.1605,15.0947
7.75,18.3923,37.2077,5.7687,6.2627,12.4608,12.7156
8.25,18.4148,33.5243,6.7441,3.9596,11.7129,11.1078
8.75,19.4513,30.9614,7.9827,1.4283,11.2024,10.348
9.25,18.561,28.0963,7.9729,0.5076,10.57,9.0458
9.75,18.5711,26.0504,7.5143,0.0561,10.3857,8.0943
10.25,18.3484,24.3333,6.8489,0.0,9.8126,7.6718
10.75,17.8878,22.3419,6.2551,0.0,9.2513,6.8355
11.25,18.2889,20.9864,5.6468,0.0,8.9757,6.3639
11.75,18.7153,19.3629,4.9524,0.0,8.5991,5.8115
12.25,18.0825,18.1358,4.5674,0.0,8.23,5.3384
12.75,17.2405,17.1495,4.2419,0.0,7.9562,4.9513
13.25,17.7579,16.0104,3.8153,0.0,7.5587,4.6363
13.75,17.765,14.8728,3.4196,0.0,7.0958,4.3574
14.25,17.234,14.1065,3.1975,0.0,6.8089,4.1001
14.75,17.1805,12.9436,2.7506,0.0,6.3055,3.8875
15.25,17.1101,12.4736,2.6674,0.0,6.1752,3.631
15.75,17.6136,11.8961,2.3663,0.0,6.0363,3.4935
16.25,16.4879,10.8416,2.1675,0.0,5.5513,3.1228
16.75,15.09,10.0146,1.9308,0.0,5.1663,2.9174
17.25,14.8893,9.2751,1.8203,0.0,4.7279,2.7269
17.75,14.8861,8.5634,1.6136,0.0,4.3232,2.6266
18.25,14.3642,8.0523,1.5104,0.0,3.9722,2.5698
18.75,13.9923,7.6077,1.4043,0.0,3.8648,2.3385
19.25,13.086,7.1006,1.2846,0.0,3.5851,2.2309
19.75,12.9064,6.5698,1.146,0.0,3.318,2.1058
20.25,12.7293,6.1155,1.0822,0.0,3.0792,1.954
20.75,12.4093,5.7233,1.0107,0.0,2.7799,1.9327
21.25,12.6399,5.242,0.924,0.0,2.5625,1.7556
21.75,13.0834,5.0556,0.8717,0.0,2.4345,1.7493
22.25,13.113,4.948,0.7829,0.0,2.4419,1.7232
22.75,13.3194,4.6557,0.7729,0.0,2.2344,1.6484
23.25,13.6689,4.4798,0.7198,0.0,2.178,1.582
23.75,14.4213,4.2396,0.6946,0.0,2.102,1.4431
24.25,14.8278,4.1539,0.6574,0.0,2.0369,1.4597
24.75,14.903,3.9547,0.6048,0.0,1.9731,1.3768
25.25,14.6912,3.7372,0.5624,0.0,1.8927,1.282
25.75,14.343,3.424,0.5349,0.0,1.6853,1.2037
26.25,14.3853,3.1831,0.4977,0.0,1.5592,1.1262
26.75,13.9146,3.0501,0.4768,0.0,1.4962,1.0771
27.25,13.8428,2.8115,0.4487,0.0,1.4066,0.9562
27.75,13.7634,2.6392,0.4212,0.0,1.3334,0.8846
28.25,13.6219,2.4676,0.3952,0.0,1.2692,0.8032
28.75,13.464,2.2781,0.3952,0.0,1.1151,0.7677
29.25,13.1238,2.1408,0.377,0.0,1.0492,0.7146
29.75,12.4983,1.9113,0.3584,0.0,0.881,0.672
30.25,12.0522,1.708,0.3375,0.0,0.7648,0.6057
30.75,11.9946,1.5591,0.315,0.0,0.6668,0.5773
31.25,12.3549,1.4546,0.3139,0.0,0.5989,0.5418
31.75,12.4848,1.3773,0.2809,0.0,0.5739,0.5225
32.25,12.8218,1.3473,0.3018,0.0,0.5508,0.4948
32.75,12.9454,1.2403,0.2743,0.0,0.5041,0.4618
33.25,12.2966,1.2075,0.2845,0.0,0.4552,0.4678
33.75,11.5412,1.1343,0.279,0.0,0.4244,0.4309
34.25,10.6135,1.0612,0.2682,0.0,0.3702,0.4228
34.75,9.8708,0.953,0.2383,0.0,0.3367,0.3781
35.25,9.0615,0.8851,0.2208,0.0,0.3252,0.3391
35.75,8.2312,0.8075,0.2123,0.0,0.2713,0.3238
36.25,7.6677,0.7643,0.2012,0.0,0.2597,0.3035
36.75,7.2783,0.6771,0.1835,0.0,0.2498,0.2437
37.25,6.8729,0.618,0.1662,0.0,0.2045,0.2472
37.75,6.5663,0.6071,0.1698,0.0,0.2018,0.2355
38.25,6.3279,0.5715,0.1675,0.0,0.1906,0.2134
38.75,6.0112,0.5159,0.1424,0.0,0.184,0.1895
39.25,5.8063,0.48,0.1329,0.0,0.1545,0.1927
39.75,5.563,0.4652,0.1182,0.0,0.167,0.18
40.25,5.2522,0.456,0.1287,0.0,0.1482,0.1791
40.75,5.0073,0.4334,0.1202,0.0,0.1364,0.1768
41.25,4.7586,0.4348,0.12,0.0,0.1404,0.1744
41.75,4.5802,0.4135,0.1108,0.0,0.1362,0.1665
42.25,4.3573,0.398,0.1081,0.0,0.136,0.1539
42.75,4.2747,0.392,0.1112,0.0,0.1301,0.1508
43.25,4.14,0.3763,0.1173,0.0,0.1216,0.1374
43.75,4.0727,0.3543,0.1108,0.0,0.1054,0.1381
44.25,4.0447,0.3464,0.109,0.0,0.1082,0.1293
44.75,3.99,0.3369,0.1075,0.0,0.108,0.1214
45.25,4.0056,0.331,0.1039,0.0,0.1009,0.1262
45.75,3.7935,0.3434,0.1049,0.0,0.1,0.1385
46.25,3.538,0.3109,0.1042,0.0,0.0882,0.1185
46.75,3.457,0.3067,0.1121,0.0,0.0813,0.1133
47.25,3.3755,0.2911,0.1062,0.0,0.0759,0.109
47.75,3.0798,0.2937,0.1083,0.0,0.0757,0.1097
48.25,2.9738,0.2653,0.0979,0.0,0.0698,0.0977
48.75,2.8135,0.2569,0.1005,0.0,0.0659,0.0906
49.25,2.6653,0.24,0.0924,0.0,0.0636,0.084
49.75,2.5482,0.2346,0.0961,0.0,0.06,0.0785
