SnapshotNumber,Time_Gyr,StellarMassInR200_Msun,StellarMassIn0.5R200_Msun,StellarMassIn0.3R200_Msun
0,,,,
1,,,,
2,,,,
3,,,,
4,,,,
5,,,,
6,,,,
7,,,,
8,,,,
9,,,,
10,,,,
11,,,,
12,,,,
13,,,,
14,,,,
15,,,,
16,,,,
17,,,,
18,,,,
19,,,,
20,,,,
21,,,,
22,,,,
23,,,,
24,,,,
25,,,,
26,,,,
27,,,,
28,,,,
29,,,,
30,,,,
31,,,,
32,,,,
33,,,,
34,,,,
35,0.597,435150.5,435151.0,166328.0
36,0.641,114780.0,114780.5,0.0
37,0.689,349986.0,100785.0,0.0
38,0.734,66740.0,0.0,0.0
39,0.788,5094152.0,131816.0,0.0
40,0.846,660644.0,0.0,0.0
41,0.908,397000.0,261108.0,221224.0
42,0.968,1333932.0,59072.0,0.0
43,1.039,6132656.0,0.0,0.0
44,1.115,7239712.0,1925696.0,99048.0
45,1.197,55434128.0,1173424.0,949920.0
46,1.285,51404128.0,45515936.0,19786144.0
47,1.37,37047776.0,18160512.0,14507168.0
48,1.47,19700608.0,16328768.0,592320.0
49,1.578,174561792.0,18968512.0,749888.0
50,1.693,186240128.0,160285440.0,6225728.0
51,1.817,219746816.0,42970368.0,877824.0
52,1.949,158687744.0,147635200.0,19702528.0
53,2.091,43257600.0,18513152.0,11795456.0
54,2.244,23169280.0,3100416.0,3002624.0
55,2.39,20029696.0,7449600.0,0.0
56,2.545,97309952.0,11338240.0,72192.0
57,2.691,21482496.0,3853312.0,1509888.0
58,2.846,29759488.0,12851200.0,0.0
59,2.988,190009856.0,10164736.0,6702080.0
60,3.137,106717184.0,62768640.0,62530048.0
61,3.293,198020608.0,126233088.0,0.0
62,3.456,241346048.0,37437440.0,0.0
63,3.602,252115968.0,58113024.0,273408.0
64,3.754,225514496.0,68793344.0,16735232.0
65,3.911,181412864.0,78017536.0,73559040.0
66,4.047,132738048.0,34050048.0,33634304.0
67,4.217,111780864.0,23121920.0,0.0
68,4.362,104118272.0,42947584.0,885760.0
69,4.513,581225472.0,20484096.0,19998720.0
70,4.668,648677376.0,20405248.0,19407872.0
71,4.827,707266560.0,528288768.0,347369472.0
72,4.992,689021952.0,531634176.0,496892928.0
73,5.127,727736320.0,608113664.0,6614016.0
74,5.301,693916672.0,605887488.0,2717696.0
75,5.444,658816000.0,524775424.0,1522688.0
76,5.59,602841088.0,441230336.0,254104576.0
77,5.739,260786176.0,111362048.0,111235072.0
78,5.93,302053376.0,157810688.0,149915648.0
79,6.087,121231360.0,93861888.0,85970944.0
80,6.207,41216000.0,25739264.0,10100736.0
81,6.37,32724992.0,17272832.0,10829824.0
82,6.537,22607872.0,9201664.0,2236416.0
83,6.707,19226624.0,12468224.0,5824512.0
84,6.836,16551936.0,10452992.0,5081088.0
85,7.013,14491648.0,8523776.0,6957056.0
86,7.147,25673728.0,7364608.0,3377152.0
87,7.33,24776704.0,5847040.0,172032.0
88,7.469,41889792.0,16193536.0,100352.0
89,7.658,86763520.0,11595776.0,10704896.0
90,7.802,9982502912.0,27746304.0,16648192.0
91,7.948,10374006784.0,27865088.0,1030144.0
92,8.096,10834798592.0,36628480.0,10483712.0
93,8.296,11285352448.0,8196782080.0,18739200.0
94,8.449,11672676352.0,11191160832.0,20504576.0
95,8.603,12153561088.0,10791899136.0,89026560.0
96,8.76,15296954368.0,2897979392.0,60276736.0
97,8.919,15833776128.0,273725440.0,239616.0
98,9.079,16229105664.0,168065024.0,1634304.0
99,9.242,16626782208.0,343320576.0,1366016.0
100,9.407,16983091200.0,3188289536.0,1363968.0
101,9.573,17313359872.0,3207094272.0,2424832.0
102,9.742,17688995840.0,865828864.0,10225664.0
103,9.855,18054629376.0,51478528.0,6979584.0
104,10.026,18519193600.0,5775112192.0,2203648.0
105,10.2,18832175104.0,14900049920.0,34402304.0
106,10.375,18494730240.0,14571038720.0,14389837824.0
107,10.552,14410227712.0,10507423744.0,10356332544.0
108,10.671,14769004544.0,12654870528.0,12502761472.0
109,10.852,15474432000.0,13402593280.0,13214652416.0
110,11.034,17448765440.0,13739380736.0,13665712128.0
111,11.156,23561961472.0,12298579968.0,12238673920.0
112,11.341,17149583360.0,5509181440.0,5389910016.0
113,11.527,12054102016.0,477118464.0,18980864.0
114,11.652,12199387136.0,9747230720.0,14209024.0
115,11.842,13938032640.0,9953157120.0,41324544.0
116,11.969,14267817984.0,10107772928.0,37711872.0
117,12.161,14509350912.0,12517109760.0,11558912.0
118,12.355,14794809344.0,2477805568.0,2194235392.0
119,12.485,14813777920.0,2309693440.0,2294800384.0
120,12.681,14724104192.0,2161750016.0,2056056832.0
121,12.812,14946988032.0,2287308800.0,2186670080.0
122,13.011,15280418816.0,4194172928.0,117489664.0
123,13.145,15356571648.0,4207853568.0,1518649344.0
124,13.346,13879783424.0,3432710144.0,1128681472.0
125,13.481,4623282176.0,3847102464.0,3530240000.0
126,13.684,3963006976.0,3812638720.0,2216439808.0
127,13.821,2911805440.0,2764820480.0,1124528128.0
