,StellarMassFraction_0,StellarMassFraction_0_InSitu,StellarMassFraction_0_ExSitu,StellarMassFraction_0to0,StellarMassFraction_1to0,StellarMassFraction_2to0,StellarMassFraction_3to0,StellarMassFraction_1,StellarMassFraction_1_InSitu,StellarMassFraction_1_ExSitu,StellarMassFraction_0to1,StellarMassFraction_1to1,StellarMassFraction_2to1,StellarMassFraction_3to1,StellarMassFraction_2,StellarMassFraction_2_InSitu,StellarMassFraction_2_ExSitu,StellarMassFraction_0to2,StellarMassFraction_1to2,StellarMassFraction_2to2,StellarMassFraction_3to2,StellarMassFraction_3,StellarMassFraction_3_InSitu,StellarMassFraction_3_ExSitu,StellarMassFraction_0to3,StellarMassFraction_1to3,StellarMassFraction_2to3,StellarMassFraction_3to3,Abundance_[O/Fe]
0,2.4968756e-05,0.0,2.4968756e-05,0.0,0.0,0.0,0.0,5.1459447e-06,2.6205958e-06,2.5253487e-06,2.6205958e-06,0.0,0.0,0.0,8.443668e-06,0.0,8.443668e-06,0.0,0.0,0.0,0.0,9.285348e-06,0.0,9.285348e-06,0.0,0.0,0.0,0.0,0.10300000000000001
1,8.21395e-06,0.0,8.21395e-06,0.0,0.0,0.0,0.0,2.9531595e-05,2.0372809e-05,9.158785e-06,0.0,4.723231e-06,4.0881273e-06,1.1561451e-05,1.8090464e-05,4.29352e-06,1.3796944e-05,2.3196858e-06,1.9738338e-06,0.0,0.0,1.48072695e-05,5.104318e-06,9.7029515e-06,0.0,2.5789427e-06,0.0,2.5253755e-06,0.10900000000000001
2,4.3715678e-05,1.02613285e-05,3.345435e-05,1.02613285e-05,0.0,0.0,0.0,0.00054426416,0.0005395494,4.714745e-06,3.7290165e-06,0.00034015818,5.455792e-05,0.00014110426,5.2407333e-05,4.8473852e-05,3.9334805e-06,0.0,3.6287278e-05,4.511079e-06,7.675495e-06,0.00010998216,9.9612516e-05,1.03696375e-05,2.8972718e-06,3.9172683e-05,1.0311926e-05,4.723064e-05,0.115
3,4.0928368e-05,5.118271e-06,3.5810095e-05,5.118271e-06,0.0,0.0,0.0,0.0015476373,0.0015366436,1.0993534e-05,5.968608e-06,0.0008971063,0.00019065515,0.00044291362,0.00015059685,0.0001445046,6.0922603e-06,5.6852464e-06,7.746011e-05,2.9335506e-05,3.202373e-05,0.0003233588,0.00029989873,2.3460074e-05,0.0,0.00014273796,5.9299004e-05,9.7861775e-05,0.12100000000000001
4,3.6359947e-05,0.0,3.6359947e-05,0.0,0.0,0.0,0.0,0.0051424773,0.0051366314,5.845792e-06,0.0,0.0038739399,0.00038689465,0.0008757966,0.00040701902,0.00039861197,8.407056e-06,2.2793106e-06,0.00013765566,0.0001745131,8.416389e-05,0.0011044755,0.00108861,1.5865406e-05,5.2839114e-06,0.00040555449,7.2874485e-05,0.0006048973,0.127
5,5.2431067e-05,1.9088358e-05,3.3342712e-05,1.6288139e-05,0.0,0.0,2.8002205e-06,0.0127493385,0.012742174,7.165519e-06,0.0,0.008365525,0.0013019751,0.0030746728,0.0010169285,0.0010039152,1.3013317e-05,1.7377679e-06,0.00050159177,0.00020185349,0.00029873216,0.0026712748,0.0026440597,2.7214888e-05,2.761521e-06,0.0014727415,0.00033432172,0.000834235,0.133
6,5.5785782e-05,1.1300106e-05,4.4485678e-05,7.9309275e-06,0.0,3.3691786e-06,0.0,0.011109586,0.011100339,9.247546e-06,0.0,0.006244782,0.0015423028,0.003313254,0.0010401004,0.0010290487,1.10516385e-05,2.2399183e-06,0.00052693713,0.00018235877,0.0003175128,0.0026486649,0.002639357,9.308014e-06,7.817678e-06,0.0012479646,0.00042377424,0.0009576803,0.139
7,0.00010943342,4.0004204e-05,6.942922e-05,2.6953858e-05,3.6290694e-06,4.2912075e-06,5.1300685e-06,0.008654616,0.008652361,2.2547172e-06,0.0,0.004750805,0.0013407164,0.0025573964,0.0011676984,0.0011486645,1.9034025e-05,2.8334684e-06,0.00047625354,0.00032110393,0.00034847352,0.0023310469,0.0023233434,7.703275e-06,3.3093863e-06,0.0010376282,0.0004561011,0.00082630484,0.14500000000000002
8,7.162079e-05,3.454963e-05,3.7071157e-05,2.8313785e-05,0.0,6.2358436e-06,0.0,0.007901414,0.007885729,1.5685906e-05,0.0,0.0040619015,0.0014747902,0.0023490372,0.0015950021,0.0015746885,2.0313699e-05,0.0,0.000626123,0.00050059275,0.00044797274,0.0026484998,0.0026131456,3.535427e-05,1.2477017e-05,0.001028459,0.0006071854,0.0009650243,0.15100000000000002
9,0.00015244329,8.9316e-05,6.312728e-05,5.391622e-05,4.808109e-06,9.673142e-06,2.0918535e-05,0.010261518,0.0102406815,2.0836607e-05,0.0,0.0054508117,0.0019711652,0.0028158538,0.002411482,0.0023917463,1.9735622e-05,1.913896e-06,0.00073268334,0.0010178984,0.0006392507,0.003508557,0.0034840624,2.4494588e-05,0.0,0.0013021749,0.0008861716,0.0012957159,0.15700000000000003
