,[Fe/H]_Median,[Fe/H]_MAD,StellarAge_BinCenters_Gyr,[Fe/H]_Median_H,[Fe/H]_MAD_H,[Fe/H]_Median_B,[Fe/H]_MAD_B,[Fe/H]_Median_CD,[Fe/H]_MAD_CD,[Fe/H]_Median_WD,[Fe/H]_MAD_WD
0,0.042816,0.186561,0.5,-0.314798,0.069917,0.73,0.123953,0.027524,0.161376,0.014591,0.263393
1,0.069742,0.188055,1.5,-0.347742,0.065511,0.760626,0.097954,0.036355,0.141114,0.048995,0.226486
2,0.15351,0.195647,2.5,0.007196,0.140888,0.439014,0.187549,0.069922,0.159919,0.13779,0.179631
3,-0.014432,0.19161,3.5,-0.125919,0.16127,0.270727,0.229881,-0.0296,0.176709,-0.00672,0.190203
4,-0.057597,0.213138,4.5,-0.193314,0.185302,0.305175,0.27038,-0.075862,0.192201,-0.044369,0.208528
5,-0.08512,0.201981,5.5,-0.226773,0.207986,0.175005,0.239292,-0.088295,0.181625,-0.076523,0.19489
6,-0.160611,0.211256,6.5,-0.298683,0.179588,0.175152,0.236471,-0.16817,0.190504,-0.150601,0.206059
7,-0.170342,0.224842,7.5,-0.389246,0.161675,0.131625,0.241701,-0.203386,0.184598,-0.169577,0.213066
8,-0.181362,0.257856,8.5,-0.514968,0.175378,0.057826,0.23791,-0.249492,0.211925,-0.201817,0.237206
9,-0.23257,0.252048,9.5,-0.622376,0.177931,-0.067214,0.236037,-0.309874,0.226621,-0.267662,0.23568
10,-0.415204,0.274252,10.5,-0.784857,0.179872,-0.227296,0.24425,-0.449647,0.25253,-0.431103,0.258917
11,-0.611873,0.294579,11.5,-1.014023,0.235733,-0.41494,0.23499,-0.656197,0.292325,-0.631258,0.28914
12,-1.112717,0.371754,12.5,-1.458208,0.323862,-0.824166,0.272116,-1.149164,0.359487,-1.137782,0.362758
13,-2.068444,0.478548,13.5,-2.32661,0.530568,-1.769613,0.34949,-2.134422,0.481269,-2.130873,0.444476
