,StellarMassFraction_0,StellarMassFraction_0_InSitu,StellarMassFraction_0_ExSitu,StellarMassFraction_0to0,StellarMassFraction_1to0,StellarMassFraction_2to0,StellarMassFraction_3to0,StellarMassFraction_1,StellarMassFraction_1_InSitu,StellarMassFraction_1_ExSitu,StellarMassFraction_0to1,StellarMassFraction_1to1,StellarMassFraction_2to1,StellarMassFraction_3to1,StellarMassFraction_2,StellarMassFraction_2_InSitu,StellarMassFraction_2_ExSitu,StellarMassFraction_0to2,StellarMassFraction_1to2,StellarMassFraction_2to2,StellarMassFraction_3to2,StellarMassFraction_3,StellarMassFraction_3_InSitu,StellarMassFraction_3_ExSitu,StellarMassFraction_0to3,StellarMassFraction_1to3,StellarMassFraction_2to3,StellarMassFraction_3to3,Abundance_[O/Fe]
0,1.1157955e-05,2.4494598e-06,8.708495e-06,1.0720489e-06,0.0,1.3774107e-06,0.0,1.0258213e-05,0.0,1.0258213e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0509493e-05,0.0,1.0509493e-05,0.0,0.0,0.0,0.0,0.10300000000000001
1,1.4559488e-05,0.0,1.4559488e-05,0.0,0.0,0.0,0.0,1.2919765e-05,2.8457266e-06,1.0074039e-05,0.0,2.8457266e-06,0.0,0.0,1.4685863e-06,1.4685863e-06,0.0,0.0,0.0,1.4685863e-06,0.0,2.9758512e-06,0.0,2.9758512e-06,0.0,0.0,0.0,0.0,0.10900000000000001
2,1.2940849e-05,0.0,1.2940851e-05,0.0,0.0,0.0,0.0,5.8427795e-06,2.759892e-06,3.0828878e-06,0.0,0.0,2.759892e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.855949e-06,0.0,7.855949e-06,0.0,0.0,0.0,0.0,0.115
3,1.8162256e-05,0.0,1.8162256e-05,0.0,0.0,0.0,0.0,1.1423114e-05,3.0662925e-06,8.356822e-06,0.0,0.0,0.0,3.0662925e-06,2.1086546e-06,0.0,2.1086546e-06,0.0,0.0,0.0,0.0,1.6271351e-05,0.0,1.6271351e-05,0.0,0.0,0.0,0.0,0.12100000000000001
4,1.1379994e-05,1.7094533e-06,9.670542e-06,0.0,8.5786326e-07,0.0,0.0,9.470737e-06,0.0,9.470736e-06,0.0,0.0,0.0,0.0,9.194891e-06,0.0,9.1948905e-06,0.0,0.0,0.0,0.0,1.0722819e-05,0.0,1.0722818e-05,0.0,0.0,0.0,0.0,0.127
5,1.9245143e-05,1.8935555e-06,1.7351587e-05,0.0,9.0283834e-07,9.907171e-07,0.0,8.3826335e-06,5.378607e-06,3.004026e-06,3.2571872e-06,2.12142e-06,0.0,0.0,9.0020185e-06,0.0,9.0020185e-06,0.0,0.0,0.0,0.0,6.2080026e-06,1.8000568e-06,4.4079457e-06,0.0,0.0,1.8000568e-06,0.0,0.133
6,2.5463241e-05,3.4069253e-06,2.2056316e-05,0.0,1.5343161e-06,7.606426e-07,1.1119666e-06,3.7099624e-05,1.2710527e-05,2.4389097e-05,0.0,9.781452e-06,0.0,2.9290754e-06,5.394568e-06,3.1186632e-06,2.2759043e-06,0.0,3.1186632e-06,0.0,0.0,1.6079832e-05,5.9442073e-06,1.01356245e-05,2.8242036e-06,0.0,0.0,3.1200034e-06,0.139
7,4.9294984e-05,4.3101386e-06,4.498485e-05,0.0,3.7568927e-06,0.0,5.5324585e-07,2.0830808e-05,6.4215283e-06,1.4409281e-05,0.0,6.4215283e-06,0.0,0.0,6.756378e-06,2.5808572e-06,4.1755206e-06,0.0,0.0,2.5808572e-06,0.0,2.6070378e-05,5.233287e-06,2.0837091e-05,0.0,2.9023358e-06,0.0,2.330951e-06,0.14500000000000002
8,5.6995148e-05,1.183763e-05,4.5157518e-05,1.2313441e-06,3.312802e-06,5.51208e-06,1.7814048e-06,2.7447222e-05,9.115154e-06,1.8332066e-05,0.0,2.794093e-06,0.0,6.321061e-06,1.7399876e-05,1.3688697e-05,3.711179e-06,0.0,2.063634e-06,1.1625063e-05,0.0,6.355293e-05,1.4550928e-05,4.9001996e-05,0.0,0.0,6.1384635e-06,8.412465e-06,0.15100000000000002
9,6.19155e-05,7.3316946e-06,5.4583816e-05,1.4456605e-06,2.1465175e-06,2.4474168e-06,1.2921e-06,9.293826e-05,4.073841e-05,5.2199848e-05,0.0,1.9340563e-05,1.373643e-05,7.661416e-06,4.0571533e-05,3.3043878e-05,7.5276507e-06,0.0,0.0,2.478974e-05,8.254138e-06,7.067062e-05,2.3972809e-05,4.6697816e-05,3.4283753e-06,2.3899331e-06,3.9319843e-06,1.4222518e-05,0.15700000000000003
