,[Fe/H]_Median,[Fe/H]_MAD,StellarAge_BinCenters_Gyr,[Fe/H]_Median_H,[Fe/H]_MAD_H,[Fe/H]_Median_B,[Fe/H]_MAD_B,[Fe/H]_Median_CD,[Fe/H]_MAD_CD,[Fe/H]_Median_WD,[Fe/H]_MAD_WD
0,0.216546,0.193216,0.5,-0.088008,0.050576,0.818902,0.074888,0.209188,0.168731,0.284873,0.377375
1,0.191913,0.180706,1.5,-0.046425,0.119425,0.618795,0.182256,0.18304,0.146972,0.153079,0.207943
2,0.071277,0.169889,2.5,-0.037188,0.156268,0.23968,0.130965,0.105529,0.180926,0.101437,0.177881
3,-0.00402,0.202514,3.5,-0.075359,0.165388,0.302393,0.173724,0.009573,0.230595,-0.005188,0.215455
4,-0.098841,0.197966,4.5,-0.15393,0.17188,0.205335,0.210588,-0.075004,0.219184,-0.089746,0.207914
5,-0.202423,0.214944,5.5,-0.289318,0.174678,0.078079,0.203294,-0.164514,0.245016,-0.173583,0.229082
6,-0.278034,0.220984,6.5,-0.364372,0.181506,0.007519,0.207772,-0.227841,0.24422,-0.229257,0.242095
7,-0.365813,0.230069,7.5,-0.450496,0.20147,-0.104407,0.196437,-0.296387,0.241083,-0.319842,0.241105
8,-0.522533,0.250726,8.5,-0.612756,0.221139,-0.239236,0.233416,-0.444823,0.268863,-0.464627,0.262465
9,-0.62415,0.272963,9.5,-0.712808,0.249156,-0.307091,0.230573,-0.554092,0.279926,-0.56504,0.281715
10,-0.735586,0.272577,10.5,-0.851391,0.246845,-0.446214,0.227735,-0.679106,0.267255,-0.675548,0.272797
11,-0.959539,0.314675,11.5,-1.100122,0.277106,-0.650259,0.23415,-0.88917,0.322887,-0.888222,0.316248
12,-1.295014,0.377414,12.5,-1.462519,0.332419,-0.944307,0.308856,-1.219547,0.396837,-1.200776,0.394752
13,-1.834893,0.50709,13.5,-2.130455,0.480605,-1.464588,0.409472,-1.752257,0.42862,-1.728211,0.501393
