,Time_Gyr,ExpansionFactor,zPositionAbsMedian_kpc
0,,,
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
11,,,
12,,,
13,,,
14,,,
15,,,
16,,,
17,,,
18,,,
19,,,
20,,,
21,,,
22,,,
23,,,
24,,,
25,,,
26,,,
27,,,
28,,,
29,,,
30,,,
31,,,
32,,,
33,,,
34,,,
35,,,
36,,,
37,,,
38,,,
39,,,
40,,,
41,,,
42,,,
43,,,
44,,,
45,,,
46,,,
47,,,
48,,,
49,,,
50,,,
51,,,
52,,,
53,,,
54,,,
55,,,
56,,,
57,,,
58,,,
59,,,
60,,,
61,,,
62,,,
63,,,
64,,,
65,,,
66,,,
67,,,
68,,,
69,,,
70,,,
71,,,
72,,,
73,,,
74,,,
75,,,
76,,,
77,,,
78,,,
79,,,
80,,,
81,,,
82,,,
83,,,
84,,,
85,,,
86,,,
87,,,
88,,,
89,,,
90,,,
91,,,
92,,,
93,,,
94,,,
95,,,
96,,,
97,,,
98,,,
99,,,
100,,,
101,,,
102,,,
103,,,
104,,,
105,,,
106,,,
107,,,
108,,,
109,,,
110,,,
111,,,
112,,,
113,,,
114,,,
115,11.841788296065106,0.8674917093619414,0.22896379623407814
116,11.968923189270404,0.8757516765159388,0.17417691819313214
117,12.160973462266846,0.8882893272206793,0.17866070648194182
118,12.354616159128053,0.9010064725120812,0.19704783550172467
119,12.48458181323533,0.9095855560793044,0.20299746224079618
120,12.680814521632618,0.9226075876597282,0.19851614670314802
121,12.812479750823842,0.9313923498515226,0.19629644401729232
122,13.011220678541196,0.9447265771954694,0.19805714341692432
123,13.144530370226075,0.9537219490392906,0.1985163297448279
124,13.345696086314069,0.9673758568617342,0.20500599142497022
125,13.48059417811007,0.9765868876036025,0.20325566809328738
126,13.684100038722406,0.99056814006128,0.2103181717427473
127,13.82052979916365,0.9999999999999998,0.23449178498797854
