,StellarMassFraction_0,StellarMassFraction_0_InSitu,StellarMassFraction_0_ExSitu,StellarMassFraction_0to0,StellarMassFraction_1to0,StellarMassFraction_2to0,StellarMassFraction_3to0,StellarMassFraction_1,StellarMassFraction_1_InSitu,StellarMassFraction_1_ExSitu,StellarMassFraction_0to1,StellarMassFraction_1to1,StellarMassFraction_2to1,StellarMassFraction_3to1,StellarMassFraction_2,StellarMassFraction_2_InSitu,StellarMassFraction_2_ExSitu,StellarMassFraction_0to2,StellarMassFraction_1to2,StellarMassFraction_2to2,StellarMassFraction_3to2,StellarMassFraction_3,StellarMassFraction_3_InSitu,StellarMassFraction_3_ExSitu,StellarMassFraction_0to3,StellarMassFraction_1to3,StellarMassFraction_2to3,StellarMassFraction_3to3,Abundance_[O/H]
0,0.0010846497,0.00022025824,0.00086439145,0.00015816759,0.0,1.479726e-05,3.189515e-05,5.135231e-05,1.778495e-05,3.3567358e-05,6.2367135e-06,0.0,0.0,0.0,2.4192213e-05,7.7356035e-06,1.645661e-05,4.183614e-06,0.0,1.2520662e-06,0.0,7.722261e-05,1.7288294e-05,5.9934315e-05,5.3023523e-06,0.0,4.0857412e-06,3.0244425e-06,-1.9649999999999999
1,0.001343455,0.00025772495,0.0010857302,0.00016061094,0.0,4.1785646e-05,3.4821627e-05,4.4590044e-05,2.2009455e-05,2.2580592e-05,1.05090985e-05,0.0,0.0,0.0,2.9449177e-05,9.6289405e-06,1.9820234e-05,1.5844117e-06,0.0,2.169342e-06,0.0,0.00012378319,3.7663824e-05,8.611938e-05,1.6271768e-05,0.0,3.25835e-06,6.91238e-06,-1.895
2,0.0014497241,0.00030556577,0.0011441583,0.0002157419,0.0,5.069744e-06,4.2387885e-05,5.7497393e-05,3.1944837e-05,2.5552556e-05,0.0,0.0,0.0,0.0,3.4007877e-05,1.1044116e-05,2.2963763e-05,9.288947e-06,0.0,0.0,1.7551696e-06,0.000105331485,2.3218854e-05,8.211264e-05,1.0297462e-05,0.0,3.1356046e-06,0.0,-1.825
3,0.0019605716,0.0003549209,0.0016056508,0.00023057175,0.0,5.312894e-05,4.499533e-05,6.635109e-05,4.2370135e-05,2.3980954e-05,1.780403e-06,4.9042405e-06,0.0,2.832423e-06,3.253367e-05,5.738354e-06,2.6795318e-05,3.53325e-06,0.0,0.0,0.0,0.00014071888,4.0291405e-05,0.000100427475,1.6398517e-05,2.7456967e-06,2.1203339e-06,9.6459835e-06,-1.755
4,0.0024756356,0.00055737357,0.0019182619,0.00035326477,0.0,6.9395806e-05,7.962673e-05,5.083863e-05,1.8983108e-05,3.185552e-05,8.669444e-06,0.0,0.0,0.0,4.8428952e-05,1.0968359e-05,3.746059e-05,5.61219e-06,0.0,0.0,0.0,0.00017701197,4.298525e-05,0.00013402672,2.4138728e-05,1.9803108e-06,0.0,6.10579e-06,-1.685
5,0.002773835,0.0005167138,0.0022571213,0.00029759074,5.4052666e-06,4.480275e-05,0.00011646378,6.1170445e-05,2.8022712e-05,3.314773e-05,8.233998e-06,5.854773e-06,0.0,0.0,6.70151e-05,2.1912878e-05,4.5102217e-05,7.2357993e-06,0.0,3.190513e-06,4.855531e-06,0.00019810261,6.0591075e-05,0.00013751154,3.6445548e-05,0.0,5.012711e-06,1.3820463e-05,-1.615
6,0.0033041486,0.0008334774,0.0024706712,0.0005297092,1.3865566e-05,0.00010980066,0.00016321083,0.000103000886,6.17259e-05,4.127499e-05,2.8061926e-05,7.1087247e-06,0.0,0.0,8.866929e-05,2.7842323e-05,6.0826966e-05,1.4852619e-05,1.2635769e-06,0.0,3.5175171e-06,0.0002555529,8.4667015e-05,0.0001708859,4.1975298e-05,5.479772e-06,8.654461e-06,2.4375278e-05,-1.545
7,0.004410315,0.0010429779,0.003367337,0.00069612556,1.224913e-05,8.5364874e-05,0.00018418586,0.0001304319,7.933325e-05,5.1098657e-05,3.8322112e-05,1.0814736e-05,0.0,7.4020363e-06,7.215224e-05,1.735696e-05,5.479528e-05,9.719539e-06,1.9594318e-06,3.7668701e-06,0.0,0.00033640134,0.00011850857,0.00021789275,7.8703895e-05,4.1171493e-06,5.556359e-06,1.4033029e-05,-1.475
8,0.005314815,0.0012450882,0.0040697264,0.00083527423,2.582886e-05,0.000118009804,0.00023587579,0.00013748207,9.322864e-05,4.425344e-05,2.476546e-05,1.5360345e-05,3.3592585e-06,1.177719e-05,0.000114525574,4.7124435e-05,6.740114e-05,2.4926348e-05,3.6994932e-06,3.437754e-06,5.7336315e-06,0.00037735532,0.00014582516,0.00023153015,6.846009e-05,1.1799385e-05,1.6721522e-05,3.0710762e-05,-1.4049999999999998
9,0.006583892,0.0017642212,0.0048196707,0.0010760409,6.2280626e-05,0.00022538446,0.0003425296,0.00018765358,0.00012990015,5.775346e-05,3.700758e-05,3.4249457e-05,0.0,1.2441944e-05,0.00012428848,4.423126e-05,8.0057216e-05,1.9115436e-05,3.3011765e-06,5.443433e-06,8.61791e-06,0.00043451603,0.00014209434,0.0002924217,7.3501695e-05,1.5053369e-05,2.2958422e-05,2.6275984e-05,-1.335
