,Time_Gyr,ExpansionFactor,zPositionAbsMedian_kpc
0,,,
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
11,,,
12,,,
13,,,
14,,,
15,,,
16,,,
17,,,
18,,,
19,,,
20,,,
21,,,
22,,,
23,,,
24,,,
25,,,
26,,,
27,,,
28,,,
29,,,
30,,,
31,,,
32,,,
33,,,
34,,,
35,,,
36,,,
37,,,
38,,,
39,,,
40,,,
41,,,
42,,,
43,,,
44,,,
45,,,
46,,,
47,,,
48,,,
49,,,
50,,,
51,,,
52,,,
53,,,
54,,,
55,,,
56,,,
57,,,
58,,,
59,,,
60,,,
61,,,
62,,,
63,,,
64,,,
65,,,
66,,,
67,,,
68,,,
69,,,
70,,,
71,,,
72,,,
73,,,
74,,,
75,,,
76,,,
77,,,
78,,,
79,,,
80,,,
81,,,
82,,,
83,,,
84,,,
85,,,
86,,,
87,,,
88,,,
89,,,
90,,,
91,7.947679589081643,0.6255695465925124,0.3002066823417472
92,8.095671082722221,0.6345254785958663,0.3262141586578874
93,8.296126559325902,0.6466664866145445,0.30987372214229786
94,8.448811765562718,0.6559244517992534,0.3079451793926737
95,8.60349865622863,0.6653149581332802,0.31846123405061966
96,8.760179450310375,0.6748399031346985,0.34335554134720153
97,8.918845098217659,0.684501211487295,0.3556249147815984
98,9.079485288786328,0.6943008354294861,0.3544453994230604
99,9.242088459951992,0.7042407551488017,0.3538303290623648
100,9.406641813093389,0.7143229791820179,0.34942476016638707
101,9.573131331020738,0.7245495448210172,0.35814699369410846
102,9.741541799560094,0.7349225185244588,0.352479499245299
103,9.854874595547287,0.7419202059930923,0.35039598879549777
104,10.026449669104903,0.7525418658117033,0.3406861120757486
105,10.19989947196752,0.7633155900388464,0.34633447291824815
106,10.375204641492832,0.7742435556962617,0.34766080789335885
107,10.552344763553133,0.7853279709729014,0.35045120928426704
108,10.67144705609926,0.7928056023731169,0.34106688553771414
109,10.85159733936031,0.8041557601699713,0.33937036043393204
110,11.033523308792786,0.8156684118765909,0.3370477132408923
111,11.155782009390867,0.823434934850752,0.338292872880085
112,11.340613907183545,0.8352235958012078,0.34138415485321427
113,11.527155884914245,0.8471810284677068,0.33858576074918034
114,11.652454415336605,0.8552476040823377,0.3426056818543
115,11.841788296065106,0.8674917093619414,0.33370074346751905
116,11.968923189270404,0.8757516765159388,0.33293530451956077
117,12.160973462266846,0.8882893272206793,0.32733388008740955
118,12.354616159128053,0.9010064725120812,0.33270940948772665
119,12.48458181323533,0.9095855560793044,0.33599515206626285
120,12.680814521632618,0.9226075876597282,0.3326837198198198
121,12.812479750823842,0.9313923498515226,0.3365702387970162
122,13.011220678541196,0.9447265771954694,0.3407619406839823
123,13.144530370226075,0.9537219490392906,0.3364059992616627
124,13.345696086314069,0.9673758568617342,0.3344340467571907
125,13.48059417811007,0.9765868876036025,0.3344315715251724
126,13.684100038722406,0.99056814006128,0.3369537393672771
127,13.82052979916365,0.9999999999999998,0.36714578775613904
