,GravPotential_(km/s)^2,SphericalRadius_ckpc
0,-352808.65431833407,0.0
1,-292076.06819655176,1.0
2,-245899.4728645258,2.0
3,-217011.8629385965,3.0
4,-198011.45233755212,4.0
5,-184090.17166260074,5.0
6,-173273.30920196368,6.0
7,-164391.26138516664,7.0
8,-156933.85415997883,8.0
9,-150598.93936368238,9.0
10,-145077.03059359195,10.0
11,-140224.63577133248,11.0
12,-135896.2674331428,12.0
13,-132000.02848175116,13.0
14,-128471.86220147357,14.0
15,-125255.47446211522,15.0
16,-122324.25570878507,16.0
17,-119568.89678096132,17.0
18,-117030.0631390296,18.0
19,-114646.24052592035,19.0
20,-112429.68641597242,20.0
21,-110347.83175816534,21.0
22,-108384.47069386672,22.0
23,-106511.63723652106,23.0
24,-104756.47343297789,24.0
25,-103064.27649519921,25.0
26,-101455.89184294008,26.0
27,-99944.04959303998,27.0
28,-98469.83614521788,28.0
29,-97082.39382794293,29.0
30,-95740.57679355935,30.0
31,-94440.03791406051,31.0
32,-93199.77221224958,32.0
33,-92014.40702374626,33.0
34,-90872.48563609044,34.0
35,-89749.17261572737,35.0
36,-88707.65053628675,36.0
37,-87659.1222508664,37.0
38,-86695.89649571218,38.0
39,-85732.65792226708,39.0
40,-84797.37402443479,40.0
41,-83899.3415609838,41.0
42,-83031.95088260257,42.0
43,-82182.78512779418,43.0
44,-81357.22793437481,44.0
45,-80563.43821597035,45.0
46,-79818.67898671556,46.0
47,-79069.45306460239,47.0
48,-78325.07679323356,48.0
49,-77624.33332931765,49.0
50,-76914.47712120699,50.0
51,-76233.1882866122,51.0
52,-75561.1975450521,52.0
53,-74928.92659618889,53.0
54,-74294.34271087524,54.0
55,-73680.80188838956,55.0
56,-73079.96652258156,56.0
57,-72488.30277004906,57.0
58,-71908.5247437123,58.0
59,-71337.78094896516,59.0
60,-70774.52098226981,60.0
61,-70253.04984529314,61.0
62,-69729.65587644807,62.0
63,-69205.11744300692,63.0
64,-68679.65498354207,64.0
65,-68201.37317703264,65.0
66,-67740.67843344115,66.0
67,-67240.17809944027,67.0
68,-66770.2532331238,68.0
69,-66317.42733721781,69.0
70,-65864.09152878392,70.0
71,-65463.0364607949,71.0
72,-65000.598105447905,72.0
73,-64564.84362529293,73.0
74,-64192.602530831144,74.0
75,-63773.9646699968,75.0
76,-63391.67759777503,76.0
77,-62983.4073605057,77.0
78,-62619.16208726198,78.0
79,-62215.27602137883,79.0
80,-61849.113600982906,80.0
81,-61462.21508111471,81.0
82,-61098.797727549725,82.0
83,-60755.40217274807,83.0
84,-60419.867433756895,84.0
85,-60081.51984999506,85.0
86,-59708.25911675295,86.0
87,-59407.881711568385,87.0
88,-59123.337122430945,88.0
89,-58860.45356009027,89.0
90,-58570.7023551411,90.0
91,-58284.28308426151,91.0
92,-58052.1348773204,92.0
93,-57799.76075901217,93.0
94,-57533.979736042296,94.0
95,-57307.61953171107,95.0
96,-57178.267267310104,96.0
97,-56964.76826264912,97.0
98,-56953.5350466043,98.0
99,-57042.96382072998,99.0
100,-57270.62500307482,100.0
101,-56993.97227205366,101.0
102,-56168.980364073126,102.0
103,-55643.5165249742,103.0
104,-55220.848624644306,104.0
105,-54823.323902437674,105.0
106,-54515.30581768005,106.0
107,-54234.52897097392,107.0
108,-53961.81415941544,108.0
109,-53724.44411574374,109.0
110,-53354.19202737213,110.0
111,-53068.91601377685,111.0
112,-52840.83316774976,112.0
113,-52513.722684327266,113.0
114,-52294.68901009385,114.0
115,-52065.166185444585,115.0
116,-51803.58305020252,116.0
117,-51611.29827787359,117.0
