,[Fe/H]_Median,[Fe/H]_MAD,StellarAge_BinCenters_Gyr,[Fe/H]_Median_H,[Fe/H]_MAD_H,[Fe/H]_Median_B,[Fe/H]_MAD_B,[Fe/H]_Median_CD,[Fe/H]_MAD_CD,[Fe/H]_Median_WD,[Fe/H]_MAD_WD
0,0.183895,0.148194,0.5,-0.313728,0.031684,1.015278,0.042268,0.180696,0.146316,0.739711,0.324598
1,0.12342,0.16633,1.5,-0.387407,0.11388,0.991692,0.044952,0.117203,0.160441,0.37991,0.425929
2,0.101024,0.193749,2.5,-0.168572,0.007633,0.920806,0.048267,0.090391,0.185632,0.282265,0.338301
3,0.095422,0.178096,3.5,-0.272719,0.049197,0.78188,0.067078,0.084617,0.170769,0.166682,0.238601
4,-0.018181,0.19941,4.5,-0.371381,0.083081,0.752209,0.087502,-0.023291,0.191942,0.005968,0.243539
5,-0.027757,0.21729,5.5,-0.309431,0.162432,0.634244,0.147979,-0.031073,0.211806,-0.026207,0.226793
6,-0.088685,0.218526,6.5,-0.427421,0.117165,0.555953,0.197188,-0.068829,0.200414,-0.111687,0.228121
7,-0.165911,0.220114,7.5,-0.468942,0.155976,0.513805,0.171819,-0.14934,0.198208,-0.176568,0.227482
8,-0.2764,0.232927,8.5,-0.575491,0.113479,-0.079656,0.27168,-0.243135,0.213422,-0.255858,0.232699
9,-0.420037,0.250562,9.5,-0.687819,0.149765,-0.241299,0.248046,-0.338699,0.222318,-0.351377,0.237634
10,-0.47623,0.303105,10.5,-0.833073,0.222865,-0.249964,0.290105,-0.429599,0.264669,-0.420551,0.273133
11,-0.616256,0.303745,11.5,-1.048874,0.273914,-0.452933,0.260314,-0.620537,0.299944,-0.583139,0.288187
12,-0.866866,0.355043,12.5,-1.340128,0.313881,-0.648622,0.273368,-0.970872,0.382789,-0.904058,0.359196
13,-1.432514,0.470122,13.5,-2.040397,0.460833,-1.194405,0.338459,-1.532341,0.540982,-1.486218,0.487922
