,[Fe/H]_Median,[Fe/H]_MAD,StellarAge_BinCenters_Gyr,[Fe/H]_Median_H,[Fe/H]_MAD_H,[Fe/H]_Median_B,[Fe/H]_MAD_B,[Fe/H]_Median_CD,[Fe/H]_MAD_CD,[Fe/H]_Median_WD,[Fe/H]_MAD_WD
0,0.090761,0.205003,0.5,-0.099561,0.143363,0.532263,0.117117,0.026308,0.184562,0.153553,0.196666
1,-0.095079,0.203802,1.5,-0.227843,0.14167,0.795523,0.068972,-0.086891,0.201586,-0.095716,0.198727
2,0.022715,0.232344,2.5,-0.234001,0.153024,0.584354,0.104203,0.009765,0.200062,-0.00195,0.220892
3,-0.060203,0.2281,3.5,-0.264238,0.138176,0.509281,0.102488,-0.083009,0.189719,-0.076954,0.218917
4,-0.009143,0.25171,4.5,-0.374324,0.167488,0.464938,0.117098,-0.078648,0.190504,-0.017985,0.233375
5,0.001917,0.263768,5.5,-0.445233,0.159727,0.3532,0.152328,-0.109863,0.192705,-0.023781,0.228811
6,-0.078166,0.244131,6.5,-0.480817,0.098033,0.191847,0.179851,-0.143077,0.205493,-0.086371,0.223407
7,-0.171916,0.246286,7.5,-0.581902,0.112977,0.053927,0.227948,-0.233388,0.200707,-0.178905,0.222671
8,-0.283554,0.24799,8.5,-0.67054,0.106007,-0.159728,0.243116,-0.323512,0.21778,-0.282844,0.226968
9,-0.527384,0.270633,9.5,-0.820618,0.159589,-0.320726,0.224452,-0.594247,0.263288,-0.567699,0.275862
10,-0.664426,0.276595,10.5,-1.007568,0.225203,-0.447811,0.227508,-0.785593,0.286897,-0.722676,0.283751
11,-0.756766,0.328369,11.5,-1.17708,0.242704,-0.512116,0.226761,-0.979163,0.311028,-0.894114,0.351384
12,-0.916967,0.356567,12.5,-1.48472,0.316041,-0.717444,0.245984,-1.144664,0.422092,-1.036289,0.39806
13,-1.384127,0.414278,13.5,-2.039521,0.416287,-1.228231,0.319263,-1.560642,0.433897,-1.441787,0.454643
