SnapshotNumber,Time_Gyr,StellarMassInR200_Msun,StellarMassIn0.5R200_Msun,StellarMassIn0.3R200_Msun
0,,,,
1,,,,
2,,,,
3,,,,
4,,,,
5,,,,
6,,,,
7,,,,
8,,,,
9,,,,
10,,,,
11,,,,
12,,,,
13,,,,
14,,,,
15,,,,
16,,,,
17,,,,
18,,,,
19,,,,
20,,,,
21,,,,
22,,,,
23,,,,
24,,,,
25,,,,
26,,,,
27,,,,
28,,,,
29,,,,
30,,,,
31,,,,
32,,,,
33,,,,
34,,,,
35,0.597,115046.0,75162.0,75160.0
36,0.641,12465280.0,0.0,0.0
37,0.689,279264.0,169664.0,169664.0
38,0.734,223520.0,0.0,0.0
39,0.788,113976.0,56600.0,0.0
40,0.846,34720.0,0.0,0.0
41,0.908,196752.0,0.0,0.0
42,0.968,0.0,0.0,0.0
43,1.039,43376.0,0.0,0.0
44,1.115,0.0,0.0,0.0
45,1.197,0.0,0.0,0.0
46,1.285,0.0,0.0,0.0
47,1.37,0.0,0.0,0.0
48,1.47,0.0,0.0,0.0
49,1.578,11420352.0,0.0,0.0
50,1.693,0.0,0.0,0.0
51,1.817,0.0,0.0,0.0
52,1.949,0.0,0.0,0.0
53,2.091,0.0,0.0,0.0
54,2.244,0.0,0.0,0.0
55,2.39,0.0,0.0,0.0
56,2.545,0.0,0.0,0.0
57,2.691,0.0,0.0,0.0
58,2.846,0.0,0.0,0.0
59,2.988,0.0,0.0,0.0
60,3.137,0.0,0.0,0.0
61,3.293,0.0,0.0,0.0
62,3.456,0.0,0.0,0.0
63,3.602,107392.0,0.0,0.0
64,3.754,0.0,0.0,0.0
65,3.911,0.0,0.0,0.0
66,4.047,0.0,0.0,0.0
67,4.217,62218240.0,825344.0,0.0
68,4.362,0.0,0.0,0.0
69,4.513,0.0,0.0,0.0
70,4.668,4044800.0,97280.0,0.0
71,4.827,66560.0,0.0,0.0
72,4.992,0.0,0.0,0.0
73,5.127,0.0,0.0,0.0
74,5.301,0.0,0.0,0.0
75,5.444,30208.0,0.0,0.0
76,5.59,0.0,0.0,0.0
77,5.739,0.0,0.0,0.0
78,5.93,0.0,0.0,0.0
79,6.087,0.0,0.0,0.0
80,6.207,0.0,0.0,0.0
81,6.37,0.0,0.0,0.0
82,6.537,0.0,0.0,0.0
83,6.707,0.0,0.0,0.0
84,6.836,0.0,0.0,0.0
85,7.013,86016.0,0.0,0.0
86,7.147,0.0,0.0,0.0
87,7.33,0.0,0.0,0.0
88,7.469,0.0,0.0,0.0
89,7.658,0.0,0.0,0.0
90,7.802,0.0,0.0,0.0
91,7.948,0.0,0.0,0.0
92,8.096,0.0,0.0,0.0
93,8.296,0.0,0.0,0.0
94,8.449,0.0,0.0,0.0
95,8.603,0.0,0.0,0.0
96,8.76,997376.0,0.0,0.0
97,8.919,0.0,0.0,0.0
98,9.079,0.0,0.0,0.0
99,9.242,0.0,0.0,0.0
100,9.407,0.0,0.0,0.0
101,9.573,0.0,0.0,0.0
102,9.742,0.0,0.0,0.0
103,9.855,0.0,0.0,0.0
104,10.026,0.0,0.0,0.0
105,10.2,0.0,0.0,0.0
106,10.375,0.0,0.0,0.0
107,10.552,0.0,0.0,0.0
108,10.671,0.0,0.0,0.0
109,10.852,0.0,0.0,0.0
110,11.034,0.0,0.0,0.0
111,11.156,0.0,0.0,0.0
112,11.341,9880807424.0,44339200.0,65536.0
113,11.527,10210052096.0,350072832.0,71680.0
114,11.652,10392674304.0,2847913984.0,169984.0
115,11.842,10691162112.0,6147026944.0,1886208.0
116,11.969,10834657280.0,6412015616.0,31979520.0
117,12.161,7270604800.0,1513474048.0,108544.0
118,12.355,6393731072.0,6373967872.0,38690816.0
119,12.485,5473497088.0,5473126400.0,4673310720.0
120,12.681,4948176896.0,4926683136.0,3994959872.0
121,12.812,6264231936.0,5382838272.0,4822016000.0
122,13.011,5204410368.0,4190167040.0,4157878272.0
123,13.145,1841606656.0,1217683456.0,1214881792.0
124,13.346,1229957120.0,1205667840.0,1203265536.0
125,13.481,5157724160.0,114857984.0,98942976.0
126,13.684,11148769280.0,110925824.0,2013184.0
127,13.821,12164263936.0,88135680.0,5265408.0
