SnapshotNumber,Time_Gyr,StellarMassInR200_Msun,StellarMassIn0.5R200_Msun,StellarMassIn0.3R200_Msun
0,,,,
1,,,,
2,,,,
3,,,,
4,,,,
5,,,,
6,,,,
7,,,,
8,,,,
9,,,,
10,,,,
11,,,,
12,,,,
13,,,,
14,,,,
15,,,,
16,,,,
17,,,,
18,,,,
19,,,,
20,,,,
21,,,,
22,,,,
23,,,,
24,,,,
25,,,,
26,,,,
27,,,,
28,,,,
29,,,,
30,,,,
31,,,,
32,,,,
33,,,,
34,,,,
35,0.597,0.0,0.0,0.0
36,0.641,0.0,0.0,0.0
37,0.689,91472.0,0.0,0.0
38,0.734,405885.0,0.0,0.0
39,0.788,1129416.0,554584.0,196892.0
40,0.846,138736.0,63618.0,63616.0
41,0.908,242296.0,0.0,0.0
42,0.968,258084.0,0.0,0.0
43,1.039,12568144.0,127600.0,0.0
44,1.115,5812208.0,1695632.0,106824.0
45,1.197,6397104.0,4660928.0,1600064.0
46,1.285,99701248.0,2311280.0,0.0
47,1.37,10847744.0,5895296.0,2445664.0
48,1.47,11037312.0,7158016.0,2047616.0
49,1.578,14934528.0,10409344.0,838912.0
50,1.693,73234080.0,69639616.0,55173136.0
51,1.817,143814080.0,74608512.0,55588288.0
52,1.949,426380288.0,28669440.0,13930304.0
53,2.091,16646400.0,687744.0,0.0
54,2.244,14417792.0,638208.0,0.0
55,2.39,500590720.0,38801152.0,8343936.0
56,2.545,461323520.0,368596352.0,212530944.0
57,2.691,644241920.0,138608896.0,135556352.0
58,2.846,24425216.0,15694592.0,5984000.0
59,2.988,662532352.0,543994368.0,444768000.0
60,3.137,1352738816.0,1244420096.0,4326144.0
61,3.293,844334592.0,821648384.0,740361216.0
62,3.456,101317120.0,82867200.0,6943232.0
63,3.602,92386304.0,65650688.0,6627840.0
64,3.754,106738688.0,48606208.0,13225984.0
65,3.911,140030976.0,54578176.0,2912256.0
66,4.047,136513536.0,42573824.0,2507776.0
67,4.217,132185088.0,40476672.0,28278784.0
68,4.362,1317905408.0,39904256.0,22683648.0
69,4.513,10742286336.0,152957952.0,21018624.0
70,4.668,8318545920.0,8223381504.0,8176484352.0
71,4.827,6376439808.0,5581862912.0,5566564352.0
72,4.992,891793408.0,91254784.0,31733760.0
73,5.127,904572928.0,766132224.0,52768768.0
74,5.301,960094208.0,903319552.0,50753536.0
75,5.444,1029349376.0,949415936.0,1175552.0
76,5.59,1116241920.0,57241600.0,270336.0
77,5.739,1304309760.0,55156736.0,1097728.0
78,5.93,1307246592.0,28745728.0,15007744.0
79,6.087,1282285568.0,226103296.0,17174528.0
80,6.207,749608960.0,201953280.0,163037184.0
81,6.37,426524672.0,224002048.0,10539008.0
82,6.537,712773632.0,23568384.0,204800.0
83,6.707,1434820608.0,15134720.0,9195520.0
84,6.836,1492226048.0,83329024.0,7262208.0
85,7.013,1483517952.0,92708864.0,82317312.0
86,7.147,1505644544.0,95404032.0,87908352.0
87,7.33,1482846208.0,92176384.0,204800.0
88,7.469,1488769024.0,1171238912.0,851968.0
89,7.658,1214406656.0,867459072.0,860815360.0
90,7.802,1390919680.0,1069064192.0,1060229120.0
91,7.948,1373888512.0,1048518656.0,1560576.0
92,8.096,1342189568.0,936943616.0,7397376.0
93,8.296,1352384512.0,35848192.0,1822720.0
94,8.449,1339392000.0,150339584.0,10256384.0
95,8.603,1675141120.0,342622208.0,20701184.0
96,8.76,1721925632.0,1119502336.0,60456960.0
97,8.919,1696825344.0,1074593792.0,130064384.0
98,9.079,1508794368.0,833396736.0,757547008.0
99,9.242,1462550528.0,862347264.0,761200640.0
100,9.407,1409294336.0,779624448.0,757792768.0
101,9.573,1411850240.0,813629440.0,48390144.0
102,9.742,1392287744.0,711262208.0,690683904.0
103,9.855,1385758720.0,697090048.0,641499136.0
104,10.026,1159520256.0,449912832.0,375037952.0
105,10.2,1063428096.0,327450624.0,298229760.0
106,10.375,857047040.0,314056704.0,265019392.0
107,10.552,413630464.0,287948800.0,222781440.0
108,10.671,353984512.0,221380608.0,173113344.0
109,10.852,267067392.0,130899968.0,93257728.0
110,11.034,196280320.0,85188608.0,43417600.0
111,11.156,179167232.0,74006528.0,37879808.0
112,11.341,155975680.0,48144384.0,41476096.0
113,11.527,129302528.0,21061632.0,19456000.0
114,11.652,140050432.0,22913024.0,17088512.0
115,11.842,144875520.0,23101440.0,802816.0
116,11.969,142565376.0,26173440.0,24576.0
117,12.161,182067200.0,11460608.0,8183808.0
118,12.355,180355072.0,13852672.0,7512064.0
119,12.485,180371456.0,13623296.0,360448.0
120,12.681,186556416.0,16261120.0,4874240.0
121,12.812,189988864.0,28975104.0,6627328.0
122,13.011,174391296.0,70721536.0,7479296.0
123,13.145,166985728.0,63733760.0,53673984.0
124,13.346,153411584.0,72867840.0,45817856.0
125,13.481,156450816.0,91488256.0,5423104.0
126,13.684,253001728.0,60129280.0,16515072.0
127,13.821,251609088.0,63225856.0,26935296.0
