,[Fe/H]_Median,[Fe/H]_MAD,StellarAge_BinCenters_Gyr,[Fe/H]_Median_H,[Fe/H]_MAD_H,[Fe/H]_Median_B,[Fe/H]_MAD_B,[Fe/H]_Median_CD,[Fe/H]_MAD_CD,[Fe/H]_Median_WD,[Fe/H]_MAD_WD
0,0.464374,0.144714,0.5,0.020119,0.079612,0.54998,0.098404,0.370858,0.141879,0.448127,0.14395
1,0.406127,0.17336,1.5,-0.057298,0.050048,0.625186,0.085058,0.292761,0.109071,0.449378,0.149242
2,0.407041,0.18414,2.5,-0.068816,0.078,0.626561,0.090241,0.27413,0.112146,0.454139,0.155386
3,0.25482,0.168468,3.5,-0.178667,0.132076,0.46608,0.075891,0.173373,0.125705,0.328188,0.149416
4,0.145888,0.195023,4.5,-0.187021,0.172058,0.488162,0.107535,0.083373,0.14471,0.201026,0.212967
5,0.126757,0.241052,5.5,-0.222673,0.14723,0.51328,0.094452,0.016882,0.155863,0.165622,0.260639
6,0.118327,0.233518,6.5,-0.304279,0.116075,0.423338,0.147118,-0.007024,0.157148,0.117687,0.223655
7,0.021304,0.219472,7.5,-0.380416,0.133536,0.331628,0.183981,-0.035093,0.152289,-0.000928,0.21444
8,-0.093962,0.232627,8.5,-0.432728,0.135742,0.19683,0.226249,-0.163179,0.152786,-0.140324,0.203236
9,-0.216979,0.221553,9.5,-0.364294,0.169384,0.015799,0.178672,-0.169698,0.217187,-0.192219,0.220138
10,-0.475149,0.256092,10.5,-0.597188,0.213843,-0.166437,0.218868,-0.376744,0.265748,-0.408094,0.259937
11,-0.763867,0.300974,11.5,-0.862816,0.276688,-0.407194,0.232233,-0.68864,0.311624,-0.717649,0.31037
12,-1.1143,0.378899,12.5,-1.228883,0.352879,-0.718922,0.277971,-1.049772,0.383356,-1.058688,0.385323
13,-2.015419,0.471056,13.5,-2.080488,0.482784,-1.754382,0.395574,-1.964998,0.422624,-1.940562,0.455003
