,Time_Gyr,ExpansionFactor,zPositionMedian_kpc,zPosition16thPercentile_kpc,zPosition84thPercentile_kpc,zPositionAbsMedian_kpc,zPositionAbs16thPercentile_kpc,zPositionAbs84thPercentile_kpc,zAngularMomFracMedian,zAngularMomFrac16thPercentile,zAngularMomFrac84thPercentile,CircularityMedian,Circularity16thPercentile,Circularity84thPercentile
0,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,
40,0.8458612530579325,0.1334828742744916,-0.051226538264680634,-0.11316999130850164,0.007922938098079337,0.051226538264680634,0.04070792258747495,0.11316999130850162,0.9845435784913021,0.9452891164703133,0.984666235495505,1.0373447974359913,0.9156999427460464,1.043975880687419
41,0.9080449696290195,0.13995994787469493,0.3446866969423303,0.13634652841170544,0.5410558547965348,0.3446866969423303,0.13634652841170544,0.5410558547965348,0.8823379019491067,0.8413581408917229,0.9677442932745376,0.42735901537867177,0.2955021178575344,0.9335399659773836
42,0.9678924784861273,0.14605760406878063,-11.596571029241478,-11.596571029241478,-11.596571029241478,11.596571029241478,11.596571029241478,11.596571029241478,-0.9521067930583111,-0.9521067930583111,-0.9521067930583111,-0.4775312396216615,-0.4775312396216615,-0.4775312396216615
43,1.0390037466243902,0.15314484920464314,-0.24155420104998077,-0.4766958435795719,0.34213279571116595,0.3638013377284136,0.16657552515047233,0.8002323946855937,-0.7096343567101759,-0.9427002316725555,0.5658195823470366,-0.515251367888436,-0.8163712689472967,0.45868986841799675
