,GravPotential_(km/s)^2,SphericalRadius_ckpc
0,-348694.4904851654,0.0
1,-328079.6071110257,1.0
2,-308103.0281155229,2.0
3,-293824.9976329059,3.0
4,-283178.4983781087,4.0
5,-274517.6654294397,5.0
6,-267095.42815426964,6.0
7,-260740.00062406028,7.0
8,-255150.06489974403,8.0
9,-250168.27848337463,9.0
10,-245647.62886987394,10.0
11,-241460.2746815623,11.0
12,-237674.1474263732,12.0
13,-234074.21026694067,13.0
14,-230749.19837462372,14.0
15,-227634.19294830857,15.0
16,-224645.03978705616,16.0
17,-221844.8258190045,17.0
18,-219139.008487944,18.0
19,-216588.73476798384,19.0
20,-214140.0907591319,20.0
21,-211767.55088610228,21.0
22,-209490.45490331904,22.0
23,-207311.66604467918,23.0
24,-205246.09572820843,24.0
25,-203211.40361716133,25.0
26,-201205.0402887213,26.0
27,-199339.66810284692,27.0
28,-197521.76121991005,28.0
29,-195685.62231965578,29.0
30,-193971.89465941305,30.0
31,-192294.0816435021,31.0
32,-190601.6135939732,32.0
33,-189071.23177733886,33.0
34,-187565.9762266741,34.0
35,-186033.3379165338,35.0
36,-184585.5672389149,36.0
37,-183205.89459148634,37.0
38,-181843.81734022405,38.0
39,-180485.40056650608,39.0
40,-179149.34934449958,40.0
41,-177896.39924567172,41.0
42,-176674.79903059153,42.0
43,-175467.34652685816,43.0
44,-174267.00930688155,44.0
45,-173074.38032912466,45.0
46,-171929.91638446783,46.0
47,-170866.79228195816,47.0
48,-169749.84889597143,48.0
49,-168718.17729934544,49.0
50,-167663.17547567986,50.0
51,-166651.89059255776,51.0
52,-165638.2373305419,52.0
53,-164688.5776974814,53.0
54,-163729.34458417015,54.0
55,-162776.74215685797,55.0
56,-161890.40242063493,56.0
57,-161005.08074357305,57.0
58,-160128.94805629685,58.0
59,-159285.6856377445,59.0
60,-158456.82223499936,60.0
61,-157655.66839236332,61.0
62,-156853.3937576096,62.0
63,-156051.9954385723,63.0
64,-155324.81005019517,64.0
65,-154559.76049637786,65.0
66,-153832.24478954024,66.0
67,-153130.0119088373,67.0
68,-152456.81012950707,68.0
69,-151756.26648872936,69.0
70,-151049.4362525537,70.0
71,-150416.36255084845,71.0
72,-149765.69737305236,72.0
73,-149132.8513194281,73.0
74,-148505.84450794556,74.0
75,-147919.27650470135,75.0
76,-147312.09498422768,76.0
77,-146735.78375621166,77.0
78,-146160.83970406075,78.0
79,-145617.17949384524,79.0
80,-145045.0680597365,80.0
81,-144534.81775138376,81.0
82,-144003.4284972556,82.0
83,-143482.95349552608,83.0
84,-142969.76356577195,84.0
85,-142457.6903848326,85.0
86,-141945.97613513411,86.0
87,-141439.5530599293,87.0
88,-140957.239413005,88.0
89,-140475.14219548553,89.0
90,-140009.02195753125,90.0
91,-139514.55692352547,91.0
92,-139106.60632645912,92.0
93,-138682.9387489686,93.0
94,-138219.20036933006,94.0
95,-137789.60635117977,95.0
96,-137349.64243338746,96.0
97,-136917.20599946193,97.0
98,-136506.11980570908,98.0
99,-136100.7256955683,99.0
100,-135675.66541807575,100.0
101,-135308.6802183797,101.0
102,-134907.77531489267,102.0
103,-134516.78319758468,103.0
104,-134134.27902701838,104.0
105,-133747.02081796402,105.0
106,-133381.36020887937,106.0
107,-133023.76753455927,107.0
108,-132696.45354782435,108.0
109,-132319.11987485288,109.0
110,-131935.27354814365,110.0
111,-131640.8712899364,111.0
112,-131305.16090840416,112.0
113,-130965.3982251128,113.0
114,-130638.87761992606,114.0
115,-130292.74038865471,115.0
116,-129966.95315429744,116.0
117,-129662.78496388825,117.0
118,-129419.97472084367,118.0
119,-129097.24510889847,119.0
120,-128830.6687225245,120.0
121,-128555.30604064543,121.0
122,-128224.029707456,122.0
123,-127982.37894616788,123.0
124,-127654.39999677021,124.0
125,-127383.00304671265,125.0
126,-127115.52936112559,126.0
127,-126844.83457478958,127.0
128,-126533.51398150383,128.0
129,-126351.60380642019,129.0
130,-126087.33044221446,130.0
131,-125905.62076305965,131.0
132,-125642.61301914231,132.0
133,-125439.00015759673,133.0
134,-125170.44860404871,134.0
135,-124961.55034817144,135.0
136,-124711.03214816746,136.0
137,-124479.74420438409,137.0
138,-124315.38185874012,138.0
139,-124101.24589383785,139.0
140,-123868.21648586783,140.0
141,-123658.06130155234,141.0
142,-123538.1234407417,142.0
143,-123268.76703287612,143.0
144,-123160.37962199365,144.0
145,-123008.54702782306,145.0
146,-122963.61955225212,146.0
147,-122708.27879797957,147.0
148,-122640.57238694669,148.0
149,-122461.66904856983,149.0
150,-122281.68354448117,150.0
151,-122233.38728500772,151.0
152,-122242.0281339333,152.0
153,-122152.08730806582,153.0
154,-122172.65019253906,154.0
155,-122176.86116357427,155.0
156,-122051.81109042234,156.0
157,-122184.68277558032,157.0
158,-122229.605904545,158.0
159,-122404.59239261407,159.0
160,-122468.03183699862,160.0
161,-122650.29713583496,161.0
162,-122747.5475566917,162.0
163,-122956.03461651359,163.0
164,-123301.29706990375,164.0
165,-123639.81962655166,165.0
166,-124108.27655786961,166.0
167,-124574.20718433053,167.0
168,-125193.75817859004,168.0
169,-125677.14828787888,169.0
170,-126451.71421080006,170.0
171,-127272.03949868878,171.0
172,-128364.08039916513,172.0
173,-129907.95750172033,173.0
174,-131329.88763146292,174.0
175,-133384.83547635772,175.0
176,-136008.73231550882,176.0
177,-138708.93816880425,177.0
178,-143807.41853094863,178.0
179,-150924.13891490526,179.0
180,-152080.1492824602,180.0
181,-144008.0697207562,181.0
182,-138690.32268214197,182.0
183,-135283.34069673685,183.0
184,-132433.65936522128,184.0
185,-129901.12349212226,185.0
186,-127783.77032780652,186.0
187,-126201.08217539471,187.0
188,-124605.53912902494,188.0
189,-123323.33609866306,189.0
190,-122131.25162266404,190.0
191,-121059.66646840113,191.0
192,-120220.67904981851,192.0
193,-119196.96134792033,193.0
194,-118583.03619368952,194.0
195,-118041.83377079107,195.0
196,-117425.1157571775,196.0
197,-116590.41626201475,197.0
198,-116273.3149326423,198.0
199,-115625.2831437847,199.0
200,-115109.97534816481,200.0
201,-114821.07671197213,201.0
202,-114380.73082539966,202.0
203,-113931.21649550609,203.0
204,-113593.85217267054,204.0
205,-113278.03369209016,205.0
206,-112885.24416164192,206.0
207,-112444.4437302517,207.0
208,-112337.44208255377,208.0
209,-111915.99633494463,209.0
210,-111537.55929528891,210.0
211,-111448.32370288945,211.0
212,-111194.24336167477,212.0
213,-110963.45063800733,213.0
214,-110552.60066191466,214.0
215,-110271.11485884023,215.0
216,-110047.74975421706,216.0
217,-109960.51472040032,217.0
218,-109712.01132416073,218.0
219,-109488.48966121193,219.0
220,-109294.23023301149,220.0
221,-108960.05465596676,221.0
222,-108834.86746416062,222.0
223,-108542.59910720635,223.0
224,-108385.58561009026,224.0
225,-108259.45828709575,225.0
226,-108002.53767466705,226.0
227,-107778.06830103365,227.0
228,-107609.93963073239,228.0
229,-107376.42438692697,229.0
230,-107223.95374655885,230.0
231,-107120.63477581988,231.0
232,-107035.69252428768,232.0
233,-106923.88183483711,233.0
234,-106881.71822827218,234.0
235,-106839.98741198184,235.0
236,-106937.58822937218,236.0
237,-106769.91866913479,237.0
238,-106344.75324113785,238.0
239,-105970.9149609375,239.0
240,-105663.8132237369,240.0
241,-105477.88546154494,241.0
242,-105324.14681101764,242.0
243,-105142.5852689226,243.0
244,-105011.57278444014,244.0
245,-104776.06680426946,245.0
246,-104682.54453337281,246.0
247,-104483.30311734896,247.0
248,-104487.47303452267,248.0
249,-104375.70699546374,249.0
250,-104372.59754801082,250.0
251,-104259.08055908901,251.0
252,-103898.86762111625,252.0
253,-103653.78820508125,253.0
254,-103510.57484258662,254.0
255,-103291.85708738488,255.0
256,-103147.91477892236,256.0
257,-102934.45056921298,257.0
258,-102875.84254512707,258.0
259,-102751.4487400964,259.0
260,-102565.0258864207,260.0
261,-102383.36017453391,261.0
262,-102282.54649709711,262.0
263,-102166.60152186525,263.0
264,-101954.44054594114,264.0
265,-101858.63346445977,265.0
266,-101709.48544129981,266.0
267,-101569.3830037195,267.0
268,-101510.02891032744,268.0
269,-101365.10730826014,269.0
270,-101260.32385984242,270.0
271,-101153.86349036123,271.0
272,-100990.4774277857,272.0
273,-100883.49384088216,273.0
274,-100791.99324166449,274.0
275,-100686.69769518408,275.0
276,-100512.01106187401,276.0
277,-100432.24135714919,277.0
278,-100319.97736631318,278.0
279,-100205.40613008656,279.0
280,-100155.14648246307,280.0
