,[Fe/H]_Median,[Fe/H]_MAD,StellarAge_BinCenters_Gyr,[Fe/H]_Median_H,[Fe/H]_MAD_H,[Fe/H]_Median_B,[Fe/H]_MAD_B,[Fe/H]_Median_CD,[Fe/H]_MAD_CD,[Fe/H]_Median_WD,[Fe/H]_MAD_WD
0,0.228442,0.179761,0.5,-0.478501,0.074738,0.892873,0.035711,0.210756,0.168328,0.857331,0.071284
1,0.250941,0.149553,1.5,-0.514056,0.064549,0.863069,0.054006,0.232695,0.147089,0.344687,0.14662
2,0.158718,0.141179,2.5,-0.481095,0.095426,0.895043,0.042906,0.153911,0.137845,0.177568,0.143193
3,0.113392,0.157522,3.5,-0.58568,0.175169,0.74458,0.090815,0.099855,0.1539,0.149458,0.145834
4,0.05284,0.15221,4.5,-0.432205,0.279585,0.784247,0.082286,0.041436,0.144083,0.059593,0.159648
5,-0.035675,0.158956,5.5,-0.39905,0.312676,0.644687,0.090947,-0.052591,0.144377,-0.033729,0.169756
6,-0.139222,0.185452,6.5,-0.300876,0.183179,0.552836,0.127357,-0.166082,0.158538,-0.148318,0.187788
7,-0.194084,0.254767,7.5,-0.531386,0.130232,0.242499,0.182175,-0.249773,0.202089,-0.216646,0.24366
8,-0.221379,0.260284,8.5,-0.529281,0.139404,0.143832,0.267164,-0.227108,0.216915,-0.240942,0.242906
9,-0.221375,0.260013,9.5,-0.622807,0.161014,0.016373,0.245664,-0.214162,0.206774,-0.218689,0.235904
10,-0.371839,0.245784,10.5,-0.714874,0.174996,-0.147841,0.26549,-0.382386,0.187612,-0.386101,0.2158
11,-0.624338,0.280708,11.5,-0.925799,0.222039,-0.425903,0.227763,-0.682345,0.295672,-0.644462,0.29139
12,-0.928753,0.353134,12.5,-1.314546,0.308165,-0.704512,0.239814,-0.906489,0.356677,-0.900175,0.358875
13,-1.532393,0.528001,13.5,-1.974467,0.450906,-1.184232,0.371346,-1.578102,0.535888,-1.431279,0.496311
