SnapshotNumber,Time_Gyr,LookbackTime_Gyr,Redshift,ExpansionFactor,VirialRadius_ckpc,VirialMass_1E10Msun,MainHaloIdx,MainSubhaloIdx
82,3.4799615,10.3405683,1.8903616,0.3459775,205.5216217,31.1110881,0,0
83,3.5282988,10.292231,1.8631001,0.3492718,208.5461595,32.586777,0,0
84,3.6019898,10.21854,1.8226893,0.3542721,219.21266,37.9894539,0,0
85,3.6519167,10.1686131,1.796066,0.3576453,221.9302474,39.5257434,0,0
86,3.7024911,10.1180387,1.7696939,0.3610507,224.1795598,40.8513971,0,0
87,3.7795811,10.0409487,1.7306014,0.3662197,227.2436317,42.7245869,0,0
88,3.8318031,9.9887267,1.7048468,0.3697067,228.632142,43.636219,0,0
89,3.8846956,9.9358342,1.679335,0.3732269,230.1973246,44.6709099,0,0
90,3.9382653,9.8822645,1.6540639,0.3767807,232.1164675,45.9363374,0,0
91,4.019904,9.8006258,1.6166035,0.3821748,236.1927498,48.6299544,0,0
92,4.0751955,9.7453343,1.591924,0.3858138,237.5616029,49.6423549,0,0
93,4.1311871,9.6893427,1.5674774,0.3894874,238.4492082,50.3600043,0,0
94,4.1878854,9.6326444,1.5432613,0.3931959,239.2456958,51.0434076,0,0
95,4.2452968,9.575233,1.5192736,0.3969398,240.0958557,51.7673726,0,0
96,4.3034279,9.5171019,1.4955122,0.4007193,241.0556031,52.5765815,0,0
97,4.3622849,9.4582449,1.4719748,0.4045349,241.3532305,52.962712,0,0
98,4.4218744,9.3986554,1.4486595,0.4083867,241.2542413,53.0963192,0,0
99,4.4822025,9.3383272,1.4255641,0.4122752,240.900259,53.0690248,0,0
100,4.5432757,9.2772541,1.4026865,0.4162008,240.5911979,53.0702293,0,0
101,4.6051001,9.2154297,1.3800247,0.4201637,240.5671432,53.2684506,0,0
102,4.6676818,9.152848,1.3575767,0.4241644,241.7896233,54.3152605,0,0
103,4.731027,9.0895028,1.3353403,0.4282031,243.1347955,55.4580655,0,0
104,4.7951418,9.025388,1.3133137,0.4322803,245.2800834,57.1876313,0,0
105,4.860032,8.9604978,1.2914949,0.4363963,245.9459632,57.9122774,0,0
106,4.9257036,8.8948262,1.2698818,0.4405516,246.0565401,58.2478492,0,0
107,4.9588342,8.8616956,1.2591519,0.442644,246.0052425,58.3489891,0,0
108,5.0256886,8.7948412,1.2378439,0.4468587,246.2204375,58.7783775,0,0
109,5.0933388,8.727191,1.2167368,0.4511135,246.3420522,59.152085,0,0
110,5.1617902,8.6587396,1.1958289,0.4554089,246.5854357,59.6240335,0,0
111,5.1963181,8.6242117,1.185449,0.4575719,246.892364,59.9902545,0,0
112,5.2659816,8.5545482,1.1648361,0.4619287,247.8489231,61.0089707,0,0
113,5.3364599,8.4840699,1.1444177,0.4663271,250.1866706,63.0768101,0,0
114,5.4077582,8.4127716,1.1241918,0.4707673,252.0532625,64.8489022,0,0
115,5.4437164,8.3768134,1.1141506,0.4730032,252.5260231,65.3895231,0,0
116,5.516254,8.3042758,1.0942102,0.477507,253.2961913,66.3566392,0,0
117,5.5896241,8.2309057,1.0744579,0.4820537,253.8620924,67.1769652,0,0
118,5.6266228,8.193907,1.0646517,0.4843432,254.0227576,67.4992641,0,0
119,5.7012504,8.1192794,1.0451782,0.4889549,254.0324762,67.9090415,0,0
120,5.7388805,8.0816493,1.0355104,0.4912773,253.9449426,68.0477485,0,0
121,5.8147759,8.0057539,1.0163118,0.495955,253.7033402,68.2645001,0,0
122,5.8915219,7.9290079,0.9972942,0.5006774,253.4806693,68.5051294,0,0
123,5.9302152,7.8903146,0.9878528,0.5030554,253.4051851,68.6609201,0,0
124,6.0082449,7.8122849,0.9691037,0.5078453,253.1850867,68.9205413,0,0
125,6.0475823,7.7729475,0.9597955,0.5102573,253.1016429,69.0764052,0,0
126,6.1269047,7.6936251,0.941311,0.5151158,253.7531647,70.0742269,0,0
127,6.1668905,7.6536393,0.9321342,0.5175624,254.3374916,70.8044907,0,0
128,6.2475137,7.5730161,0.9139106,0.5224904,257.3146455,73.8198971,0,0
129,6.288152,7.5323778,0.9048633,0.524972,262.3012025,78.4697018,0,0
130,6.3700838,7.450446,0.8868969,0.5299707,269.7445711,85.944696,0,0
131,6.4113782,7.4091516,0.8779774,0.5324878,271.2714289,87.7265204,0,0
132,6.4946258,7.325904,0.8602646,0.5375579,274.1428653,91.2058373,0,0
133,6.5365796,7.2839502,0.8514709,0.5401111,274.7860756,92.1934988,0,0
134,6.578754,7.2417758,0.8427188,0.5426764,275.2559558,93.0165829,0,0
135,6.6637658,7.156764,0.8253385,0.5478436,276.0834903,94.5763703,0,0
136,6.7066037,7.1139261,0.81671,0.5504456,276.4513469,95.3200477,0,0
137,6.7929451,7.0275847,0.799575,0.5556868,276.961201,96.6014415,0,0
138,6.8364491,6.9840807,0.7910682,0.558326,277.2422276,97.2870963,0,0
139,6.8801757,6.9403541,0.7826017,0.5609778,277.3575539,97.7935611,0,0
140,6.9682975,6.8522323,0.7657884,0.5663193,277.8823597,99.1571366,0,0
141,7.0126931,6.8078367,0.7574414,0.569009,278.8861267,100.6583272,0,0
142,7.0573122,6.7632176,0.7491338,0.5717116,279.3119873,101.5468359,0,0
143,7.1472212,6.6733086,0.7326362,0.5771552,279.5626047,102.6850646,0,0
144,7.1925116,6.6280182,0.7244458,0.5798964,279.6384188,103.2259782,0,0
145,7.238026,6.5825038,0.7162942,0.5826507,279.7307897,103.7764834,0,0
146,7.3297275,6.4908023,0.7001064,0.5881985,279.8422241,104.8253141,0,0
147,7.3759147,6.4446151,0.6920698,0.5909922,280.0269879,105.5005892,0,0
148,7.4223265,6.3982033,0.6840712,0.5937991,280.6734525,106.7228122,0,0
149,7.5158237,6.3047061,0.6681873,0.5994531,280.9667483,108.0509257,0,0
150,7.5629092,6.2576206,0.6603016,0.6023002,280.6629643,108.2107186,0,0
151,7.6102194,6.2103104,0.6524532,0.6051609,280.2659078,108.247813,0,0
152,7.6577542,6.1627756,0.6446418,0.6080351,279.7912783,108.22004,0,0
153,7.7534978,6.067032,0.6291298,0.6138246,278.9396891,108.2774097,0,0
154,7.8017065,6.0188233,0.6214287,0.61674,278.9581369,108.8316187,0,0
155,7.8501398,5.97039,0.6137641,0.6196693,278.6402147,108.9886647,0,0
156,7.8987975,5.9217323,0.6061357,0.6226124,278.1722034,108.9961849,0,0
157,7.996786,5.8237438,0.5909868,0.6285407,277.5741341,109.3919182,0,0
158,8.0461165,5.7744133,0.5834661,0.631526,277.1180403,109.4011608,0,0
159,8.0956711,5.7248587,0.5759808,0.6345255,276.617641,109.3829457,0,0
160,8.1454495,5.6750803,0.568531,0.6375392,276.0997393,109.3401099,0,0
161,8.2456775,5.5748523,0.5537369,0.6436096,275.0715878,109.2717527,0,0
162,8.2961266,5.5244032,0.5463922,0.6466665,274.5022346,109.174114,0,0
163,8.3467988,5.473731,0.5390822,0.6497379,273.875647,109.0158072,0,0
164,8.3976939,5.4228359,0.5318068,0.6528238,273.3739504,109.0210083,0,0
165,8.4488118,5.371718,0.5245658,0.6559245,272.6992754,108.808923,0,0
166,8.500152,5.3203778,0.517359,0.6590398,272.0598689,108.6422967,0,0
167,8.6034987,5.2170311,0.5030475,0.665315,270.8806389,108.4593128,0,0
168,8.6555045,5.1650253,0.4959425,0.6684749,270.2452123,108.3133445,0,0
169,8.7077315,5.1127983,0.488871,0.6716499,269.5708231,108.1195644,0,0
170,8.7601795,5.0603503,0.4818329,0.6748399,268.9220938,107.9699936,0,0
171,8.8128479,5.0076819,0.4748282,0.6780451,268.7904526,108.4307969,0,0
172,8.8657366,4.9547932,0.4678565,0.6812655,268.2765087,108.4472557,0,0
173,8.9188451,4.9016847,0.4609178,0.6845012,267.7095082,108.4138314,0,0
174,9.0257199,4.7948099,0.4471386,0.6910188,266.6081372,108.3678659,0,0
175,9.0794853,4.7410445,0.4402978,0.6943008,266.1529449,108.4716063,0,0
176,9.1334688,4.687061,0.4334894,0.6975985,265.6264899,108.508892,0,0
177,9.1876701,4.6328597,0.4267132,0.7009117,265.0159315,108.4348159,0,0
178,9.2420885,4.5784413,0.4199689,0.7042408,264.2141668,108.1090496,0,0
179,9.2967236,4.5238062,0.4132566,0.7075856,263.4841044,107.8989458,0,0
180,9.3515748,4.468955,0.406576,0.7109463,262.8951601,107.8643844,0,0
181,9.4066418,4.413888,0.399927,0.714323,262.3298746,107.853363,0,0
182,9.4619239,4.3586059,0.3933094,0.7177157,261.7447781,107.8257139,0,0
183,9.5731313,4.2473985,0.3801679,0.7245495,260.6733325,107.9120273,0,0
184,9.6290555,4.1914743,0.3736437,0.7279908,260.1633245,107.982895,0,0
185,9.6851925,4.1353373,0.3671503,0.7314485,259.6944337,108.1093761,0,0
186,9.7415418,4.078988,0.3606877,0.7349225,259.2306002,108.2547815,0,0
187,9.7981027,4.0224271,0.3542555,0.7384131,258.787831,108.4410752,0,0
188,9.8548746,3.9656552,0.3478538,0.7419202,258.2978319,108.5431495,0,0
189,9.9118568,3.908673,0.3414824,0.745444,257.7968389,108.6616375,0,0
190,9.9690487,3.851481,0.3351411,0.7489845,257.3666907,108.8705593,0,0
191,10.0264497,3.7940801,0.3288297,0.7525419,257.1794423,109.3951604,0,0
