SnapshotNumber,Time_Gyr,StellarMassInR200_Msun,StellarMassIn0.5R200_Msun,StellarMassIn0.3R200_Msun
0,,,,
1,,,,
2,,,,
3,,,,
4,,,,
5,,,,
6,,,,
7,,,,
8,,,,
9,,,,
10,,,,
11,,,,
12,,,,
13,,,,
14,,,,
15,,,,
16,,,,
17,,,,
18,,,,
19,,,,
20,,,,
21,,,,
22,,,,
23,,,,
24,,,,
25,,,,
26,,,,
27,,,,
28,,,,
29,,,,
30,,,,
31,,,,
32,,,,
33,,,,
34,,,,
35,0.597,0.0,0.0,0.0
36,0.641,1654172.5,0.0,0.0
37,0.689,305086.0,0.0,0.0
38,0.734,2073798.0,1604084.0,1492970.0
39,0.788,2323760.0,2015804.0,0.0
40,0.846,1389696.0,874224.0,219532.0
41,0.908,73979408.0,5380064.0,512092.0
42,0.968,7334272.0,6085008.0,5500128.0
43,1.039,46975664.0,34261824.0,11704720.0
44,1.115,2708800.0,1414464.0,90912.0
45,1.197,4502656.0,588192.0,230336.0
46,1.285,8540928.0,0.0,0.0
47,1.37,5761280.0,2494080.0,741952.0
48,1.47,4045376.0,1768832.0,844224.0
49,1.578,15808320.0,561408.0,0.0
50,1.693,3539072.0,836352.0,415488.0
51,1.817,6160512.0,763904.0,0.0
52,1.949,61514496.0,317184.0,107520.0
53,2.091,37763584.0,36841344.0,36407552.0
54,2.244,67907840.0,8894976.0,0.0
55,2.39,52255744.0,396288.0,191232.0
56,2.545,37352448.0,32185344.0,0.0
57,2.691,4207360.0,206336.0,206592.0
58,2.846,19635456.0,1832960.0,0.0
59,2.988,54212096.0,15585280.0,3202816.0
60,3.137,82944768.0,38769920.0,0.0
61,3.293,88734208.0,43591424.0,107008.0
62,3.456,98731520.0,10533888.0,0.0
63,3.602,96595968.0,1890304.0,1462272.0
64,3.754,87844352.0,2051584.0,1584640.0
65,3.911,52926464.0,3376128.0,97792.0
66,4.047,74362368.0,8483840.0,0.0
67,4.217,75034112.0,34243584.0,8392704.0
68,4.362,64029184.0,57400832.0,35763712.0
69,4.513,64247296.0,61352960.0,348160.0
70,4.668,66305536.0,11205632.0,72704.0
71,4.827,74638336.0,9655296.0,0.0
72,4.992,95593472.0,9441280.0,0.0
73,5.127,117610496.0,22606848.0,7582208.0
74,5.301,3880360448.0,28800512.0,16358400.0
75,5.444,4188579840.0,2951258112.0,16522240.0
76,5.59,10219838464.0,3276041216.0,3258010624.0
77,5.739,10455588864.0,3180325888.0,3160754176.0
78,5.93,10858710016.0,10004525056.0,9818790912.0
79,6.087,5621248000.0,5316274176.0,4631375872.0
80,6.207,8292134912.0,8044441600.0,6982496256.0
81,6.37,7861637120.0,7598366720.0,5294727168.0
82,6.537,6620053504.0,6215428096.0,5476468736.0
83,6.707,2784065536.0,1942859776.0,1630902272.0
84,6.836,1162084352.0,280498176.0,96528384.0
85,7.013,1110175744.0,283066368.0,93650944.0
86,7.147,1052004352.0,279027712.0,14278656.0
87,7.33,441749504.0,133840896.0,311296.0
88,7.469,1883860992.0,114298880.0,765952.0
89,7.658,2007056384.0,74919936.0,389120.0
90,7.802,2063904768.0,211931136.0,8253440.0
91,7.948,2082291712.0,1891581952.0,10956800.0
92,8.096,2145165312.0,1975640064.0,44630016.0
93,8.296,2139742208.0,1868963840.0,184885248.0
94,8.449,2185326592.0,223264768.0,177750016.0
95,8.603,2179502080.0,229761024.0,172212224.0
96,8.76,2164363264.0,226013184.0,35131392.0
97,8.919,2202898432.0,221069312.0,2277376.0
98,9.079,2408816640.0,149585920.0,1855488.0
99,9.242,648253440.0,142929920.0,4935680.0
100,9.407,636776448.0,141152256.0,12423168.0
101,9.573,705716224.0,129794048.0,126590976.0
102,9.742,5191827456.0,151801856.0,113184768.0
103,9.855,5288022016.0,527720448.0,111505408.0
104,10.026,14461517824.0,543330304.0,133828608.0
105,10.2,14975016960.0,5311725568.0,448229376.0
106,10.375,15346040832.0,5238972416.0,4409827328.0
107,10.552,17810804736.0,5308305408.0,4891033600.0
108,10.671,18163843072.0,5528895488.0,2636857344.0
109,10.852,18469658624.0,5575733248.0,106635264.0
110,11.034,18514780160.0,1368023040.0,106647552.0
111,11.156,18783346688.0,238944256.0,90398720.0
112,11.341,19089735680.0,2774228992.0,109846528.0
113,11.527,19265388544.0,2678611968.0,2599510016.0
114,11.652,14375960576.0,307339264.0,254590976.0
115,11.842,7111917568.0,657932288.0,655507456.0
116,11.969,7092715520.0,790069248.0,759595008.0
117,12.161,7251296256.0,1154383872.0,795115520.0
118,12.355,7061889024.0,2180587520.0,572121088.0
119,12.485,6879477760.0,6373638144.0,729874432.0
120,12.681,6438805504.0,6305701888.0,3759964160.0
121,12.812,5869707264.0,5766332416.0,5403000832.0
122,13.011,4903206912.0,4825145344.0,4273823744.0
123,13.145,5115265024.0,4712005632.0,4420534272.0
124,13.346,5422866432.0,5047410688.0,158171136.0
125,13.481,5530271744.0,5143633920.0,105144320.0
126,13.684,5526216704.0,5080186880.0,114466816.0
127,13.821,5435039744.0,4964098048.0,797081600.0
