,Time_Gyr,ExpansionFactor,zPositionMedian_kpc,zPosition16thPercentile_kpc,zPosition84thPercentile_kpc,zPositionAbsMedian_kpc,zPositionAbs16thPercentile_kpc,zPositionAbs84thPercentile_kpc,zAngularMomFracMedian,zAngularMomFrac16thPercentile,zAngularMomFrac84thPercentile,CircularityMedian,Circularity16thPercentile,Circularity84thPercentile
0,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,
40,0.8458612530579325,0.1334828742744916,0.8601635684318942,-0.30734652247923855,0.9727175117280089,0.8601635684318942,0.8578512062756508,0.9727175117280089,0.7919523826283225,0.7186959166283653,0.8261332207050333,1.0585196386038052,0.9344176680867786,1.1315641681485187
41,0.9080449696290195,0.13995994787469493,1.0948376207672945,1.0948376207672945,1.0948376207672945,1.0948376207672945,1.0948376207672945,1.0948376207672945,0.8148652541918515,0.8148652541918515,0.8148652541918515,2.0164952491151955,2.0164952491151955,2.0164952491151955
42,0.9678924784861273,0.14605760406878063,-0.7292170038189998,-1.955152217876751,0.25914823391119235,0.8175330704219904,0.4268099586984394,1.955152217876751,0.6782208179832596,0.45950270417042005,0.8418536390164272,0.9726302167861818,0.791630704451096,1.1891582973258754
43,1.0390037466243902,0.15314484920464314,0.7763906640058824,-0.110600535299888,2.4287287924290255,0.9008927617160427,0.49239654651983666,2.4287287924290255,0.8627836540735895,0.2667488931606812,0.9618070434486043,0.7302216600776178,0.1147324286575862,0.9565878428244368
