,StellarMassFraction_0,StellarMassFraction_0_InSitu,StellarMassFraction_0_ExSitu,StellarMassFraction_0to0,StellarMassFraction_1to0,StellarMassFraction_2to0,StellarMassFraction_3to0,StellarMassFraction_1,StellarMassFraction_1_InSitu,StellarMassFraction_1_ExSitu,StellarMassFraction_0to1,StellarMassFraction_1to1,StellarMassFraction_2to1,StellarMassFraction_3to1,StellarMassFraction_2,StellarMassFraction_2_InSitu,StellarMassFraction_2_ExSitu,StellarMassFraction_0to2,StellarMassFraction_1to2,StellarMassFraction_2to2,StellarMassFraction_3to2,StellarMassFraction_3,StellarMassFraction_3_InSitu,StellarMassFraction_3_ExSitu,StellarMassFraction_0to3,StellarMassFraction_1to3,StellarMassFraction_2to3,StellarMassFraction_3to3,StellarAge_Gyr
33,0.053569034,0.01957698,0.033992056,0.00016338624,5.48035e-06,0.015799833,0.0036082794,0.030783389,0.01483433,0.015949061,6.277672e-05,0.0008083425,0.010860214,0.0031029962,0.00628589,0.0021827999,0.00410309,1.1626286e-05,1.9250412e-05,0.0017229321,0.00042899116,0.019335212,0.0067449543,0.012590259,3.8052196e-05,6.3158055e-05,0.005315559,0.0013281845,9.38
34,0.04058234,0.012043984,0.028538357,0.00024384855,4.313762e-06,0.009489958,0.0023058637,0.028743727,0.015625704,0.013118023,8.0900645e-05,0.001149914,0.011192809,0.0032020817,0.0045784838,0.001713924,0.0028645594,2.3680603e-05,2.239067e-05,0.0012971635,0.00037068926,0.014753369,0.005327911,0.009425458,8.176447e-05,0.000106766696,0.0040989094,0.0010404703,9.66
35,0.042477723,0.010090049,0.032387674,0.00045008,0.0,0.007905529,0.0017344409,0.029396322,0.016091615,0.013304707,0.00010007711,0.0009987409,0.011377747,0.0036150487,0.0046243565,0.0017395421,0.0028848143,4.166381e-05,1.8065577e-05,0.0013084152,0.0003713975,0.014637696,0.0053318436,0.009305852,9.286639e-05,9.7880074e-05,0.004041275,0.0010998221,9.940000000000001
36,0.055039253,0.010365221,0.044674028,0.0006715696,2.6387295e-06,0.0073127015,0.002378311,0.028711341,0.017489035,0.011222304,0.00025852624,0.0010340416,0.011108959,0.0050875084,0.0045325146,0.0018051814,0.0027273328,4.013477e-05,2.7848953e-05,0.0012228782,0.0005143196,0.014963708,0.0054012705,0.009562438,0.000139742,0.00011692205,0.003649769,0.0014948382,10.220000000000002
37,0.038995586,0.01080537,0.028190212,0.0016362718,3.1824957e-06,0.0052808574,0.003885058,0.029884223,0.023675006,0.006209214,0.0005653923,0.0019333179,0.014739361,0.006436936,0.0038563847,0.002089184,0.0017672001,7.777911e-05,4.248755e-05,0.0013342645,0.0006346528,0.012716983,0.0065879277,0.0061290553,0.0002872237,0.00017181285,0.0040066857,0.0021222057,10.5
38,0.02740896,0.0054287883,0.021980172,0.0012030398,2.5948299e-05,0.0020736877,0.0021261126,0.026080288,0.0208912,0.0051890877,0.0003851694,0.003083351,0.008626849,0.00879583,0.0031422991,0.0016918647,0.0014504347,8.7394306e-05,0.00011364702,0.0007586988,0.0007321245,0.009788452,0.0050870515,0.0047014,0.00028796832,0.00034957717,0.002251207,0.002198299,10.780000000000001
39,0.024011886,0.0040598055,0.019952081,0.0008745374,0.000181202,0.0012564035,0.0017476628,0.023360297,0.018215913,0.005144382,0.00040790625,0.0036659935,0.0054858015,0.008656212,0.002676645,0.0013603843,0.0013162605,7.45843e-05,0.00022441894,0.00044619833,0.00061518274,0.0086137485,0.0041336776,0.0044800704,0.00024730552,0.0005758838,0.0013218552,0.001988633,11.060000000000002
40,0.022678534,0.0024394807,0.020239055,0.0009621091,5.6678786e-05,0.00048085302,0.0009398398,0.025657276,0.019733306,0.005923971,0.00055868825,0.0041755517,0.0066599743,0.008339091,0.002728227,0.0013501021,0.0013781254,8.99463e-05,0.00017085654,0.00051282113,0.000576478,0.008837273,0.0039506154,0.0048866575,0.00027626674,0.00053500634,0.0013769803,0.0017623624,11.34
41,0.02171909,0.0026708595,0.019048229,0.0014735312,6.3560095e-05,0.000270701,0.0008630672,0.026891978,0.021301638,0.0055903415,0.0009266268,0.0065145623,0.0049883584,0.008872089,0.002608815,0.0011937424,0.0014150727,0.00012704133,0.00026235645,0.00029516313,0.00050918135,0.008479347,0.0036938337,0.004785514,0.00042561005,0.00086222746,0.0009047054,0.0015012911,11.620000000000001
42,0.016574463,0.0023373258,0.014237137,0.0009139815,4.94302e-05,0.0005706046,0.00080330943,0.02516079,0.021037564,0.0041232267,0.0011003216,0.004776576,0.0064419676,0.008718698,0.002247799,0.0011558167,0.0010919824,0.00010671588,0.00016706147,0.0003601303,0.000521909,0.006974215,0.003592735,0.00338148,0.00038782845,0.00053504016,0.0010928507,0.0015770155,11.900000000000002
43,0.014143361,0.0023352301,0.011808132,0.001462312,0.00010358304,0.00031416627,0.0004551689,0.023208568,0.019929426,0.0032791416,0.0017592002,0.010619193,0.0026323812,0.004918652,0.0016852696,0.00089885294,0.00078641664,0.00016841126,0.00036016814,0.00012135308,0.00024892046,0.005728518,0.002942325,0.0027861935,0.00050556345,0.0012308173,0.0004086071,0.0007973373,12.18
44,0.01085582,0.0017708534,0.009084965,0.0010951265,0.000119343465,0.00020461118,0.0003517723,0.018657919,0.015969096,0.002688822,0.0011986296,0.0089709945,0.0020843958,0.003715076,0.0014140692,0.00070808956,0.0007059798,0.00015550407,0.00029526706,7.185768e-05,0.00018546074,0.0048243855,0.0024337731,0.0023906126,0.0004934845,0.0010929985,0.0003214959,0.00052579405,12.46
45,0.0081513785,0.0016215171,0.006529862,0.0008658001,0.000106823216,0.00024147399,0.00040741978,0.017004583,0.014381294,0.0026232891,0.0009386509,0.008294097,0.001800671,0.003347874,0.0012238699,0.0006698882,0.0005539817,0.00010412859,0.00028770408,9.418237e-05,0.0001838732,0.004131151,0.002298141,0.0018330095,0.00031721353,0.0010284506,0.00033775694,0.00061471993,12.740000000000002
46,0.004823383,0.00052904506,0.004294338,0.00014150402,7.9901e-05,7.186742e-05,9.4201314e-05,0.0066496516,0.0034011537,0.0032484978,0.00019722906,0.0010817952,0.00032877811,0.00055425055,0.0005986478,0.00017808373,0.0004205641,1.2291096e-05,5.3506446e-05,1.8812289e-05,3.669546e-05,0.002001713,0.0006143811,0.0013873319,6.817332e-05,0.00017933894,5.6833363e-05,0.00011525303,13.020000000000001
47,0.0012975766,5.8610298e-05,0.0012389661,0.0,0.0,0.0,0.0,0.001913514,0.0003162588,0.0015972552,0.0,0.0,0.0,0.0,0.0001752503,2.5111012e-05,0.0001501393,0.0,0.0,0.0,0.0,0.0005827144,6.991847e-05,0.00051279593,0.0,0.0,0.0,0.0,13.3
48,8.247621e-05,0.0,8.247621e-05,0.0,0.0,0.0,0.0,9.990052e-05,0.0,9.990052e-05,0.0,0.0,0.0,0.0,7.2297576e-06,0.0,7.229757e-06,0.0,0.0,0.0,0.0,2.8482553e-05,0.0,2.8482553e-05,0.0,0.0,0.0,0.0,13.580000000000002
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.86
