,[Fe/H]_Median,[Fe/H]_MAD,StellarAge_BinCenters_Gyr,[Fe/H]_Median_H,[Fe/H]_MAD_H,[Fe/H]_Median_B,[Fe/H]_MAD_B,[Fe/H]_Median_CD,[Fe/H]_MAD_CD,[Fe/H]_Median_WD,[Fe/H]_MAD_WD
0,0.247632,0.172119,0.5,-0.195951,0.066513,0.77355,0.084008,0.233094,0.154692,0.484846,0.290103
1,0.199121,0.156259,1.5,-0.036395,0.139312,0.803241,0.057627,0.187998,0.137744,0.241409,0.237979
2,0.233841,0.21088,2.5,-0.179502,0.191363,0.782539,0.073214,0.214854,0.168951,0.311549,0.228156
3,0.182611,0.211046,3.5,-0.253153,0.1765,0.700798,0.081472,0.190404,0.173213,0.198378,0.241411
4,0.164053,0.174232,4.5,-0.273747,0.160731,0.619905,0.121053,0.150999,0.137435,0.181717,0.190825
5,0.060163,0.185286,5.5,-0.354652,0.154335,0.520091,0.145728,0.051525,0.155569,0.074482,0.200341
6,-0.08103,0.19702,6.5,-0.414517,0.148031,0.298714,0.214042,-0.105132,0.161599,-0.090517,0.197344
7,-0.217781,0.226492,7.5,-0.445835,0.152175,-0.050399,0.191536,-0.232207,0.211376,-0.220541,0.227029
8,-0.332776,0.242265,8.5,-0.493207,0.186718,-0.172482,0.211244,-0.252593,0.261847,-0.289669,0.257081
9,-0.432179,0.264811,9.5,-0.63419,0.211093,-0.264608,0.219867,-0.327137,0.26878,-0.389266,0.283842
10,-0.596044,0.263087,10.5,-0.800739,0.214466,-0.426791,0.237151,-0.496204,0.264695,-0.54058,0.268359
11,-0.720605,0.29227,11.5,-1.052186,0.255859,-0.549994,0.237984,-0.656075,0.257154,-0.688659,0.27439
12,-0.99156,0.37901,12.5,-1.46923,0.31655,-0.763183,0.291207,-0.976393,0.326021,-1.004057,0.354453
13,-1.828051,0.464889,13.5,-2.136393,0.460044,-1.625366,0.418292,-1.794745,0.462507,-1.876212,0.465436
