,[Fe/H]_Median,[Fe/H]_MAD,StellarAge_BinCenters_Gyr,[Fe/H]_Median_H,[Fe/H]_MAD_H,[Fe/H]_Median_B,[Fe/H]_MAD_B,[Fe/H]_Median_CD,[Fe/H]_MAD_CD,[Fe/H]_Median_WD,[Fe/H]_MAD_WD
0,0.382909,0.161565,0.5,-0.028508,0.092242,0.634653,0.085723,0.269205,0.081826,0.45598,0.130738
1,0.291751,0.180871,1.5,-0.127116,0.185072,0.662408,0.089597,0.189889,0.089934,0.446189,0.17107
2,0.309468,0.20545,2.5,-0.148265,0.101814,0.533466,0.092927,0.178708,0.163191,0.388197,0.165158
3,0.204667,0.190053,3.5,-0.236265,0.075297,0.403529,0.078565,0.11858,0.160139,0.264129,0.170265
4,0.111492,0.202813,4.5,-0.296226,0.060928,0.396329,0.123465,0.043295,0.15272,0.144029,0.206942
5,0.014931,0.213956,5.5,-0.293742,0.081117,0.318258,0.202525,-0.063165,0.136865,-0.023201,0.192538
6,-0.078621,0.259968,6.5,-0.342431,0.136801,0.115766,0.222913,0.004937,0.238282,-0.011242,0.253357
7,-0.138012,0.237466,7.5,-0.323529,0.193363,0.064105,0.194313,-0.059549,0.219423,-0.071921,0.227662
8,-0.327349,0.245155,8.5,-0.453979,0.191642,-0.044131,0.238938,-0.278605,0.274014,-0.278443,0.264277
9,-0.39281,0.267136,9.5,-0.600748,0.212156,-0.184644,0.22406,-0.312262,0.269435,-0.318764,0.26734
10,-0.523809,0.272369,10.5,-0.753208,0.247421,-0.312902,0.239661,-0.467081,0.268321,-0.460977,0.272008
11,-0.662095,0.314021,11.5,-0.996536,0.26276,-0.420808,0.238405,-0.593714,0.301105,-0.583543,0.299967
12,-0.954809,0.367283,12.5,-1.337081,0.323696,-0.692427,0.261856,-0.888842,0.350736,-0.867504,0.343764
13,-1.845517,0.47855,13.5,-2.073427,0.475279,-1.569168,0.418049,-1.840392,0.456277,-1.776564,0.503472
