,Time_Gyr,ExpansionFactor,zPositionMedian_kpc,zPosition16thPercentile_kpc,zPosition84thPercentile_kpc,zPositionAbsMedian_kpc,zPositionAbs16thPercentile_kpc,zPositionAbs84thPercentile_kpc,zAngularMomFracMedian,zAngularMomFrac16thPercentile,zAngularMomFrac84thPercentile,CircularityMedian,Circularity16thPercentile,Circularity84thPercentile
0,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,
40,0.8458612530579325,0.1334828742744916,-0.1250550136545176,-0.5390227045418334,0.20739205009232592,0.2381771119093161,0.0538167875505339,1.0632791194309166,0.9006176741440146,0.6372453060987135,0.9743960609512803,0.9044992198514746,0.785090273510029,1.0603053176702284
41,0.9080449696290195,0.13995994787469493,0.0005490782357531521,-0.371447582270933,0.2712285950660137,0.22118938435890972,0.09085422772758,0.8539267207800639,0.8528859238915399,0.7270502892528231,0.9717586123409764,0.9999460135112449,0.8273446158603861,1.1424805466366652
42,0.9678924784861273,0.14605760406878063,0.03248378071432499,-0.2961423781966817,0.6305212530839673,0.30234402789128667,0.053202231745274144,1.2106159785999822,0.8388200874473907,0.39898307952725015,0.9623913045647233,0.8540912693239077,0.36666087224106436,1.1692771779144988
43,1.0390037466243902,0.15314484920464314,-0.11001720371775243,-1.1271581790033998,0.7796196189005814,0.5623164446558991,0.14580332935680884,2.0477666663762406,0.5661280796903441,-0.8474425203289405,0.9188825228016863,0.7614709955008977,-0.7545216281767949,1.0318079651299825
