,TimeBinCenters_Gyr,StellarAgeDist_All,StellarAgeDist_All_InSitu,StellarAgeDist_H,StellarAgeDist_H_InSitu,StellarAgeDist_B,StellarAgeDist_B_InSitu,StellarAgeDist_CD,StellarAgeDist_CD_InSitu,StellarAgeDist_WD,StellarAgeDist_WD_InSitu
0,0.25,0.01831697586741913,0.01831697586741913,1.4809256772766764e-05,1.4809256772766764e-05,0.0013865396193271113,0.0013865396193271113,0.02994830232890855,0.02994830232890855,0.004318179187070932,0.004318179187070932
1,0.75,0.021670421183023234,0.021670421183023234,2.9618513545533528e-05,2.9618513545533528e-05,0.003270878237322415,0.003270878237322415,0.035111109392581365,0.035111109392581365,0.0044889382836106,0.0044889382836106
2,1.25,0.02413482818817768,0.024134378724926693,5.9237027091067056e-05,5.9237027091067056e-05,0.0005447119933070794,0.0005447119933070794,0.04022596947633391,0.0402251961379481,0.004225564083862976,0.004225564083862976
3,1.75,0.02804965310426289,0.02804965310426289,0.00011353763525787852,0.00011353763525787852,0.0010816051541743443,0.0010816051541743443,0.04655265081065196,0.04655265081065196,0.0051285613401405436,0.0051285613401405436
4,2.25,0.02707117160686708,0.02707117160686708,2.9618513545533528e-05,2.9618513545533528e-05,0.0005838061555061521,0.0005838061555061521,0.04550709731303578,0.04550709731303578,0.003342826381412149,0.003342826381412149
5,2.75,0.025655811829513195,0.025655811829513195,9.379195956085617e-05,9.379195956085617e-05,0.0004248232292299232,0.0004248232292299232,0.0428994002760818,0.0428994002760818,0.004127160536704523,0.004127160536704523
6,3.25,0.03461496281141061,0.03461406388490864,8.885554063660058e-05,7.898270278808941e-05,0.0004143981193101705,0.0004143981193101705,0.05733840127755501,0.05733840127755501,0.007794139779344516,0.007794139779344516
7,3.75,0.03783671539447592,0.03783446807822099,0.00016783824342468998,0.00014315614880341205,0.0009043782855385482,0.0009043782855385482,0.061780456965652174,0.061780456965652174,0.011325090589147825,0.011325090589147825
8,4.25,0.03742590598307501,0.03741961349756121,0.0007108443250928046,0.0006417344601532264,0.0012484069128903877,0.0012484069128903877,0.05916811989838334,0.05916811989838334,0.017756051818150244,0.017756051818150244
9,4.75,0.04158793568720234,0.04151332478753872,0.0013476423663217755,0.0006516072980017377,0.0027079223016557683,0.0027079223016557683,0.06420951283548386,0.06420641948194061,0.0236949953113604,0.02363421664988018
10,5.25,0.04657383153038641,0.04653203144804474,0.0013871337177158202,0.0010613300687149513,0.0038520781153486288,0.0038520781153486288,0.0700621377392999,0.07005904438575665,0.03260341055117563,0.032536843445744916
