Snapshot,Time_Gyr,Redshift,ExpansionFactor,Mass_Msun,Mass_H_Msun,Mass_B_Msun,Mass_CD_Msun,Mass_WD_Msun
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
30.0,0.4217845366394565,10.919033198155363,0.08389942232519026,9274136.0,4080955.5,3305356.25,456978.0,1430845.5
31.0,0.4528384166734556,10.367443572408746,0.08797052684978504,9279806.0,5279935.5,2916055.25,244299.828125,839514.875
32.0,0.48617612343955924,9.841380439471834,0.09223917614394847,16524913.0,5080725.5,8525836.0,929427.375,1988923.375
33.0,0.5182708119307342,9.388771271940549,0.09625777426642748,25237484.0,6380813.0,9333762.0,3371836.5,6151072.5
34.0,0.5564188833159369,8.907999185598532,0.1009285508878038,52124916.0,11621375.0,13604466.0,8577242.0,18321834.0
35.0,0.5973702376945801,8.449476294368743,0.10582597054568338,92646704.0,14989004.0,48619376.0,10881757.0,18156568.0
36.0,0.6413297674084788,8.012172948865935,0.11096103078290759,140128352.0,33027386.0,60986408.0,16073280.0,30041270.0
37.0,0.6885170787669509,7.5951071498715965,0.11634526278301709,180533072.0,36531080.0,86133616.0,17912792.0,39955576.0
38.0,0.7339395587876801,7.23627606616736,0.1214140944240273,234154192.0,46057352.0,109242680.0,27992948.0,50861220.0
39.0,0.787921774026992,6.855117262650799,0.12730554701643482,316831360.0,80034432.0,135679392.0,33274836.0,67842656.0
40.0,0.8458612530579325,6.491597745667503,0.1334828742744916,425989632.0,109137488.0,184622128.0,43453540.0,88776496.0
41.0,0.9080449696290195,6.144901203416368,0.13995994787469493,212193824.0,67495552.0,65373680.0,28357292.0,50967304.0
42.0,0.9678924784861273,5.846613747881867,0.14605760406878063,425503136.0,175662768.0,135355168.0,36807336.0,77677888.0
43.0,1.0390037466243902,5.5297658079491026,0.15314484920464314,819996928.0,299091648.0,362885120.0,52494756.0,105525488.0
44.0,1.115309430693374,5.227580973127337,0.1605759932010687,1828880768.0,555181248.0,968114496.0,86821312.0,218763600.0
45.0,1.197181863756146,4.939380663491011,0.1683677232791182,3193767168.0,920116032.0,1412216064.0,278159936.0,583275392.0
46.0,1.2850184010331818,4.664517702470927,0.1765375363843931,3948438528.0,1027304832.0,1722949504.0,411416032.0,786767744.0
47.0,1.3695201902147043,4.428033736605549,0.18422877390319162,4576740352.0,1032976576.0,2274514432.0,439999648.0,829249408.0
48.0,1.469878490582777,4.176834914726472,0.19316822276007173,5094993920.0,1090421248.0,2287555072.0,666707840.0,1050309376.0
49.0,1.577506484958674,3.9372610847275835,0.20254144612552438,5466070016.0,1158453760.0,2334656000.0,791881344.0,1181078528.0
