,StellarMassFraction_0,StellarMassFraction_0_InSitu,StellarMassFraction_0_ExSitu,StellarMassFraction_0to0,StellarMassFraction_1to0,StellarMassFraction_2to0,StellarMassFraction_3to0,StellarMassFraction_1,StellarMassFraction_1_InSitu,StellarMassFraction_1_ExSitu,StellarMassFraction_0to1,StellarMassFraction_1to1,StellarMassFraction_2to1,StellarMassFraction_3to1,StellarMassFraction_2,StellarMassFraction_2_InSitu,StellarMassFraction_2_ExSitu,StellarMassFraction_0to2,StellarMassFraction_1to2,StellarMassFraction_2to2,StellarMassFraction_3to2,StellarMassFraction_3,StellarMassFraction_3_InSitu,StellarMassFraction_3_ExSitu,StellarMassFraction_0to3,StellarMassFraction_1to3,StellarMassFraction_2to3,StellarMassFraction_3to3,Abundance_[Fe/H]
0,0.0015005146,0.0005547593,0.0009457553,0.00029226343,0.0,2.3904886e-05,9.2406524e-05,0.00012892955,1.79933e-05,0.00011093625,8.148229e-06,0.0,0.0,0.0,2.7997798e-05,1.178053e-05,1.6217266e-05,4.9616865e-06,0.0,1.6143172e-06,1.0116655e-06,0.00033622174,9.4907446e-05,0.00024131428,4.403046e-05,0.0,1.2235827e-05,9.0903395e-06,-2.465
1,0.0017136461,0.00060186017,0.001111786,0.0003283924,0.0,2.2490014e-05,0.00011272878,0.0001692381,2.0053638e-05,0.00014918447,1.1413265e-05,0.0,0.0,0.0,4.1132625e-05,1.2012407e-05,2.9120216e-05,6.3499315e-06,0.0,1.7567455e-06,9.009471e-07,0.00033621164,0.00013215764,0.00020405401,7.143088e-05,0.0,0.0,3.0274476e-05,-2.395
2,0.0018957292,0.0006865781,0.0012091511,0.00036510144,0.0,7.061203e-05,8.361282e-05,0.000200171,4.694631e-05,0.0001532247,8.112087e-06,0.0,0.0,0.0,3.7460635e-05,9.641713e-06,2.7818922e-05,3.1355585e-06,0.0,1.2697478e-06,1.7428342e-06,0.00041529204,0.00011996788,0.0002953242,5.4104035e-05,2.2620243e-06,1.6630689e-05,2.2170183e-05,-2.325
3,0.0022758697,0.0007499536,0.0015259164,0.0004427785,0.0,4.7731795e-05,0.00010566775,0.0002217537,5.3209435e-05,0.00016854427,8.856952e-06,0.0,2.6069688e-06,3.3206231e-06,5.999955e-05,1.7440205e-05,4.2559346e-05,7.948659e-06,9.730873e-07,2.8134243e-06,1.0114682e-06,0.00041417047,0.00013471824,0.00027945222,6.514447e-05,0.0,1.3985533e-05,3.428613e-05,-2.255
4,0.0024318243,0.0009137497,0.0015180747,0.0004769314,1.4172701e-05,8.888536e-05,0.00012209617,0.0002601227,3.7940914e-05,0.0002221818,9.781643e-06,0.0,0.0,0.0,5.7448575e-05,1.8407392e-05,3.9041177e-05,7.982064e-06,1.6386533e-06,1.9717754e-06,4.280538e-06,0.0005518618,0.00018660161,0.00036526014,8.1678314e-05,2.3022565e-06,3.251188e-05,2.0357551e-05,-2.1849999999999996
5,0.0028324642,0.0010528469,0.0017796172,0.0005871764,1.46190305e-05,0.00011254786,0.00011559204,0.0003024641,8.822489e-05,0.00021423919,2.5957492e-05,3.2678136e-06,3.6101828e-06,2.6258488e-06,7.792919e-05,2.366205e-05,5.4267137e-05,9.3468325e-06,0.0,3.7391553e-06,4.5491224e-06,0.00063647516,0.00020947814,0.000426997,7.676562e-05,4.449806e-06,1.9432202e-05,3.4508023e-05,-2.115
6,0.003246872,0.0011413336,0.0021055383,0.00059370993,6.992529e-06,8.792028e-05,0.00018007222,0.00037195912,0.00010559069,0.0002663684,3.4645258e-05,2.8360855e-06,0.0,5.690673e-06,0.0001082049,4.4400695e-05,6.380421e-05,2.5634728e-05,0.0,2.0466832e-06,7.323937e-06,0.00076952134,0.0002457834,0.000523738,0.000114294045,2.8445e-06,3.0291281e-05,4.3012566e-05,-2.045
7,0.0037006103,0.0015022778,0.0021983327,0.00080915785,1.8734087e-05,0.00013472248,0.00021740996,0.00046347553,0.00015852635,0.00030494918,2.9207245e-05,1.4189116e-05,4.6989067e-06,1.9822426e-05,0.00010618826,3.8116254e-05,6.8072004e-05,1.6959795e-05,9.637121e-07,5.4030484e-06,2.2252177e-06,0.000856284,0.00026827856,0.0005880054,0.00015364155,8.672702e-06,1.8000006e-05,3.054231e-05,-1.9749999999999999
8,0.0045006005,0.001654078,0.0028465227,0.000940086,2.6145804e-05,0.00011926654,0.0002612727,0.0005829598,0.00021575045,0.00036720932,6.931898e-05,2.126738e-05,1.3651958e-05,1.02751965e-05,0.000117093616,3.5534536e-05,8.1559076e-05,1.9755904e-05,0.0,3.715746e-06,5.1984744e-06,0.0008096524,0.00023248993,0.0005771625,0.00011540933,1.05062045e-05,1.9297237e-05,3.5793753e-05,-1.9049999999999998
9,0.005319255,0.0019789299,0.0033403253,0.0011454591,6.735263e-05,0.00014225219,0.00029971663,0.00065723143,0.00030833445,0.00034889698,6.691318e-05,6.512901e-05,1.2511155e-05,1.98273e-05,0.00012722742,4.5206038e-05,8.202138e-05,1.8960447e-05,2.7136236e-06,4.418469e-06,8.1377475e-06,0.0012336241,0.00042568662,0.0008079374,0.00023557314,2.5166575e-05,5.5357283e-05,4.074122e-05,-1.835
10,0.005848411,0.0022969479,0.0035514631,0.0012907947,0.00012124821,0.00022448513,0.00023940744,0.0007353521,0.00028606746,0.00044928462,7.8162644e-05,4.86007e-05,9.987984e-06,2.9829687e-05,0.00015024112,5.626361e-05,9.3977505e-05,2.7582762e-05,5.129051e-06,5.2997484e-06,7.759209e-06,0.0013541152,0.00035834016,0.0009957751,0.00020148899,8.808857e-06,3.4940873e-05,4.6551362e-05,-1.765
11,0.0065591093,0.002280422,0.0042786878,0.0012606945,0.00011667231,0.00012040046,0.00029442486,0.00087817165,0.00040101685,0.0004771548,8.266617e-05,8.888765e-05,1.4996673e-05,3.819315e-05,0.00016599143,5.625707e-05,0.00010973434,3.4003842e-05,2.9102869e-06,2.8901773e-06,4.318942e-06,0.0016533424,0.00058254396,0.0010707985,0.000249318,4.6178964e-05,5.907804e-05,0.000105353865,-1.6949999999999998
12,0.0075129354,0.0026466232,0.0048663123,0.0015071552,0.000142277,0.00023173308,0.00033925334,0.001186698,0.00058058236,0.00060611556,0.00010877797,0.0001557248,6.30993e-05,6.63813e-05,0.00020111058,6.820357e-05,0.00013290701,4.2463547e-05,3.6774563e-06,1.916866e-06,1.0195696e-05,0.0017245819,0.0005784974,0.0011460844,0.00027545492,5.7444035e-05,4.589388e-05,6.6985755e-05,-1.625
13,0.008378803,0.0030096222,0.005369181,0.00181825,0.00019074981,0.00023138814,0.0003730356,0.0014738952,0.0007769263,0.00069696887,0.00017124422,0.00021450336,3.288024e-05,8.03554e-05,0.00023257687,7.425512e-05,0.00015832177,4.1956948e-05,9.955313e-06,4.381913e-06,7.320589e-06,0.002023809,0.0006259328,0.0013978761,0.0003159516,7.4030155e-05,4.9416067e-05,7.169033e-05,-1.555
14,0.009087374,0.003241534,0.005845841,0.0019477612,0.00026887577,0.00024629233,0.00033425097,0.0018010815,0.00092981645,0.0008712651,0.00013650872,0.00035437045,6.093073e-05,9.1021306e-05,0.00028033718,8.193815e-05,0.00019839902,3.9811897e-05,9.300472e-06,7.651427e-06,1.3547444e-05,0.0023270396,0.0007123945,0.0016146451,0.00035873908,9.6217664e-05,5.703297e-05,8.800977e-05,-1.4849999999999999
15,0.010603788,0.004064316,0.0065394724,0.0027050928,0.00029067,0.00026492975,0.00046360857,0.002074969,0.0011985062,0.0008764629,0.00018812584,0.00050170213,5.325701e-05,0.00017858378,0.00029252557,8.3817926e-05,0.00020870766,4.8546375e-05,1.2671972e-05,2.9974062e-06,1.0281848e-05,0.0025843263,0.00068842946,0.0018958969,0.0003641115,8.336037e-05,3.932154e-05,8.7577304e-05,-1.415
