,GravPotential_(km/s)^2,SphericalRadius_ckpc
0,-209493.31666871815,0.0
1,-183140.21936194517,1.0
2,-157204.0042228246,2.0
3,-138464.64841194535,3.0
4,-123894.20154217642,4.0
5,-112243.15548512057,5.0
6,-102476.43039671848,6.0
7,-94106.63494985734,7.0
8,-86668.01506355884,8.0
9,-79986.61523037135,9.0
10,-73930.93083230652,10.0
11,-68431.52772793897,11.0
12,-63284.525238817296,12.0
13,-58642.077935902336,13.0
14,-54258.613654621586,14.0
15,-50153.2331661015,15.0
16,-46335.37657613155,16.0
17,-42787.69946068151,17.0
18,-39398.20179115524,18.0
19,-36220.404752096074,19.0
20,-33259.38655407611,20.0
21,-30416.63566998165,21.0
22,-27745.191156515615,22.0
23,-25112.889081879242,23.0
24,-22742.955892375936,24.0
25,-20406.13942824069,25.0
26,-18170.20939785601,26.0
27,-15995.49705018931,27.0
28,-13979.920299575264,28.0
29,-12002.084739819535,29.0
30,-10072.443202629858,30.0
31,-8254.72738355727,31.0
32,-6509.960043649961,32.0
33,-4775.614403137061,33.0
34,-3109.1123960632735,34.0
35,-1527.0223497039792,35.0
36,13.65503331029056,36.0
37,1530.3111933646524,37.0
38,2985.6947081095095,38.0
39,4373.715018922694,39.0
40,5733.0870677637895,40.0
41,7060.667762933943,41.0
42,8346.11253933966,42.0
43,9604.703486375398,43.0
44,10819.124213777719,44.0
45,11978.637223821996,45.0
46,13146.817533241567,46.0
47,14257.030746129243,47.0
48,15347.28444980141,48.0
49,16393.399889470278,49.0
50,17426.921178204695,50.0
51,18418.129297120857,51.0
52,19414.019896154066,52.0
53,20349.99300489019,53.0
54,21288.66591182561,54.0
55,22200.532387487463,55.0
56,23093.384378664367,56.0
57,23933.480139741176,57.0
58,24782.883326949323,58.0
59,25599.748324747266,59.0
60,26379.439334787832,60.0
61,27174.33390576862,61.0
62,27930.05483552246,62.0
63,28688.919822913,63.0
64,29416.197474346198,64.0
65,30122.862093919335,65.0
