CylindricalRadius_ckpc,SurfaceDensity_Type0_Msun/ckpc^2,SurfaceDensity_Type4_Msun/ckpc^2,SurfaceDensity_Type4_H_Msun/ckpc^2,SurfaceDensity_Type4_B_Msun/ckpc^2,SurfaceDensity_Type4_CD_Msun/ckpc^2,SurfaceDensity_Type4_WD_Msun/ckpc^2
0.25,13.092,3493.6563,4.5924,2587.4931,296.6313,604.9396
0.75,68.9907,2201.1367,4.0949,1408.2707,323.2698,465.5013
1.25,42.0982,1181.1422,4.0159,628.179,255.9165,293.0308
1.75,29.0112,680.9247,4.4186,321.6921,178.2848,176.5291
2.25,24.8937,461.785,4.2299,197.2089,148.74,111.6062
2.75,23.2495,332.0879,4.4086,131.587,127.1526,68.9398
3.25,21.9258,243.8323,4.2946,93.8816,100.5816,45.0745
3.75,22.0702,183.7463,4.5918,65.6779,82.6577,30.8191
4.25,20.8611,150.7494,4.5569,47.4986,76.4803,22.2136
4.75,19.4014,126.217,4.8598,35.6484,68.1877,17.5212
5.25,17.5995,107.0404,5.2037,28.7179,59.3565,13.7623
5.75,16.0978,91.9123,5.4415,22.9584,52.1909,11.3216
6.25,16.7821,82.8663,5.9052,17.8289,48.9743,10.1579
6.75,17.7714,73.5288,6.6697,12.7482,45.5534,8.5575
7.25,17.7405,67.5981,7.7783,8.7307,43.3451,7.744
7.75,16.1911,61.9833,9.3296,4.0319,41.1131,7.5087
8.25,14.471,57.57,10.849,0.1334,39.3762,7.2114
8.75,13.7834,54.1955,9.2581,0.0,38.3912,6.5462
9.25,13.6707,51.9859,7.7371,0.0,38.1921,6.0568
9.75,13.2105,50.4514,6.4267,0.0,38.0349,5.9898
10.25,13.2267,49.4132,5.671,0.0,37.7951,5.947
10.75,13.4293,47.2397,4.7655,0.0,36.5292,5.945
11.25,13.4016,43.2063,4.152,0.0,34.0383,5.016
11.75,13.0987,39.5526,3.3762,0.0,31.8707,4.3058
12.25,12.7506,36.5844,3.0298,0.0,29.5936,3.961
12.75,12.4169,34.3515,2.5879,0.0,28.1694,3.5942
13.25,11.6253,32.0324,2.2318,0.0,26.4562,3.3444
13.75,10.39,30.4571,1.9167,0.0,25.3174,3.223
14.25,9.8891,29.0298,1.7193,0.0,24.1754,3.1351
14.75,9.6927,27.5643,1.6257,0.0,23.1265,2.8122
15.25,9.4913,25.9965,1.3912,0.0,22.1194,2.486
15.75,9.3016,24.4067,1.2923,0.0,20.8694,2.2449
16.25,9.3537,22.8609,1.1533,0.0,19.6653,2.0424
16.75,9.3806,21.6884,1.1205,0.0,18.7202,1.8477
17.25,9.5237,20.6987,1.0127,0.0,17.9213,1.7647
17.75,10.0386,19.6844,0.828,0.0,17.1906,1.6658
18.25,9.7198,18.8065,0.8505,0.0,16.3033,1.6528
18.75,9.4625,17.9914,0.7498,0.0,15.6648,1.5768
19.25,9.5869,16.7736,0.7204,0.0,14.5831,1.4702
19.75,10.0275,15.7989,0.6486,0.0,13.7556,1.3946
20.25,10.0477,14.3258,0.6367,0.0,12.4277,1.2615
20.75,10.0637,13.5769,0.5773,0.0,11.7708,1.2288
21.25,10.0618,12.3681,0.5214,0.0,10.6938,1.1529
21.75,10.0793,11.494,0.5146,0.0,9.8841,1.0953
22.25,9.7683,10.5154,0.4636,0.0,9.037,1.0147
22.75,9.8602,9.8578,0.4403,0.0,8.4108,1.0067
23.25,9.5934,8.9497,0.4057,0.0,7.631,0.9129
23.75,9.5841,8.5223,0.4068,0.0,7.2329,0.8826
24.25,9.6441,7.8635,0.3868,0.0,6.6214,0.8553
24.75,9.704,7.3974,0.3619,0.0,6.2308,0.8048
25.25,9.5298,6.9318,0.3487,0.0,5.7808,0.8023
25.75,9.5633,6.5035,0.3188,0.0,5.4268,0.758
26.25,10.1113,6.0871,0.3225,0.0,5.09,0.6746
26.75,10.148,5.6713,0.2889,0.0,4.7058,0.6767
27.25,10.353,5.3532,0.2781,0.0,4.4156,0.6595
27.75,10.4282,4.8597,0.2402,0.0,4.0556,0.564
28.25,10.6655,4.3835,0.2466,0.0,3.58,0.5569
28.75,10.9558,4.0717,0.232,0.0,3.3098,0.5299
29.25,10.9923,3.6178,0.2015,0.0,2.9151,0.5013
29.75,10.7285,3.2092,0.1953,0.0,2.5402,0.4737
30.25,10.2932,2.8009,0.1896,0.0,2.1698,0.4414
30.75,10.3208,2.5444,0.1964,0.0,1.9259,0.4221
31.25,10.3469,2.348,0.1685,0.0,1.759,0.4205
31.75,10.2267,2.0885,0.1592,0.0,1.549,0.3804
32.25,9.6446,1.784,0.1729,0.0,1.2665,0.3446
32.75,9.3814,1.5937,0.1418,0.0,1.1172,0.3347
33.25,9.2572,1.3719,0.1366,0.0,0.9358,0.2996
33.75,9.1805,1.1556,0.1307,0.0,0.7496,0.2753
34.25,8.9485,1.0414,0.1271,0.0,0.6485,0.2658
34.75,8.567,0.9271,0.1243,0.0,0.5596,0.2431
35.25,7.8668,0.8182,0.1197,0.0,0.4903,0.2083
35.75,7.2273,0.7191,0.1171,0.0,0.3972,0.2048
36.25,6.94,0.6384,0.1015,0.0,0.3486,0.1883
36.75,6.5263,0.5592,0.0954,0.0,0.2998,0.1641
37.25,6.1739,0.5039,0.0927,0.0,0.2539,0.1573
37.75,5.8071,0.4472,0.0898,0.0,0.2126,0.1448
38.25,5.4244,0.3873,0.0927,0.0,0.1687,0.1259
38.75,5.0859,0.3703,0.0828,0.0,0.1665,0.121
39.25,4.6638,0.3231,0.0721,0.0,0.1266,0.1244
39.75,4.5109,0.2983,0.0686,0.0,0.1144,0.1152
40.25,4.3423,0.2744,0.0689,0.0,0.0982,0.1073
40.75,4.2501,0.2449,0.0616,0.0,0.0872,0.0961
41.25,4.0627,0.2321,0.0623,0.0,0.0746,0.0952
41.75,3.9439,0.2172,0.0624,0.0,0.0673,0.0874
