,[Fe/H]_Median,[Fe/H]_MAD,StellarAge_BinCenters_Gyr,[Fe/H]_Median_H,[Fe/H]_MAD_H,[Fe/H]_Median_B,[Fe/H]_MAD_B,[Fe/H]_Median_CD,[Fe/H]_MAD_CD,[Fe/H]_Median_WD,[Fe/H]_MAD_WD
0,0.193998,0.158654,0.5,-0.058552,0.119814,0.715958,0.050321,0.167531,0.14772,0.639619,0.094811
1,0.138186,0.133451,1.5,0.35165,0.221782,0.753394,0.039171,0.131462,0.129447,0.240498,0.238314
2,0.093869,0.148106,2.5,0.154838,0.288817,0.711344,0.042951,0.073348,0.137719,0.188893,0.227201
3,0.03356,0.184081,3.5,-0.27605,0.095251,0.655494,0.046635,0.023992,0.163389,0.006313,0.214626
4,-0.054404,0.196593,4.5,-0.38656,0.108669,0.610875,0.048056,-0.060356,0.175702,-0.085786,0.229563
5,-0.090191,0.220416,5.5,-0.464432,0.069178,0.44061,0.074446,-0.081191,0.19486,-0.138778,0.255591
6,-0.083011,0.186469,6.5,-0.427584,0.109744,0.224389,0.073626,-0.093438,0.160617,-0.091113,0.211261
7,-0.11256,0.222882,7.5,-0.438092,0.110168,0.325751,0.161425,-0.177782,0.143678,-0.146288,0.206838
8,-0.051207,0.268425,8.5,-0.446952,0.123653,0.18142,0.22996,-0.153016,0.181104,-0.082945,0.220504
9,-0.17375,0.235475,9.5,-0.513191,0.160194,-0.002121,0.214353,-0.189912,0.185823,-0.16526,0.201707
10,-0.543858,0.267116,10.5,-0.725775,0.205774,-0.251495,0.204873,-0.526858,0.257375,-0.527255,0.2683
11,-0.756313,0.290759,11.5,-0.864005,0.288923,-0.492423,0.212637,-0.751007,0.272048,-0.788075,0.290787
12,-1.187133,0.35824,12.5,-1.242535,0.358119,-0.876555,0.294534,-1.131244,0.340523,-1.215965,0.343062
13,-1.935915,0.44838,13.5,-1.971902,0.456433,-1.793495,0.411396,-1.760666,0.431508,-2.035371,0.437311
