CylindricalRadius_ckpc,SurfaceDensity_Type0_Msun/ckpc^2,SurfaceDensity_Type4_Msun/ckpc^2,SurfaceDensity_Type4_H_Msun/ckpc^2,SurfaceDensity_Type4_B_Msun/ckpc^2,SurfaceDensity_Type4_CD_Msun/ckpc^2,SurfaceDensity_Type4_WD_Msun/ckpc^2
0.25,35.3077,8139.0755,19.9702,5338.9279,980.7839,1799.3935
0.75,55.5385,3371.6841,20.5642,2071.5156,452.9429,826.6614
1.25,24.4591,1370.4661,20.837,790.9853,163.0284,395.6153
1.75,15.2595,621.1171,19.7498,328.2802,81.1514,191.9357
2.25,9.9551,320.2114,21.3545,136.7091,57.165,104.9828
2.75,7.4277,208.6032,21.2619,67.4939,51.9957,67.8516
3.25,6.7396,154.4909,22.452,32.8123,53.9482,45.2784
3.75,6.8004,126.416,25.5059,13.2734,55.2289,32.4078
4.25,7.46,106.3622,27.784,0.9579,51.2024,26.418
4.75,6.8296,92.3544,23.8401,0.0,44.6406,23.8736
5.25,6.8017,78.7852,19.9033,0.0,38.2783,20.6037
5.75,7.2811,68.3255,16.749,0.0,33.9657,17.6109
6.25,8.0135,60.8065,14.1686,0.0,30.4514,16.1865
6.75,8.1769,54.6476,12.1953,0.0,27.4698,14.9825
7.25,7.3268,50.9566,11.0073,0.0,26.7814,13.1678
7.75,7.3884,46.7902,9.6199,0.0,25.77,11.4004
8.25,7.5405,42.083,8.374,0.0,23.7419,9.9671
8.75,7.1905,39.0531,7.7582,0.0,22.0888,9.2061
9.25,6.7881,35.8923,6.8964,0.0,20.5793,8.4167
9.75,7.03,33.1844,6.355,0.0,19.5076,7.3218
10.25,6.7693,31.0605,5.6925,0.0,18.6751,6.6929
10.75,6.5741,29.2596,5.3703,0.0,17.7211,6.1682
11.25,6.4483,27.4054,4.8522,0.0,16.941,5.6122
11.75,6.2912,25.9943,4.4567,0.0,16.3963,5.1413
12.25,6.0857,24.4621,3.9868,0.0,15.722,4.7533
12.75,6.2031,23.4565,3.7479,0.0,15.2569,4.4518
13.25,6.8131,22.4558,3.5168,0.0,14.8199,4.119
13.75,7.7646,21.4839,3.2636,0.0,14.2349,3.9854
14.25,8.177,20.1409,3.0173,0.0,13.3453,3.7784
14.75,8.3749,18.8362,2.873,0.0,12.3393,3.624
15.25,8.0094,17.8747,2.6027,0.0,11.9419,3.3301
15.75,7.7714,16.9688,2.4936,0.0,11.443,3.0322
16.25,7.6738,15.8741,2.3341,0.0,10.835,2.705
16.75,7.2527,14.924,2.1471,0.0,10.2421,2.5347
17.25,7.0577,14.2497,2.0352,0.0,9.8015,2.413
17.75,6.7848,13.5887,1.9417,0.0,9.3201,2.3269
18.25,6.4741,12.8694,1.7529,0.0,8.8868,2.2297
18.75,6.004,11.9786,1.6525,0.0,8.2323,2.0939
19.25,5.9746,11.1154,1.53,0.0,7.7021,1.8833
19.75,6.2837,10.5484,1.4176,0.0,7.3178,1.813
20.25,6.5882,9.9512,1.3299,0.0,6.9212,1.7002
20.75,6.9915,9.3117,1.2471,0.0,6.3951,1.6695
21.25,7.2467,9.1739,1.2402,0.0,6.3347,1.599
21.75,7.5387,8.6913,1.1175,0.0,6.0188,1.555
22.25,7.339,8.0773,1.0409,0.0,5.5838,1.4526
22.75,7.3115,7.6973,1.0199,0.0,5.2264,1.4509
23.25,7.6241,7.3333,0.9601,0.0,5.0632,1.31
23.75,8.433,6.9254,0.9094,0.0,4.7989,1.2171
24.25,8.8135,6.6086,0.8719,0.0,4.578,1.1587
24.75,8.9786,6.2843,0.8179,0.0,4.407,1.0594
25.25,9.2814,6.0531,0.7841,0.0,4.2244,1.0445
25.75,9.5267,5.6987,0.7029,0.0,4.0175,0.9783
26.25,9.6261,5.4743,0.679,0.0,3.8534,0.9419
26.75,9.4335,5.0798,0.6375,0.0,3.5929,0.8495
27.25,8.7742,4.8302,0.6022,0.0,3.4175,0.8105
27.75,8.3707,4.5494,0.5466,0.0,3.2109,0.7919
28.25,8.153,4.2766,0.5235,0.0,3.0047,0.7484
28.75,7.6465,3.9123,0.526,0.0,2.712,0.6743
29.25,7.4414,3.5303,0.4971,0.0,2.4008,0.6324
29.75,7.7152,3.1363,0.4827,0.0,2.0888,0.5649
30.25,7.8331,2.8177,0.4344,0.0,1.8199,0.5634
30.75,7.9835,2.537,0.4044,0.0,1.6259,0.5066
31.25,8.0097,2.3158,0.3998,0.0,1.4331,0.4829
31.75,7.7364,2.1682,0.411,0.0,1.3018,0.4554
32.25,7.9001,1.9916,0.3822,0.0,1.1815,0.428
32.75,7.9922,1.7969,0.3441,0.0,1.0699,0.383
33.25,8.196,1.6266,0.353,0.0,0.9023,0.3713
33.75,8.1467,1.4888,0.3316,0.0,0.8235,0.3338
34.25,8.1434,1.3444,0.3081,0.0,0.7281,0.3082
34.75,7.7627,1.2358,0.305,0.0,0.6471,0.2837
35.25,7.6333,1.1429,0.2885,0.0,0.5757,0.2787
35.75,7.3154,1.0618,0.2734,0.0,0.538,0.2504
36.25,7.004,0.9591,0.2614,0.0,0.4453,0.2523
36.75,6.7283,0.9109,0.2525,0.0,0.4224,0.236
37.25,6.5855,0.8776,0.2581,0.0,0.3919,0.2276
37.75,6.4937,0.7622,0.2315,0.0,0.3216,0.2091
38.25,6.2297,0.698,0.2175,0.0,0.3015,0.179
38.75,5.9537,0.6371,0.2325,0.0,0.2438,0.1608
39.25,5.6325,0.6029,0.2191,0.0,0.2158,0.168
39.75,5.4507,0.5374,0.1923,0.0,0.1877,0.1574
40.25,5.4141,0.4963,0.194,0.0,0.162,0.1403
40.75,5.0264,0.4638,0.1792,0.0,0.1428,0.1418
41.25,4.7125,0.4179,0.177,0.0,0.126,0.1149
41.75,4.4181,0.4044,0.1778,0.0,0.1022,0.1245
42.25,3.954,0.3764,0.1745,0.0,0.0859,0.1159
42.75,3.6107,0.3563,0.1725,0.0,0.0785,0.1054
43.25,3.3187,0.322,0.1637,0.0,0.0587,0.0996
43.75,3.0435,0.3116,0.1593,0.0,0.0589,0.0934
44.25,2.8516,0.2887,0.1452,0.0,0.0485,0.0951
44.75,2.6223,0.2624,0.1367,0.0,0.0432,0.0825
45.25,2.5138,0.2633,0.1297,0.0,0.0411,0.0925
45.75,2.2839,0.2532,0.1254,0.0,0.042,0.0858
46.25,2.171,0.2432,0.1263,0.0,0.0363,0.0806
46.75,2.1136,0.2237,0.1127,0.0,0.0313,0.0797
47.25,2.0277,0.2279,0.1125,0.0,0.0375,0.0778
47.75,1.924,0.207,0.1073,0.0,0.0277,0.0721
48.25,1.8393,0.221,0.1059,0.0,0.0282,0.0868
48.75,1.6735,0.2088,0.1017,0.0,0.0304,0.0766
49.25,1.5975,0.1922,0.0959,0.0,0.0277,0.0686
49.75,1.5006,0.2005,0.1021,0.0,0.023,0.0755
