,StellarMassFraction_0,StellarMassFraction_0_InSitu,StellarMassFraction_0_ExSitu,StellarMassFraction_0to0,StellarMassFraction_1to0,StellarMassFraction_2to0,StellarMassFraction_3to0,StellarMassFraction_1,StellarMassFraction_1_InSitu,StellarMassFraction_1_ExSitu,StellarMassFraction_0to1,StellarMassFraction_1to1,StellarMassFraction_2to1,StellarMassFraction_3to1,StellarMassFraction_2,StellarMassFraction_2_InSitu,StellarMassFraction_2_ExSitu,StellarMassFraction_0to2,StellarMassFraction_1to2,StellarMassFraction_2to2,StellarMassFraction_3to2,StellarMassFraction_3,StellarMassFraction_3_InSitu,StellarMassFraction_3_ExSitu,StellarMassFraction_0to3,StellarMassFraction_1to3,StellarMassFraction_2to3,StellarMassFraction_3to3,Abundance_[Fe/H]
0,0.00061066204,1.3875986e-05,0.00059678603,6.8196287e-06,0.0,0.0,0.0,0.0001467277,0.0,0.00014672772,0.0,0.0,0.0,0.0,3.180003e-05,2.701326e-06,2.9098705e-05,0.0,2.701326e-06,0.0,0.0,6.842371e-05,0.0,6.842371e-05,0.0,0.0,0.0,0.0,-2.465
1,0.00066836074,4.2098196e-05,0.00062626257,1.7165637e-05,8.389275e-06,1.0575985e-05,5.967299e-06,0.000163251,8.906317e-06,0.00015434469,0.0,8.906317e-06,0.0,0.0,2.0196683e-05,0.0,2.0196683e-05,0.0,0.0,0.0,0.0,0.0001015492,5.3200124e-06,9.622919e-05,0.0,0.0,5.3200124e-06,0.0,-2.395
2,0.00082522334,3.129604e-05,0.00079392723,0.0,1.3420802e-05,1.787524e-05,0.0,0.00021049585,5.3280023e-06,0.00020516785,0.0,0.0,5.3280023e-06,0.0,1.9471034e-05,0.0,1.9471034e-05,0.0,0.0,0.0,0.0,0.00011070033,3.6534143e-06,0.00010704692,0.0,0.0,3.6534143e-06,0.0,-2.325
3,0.0011004701,3.4763285e-05,0.0010657067,2.767352e-05,0.0,0.0,7.0897636e-06,0.00023858673,1.1123115e-05,0.0002274636,4.424446e-06,6.6986686e-06,0.0,0.0,4.6755235e-05,5.574233e-06,4.1181e-05,2.8713828e-06,2.7028505e-06,0.0,0.0,0.00015058469,0.0,0.00015058469,0.0,0.0,0.0,0.0,-2.255
4,0.0014827903,4.5583634e-05,0.0014372066,3.6093366e-05,0.0,0.0,9.490266e-06,0.00028117912,2.0233563e-05,0.00026094556,2.8191293e-06,9.885993e-06,3.1796699e-06,4.3487717e-06,4.2366046e-05,2.249632e-06,4.0116414e-05,0.0,2.249632e-06,0.0,0.0,0.00020572501,1.6094675e-05,0.00018963034,7.83593e-06,4.3325495e-06,0.0,3.9261954e-06,-2.1849999999999996
5,0.0016996125,0.00011949406,0.0015801184,4.6726167e-05,4.6566143e-05,0.0,2.6201755e-05,0.00032839825,1.2794e-05,0.00031560427,3.7473671e-06,9.046633e-06,0.0,0.0,8.3601786e-05,1.2039925e-06,8.239779e-05,1.2039925e-06,0.0,0.0,0.0,0.00021604134,6.756667e-06,0.00020928467,3.4307418e-06,0.0,0.0,3.3259255e-06,-2.115
6,0.0020759956,0.00014442923,0.0019315665,5.177485e-05,6.0171533e-05,2.549953e-05,6.9833104e-06,0.00046635306,1.5124031e-05,0.00045122902,1.0737673e-05,0.0,0.0,4.3863583e-06,7.952851e-05,5.940305e-06,7.3588206e-05,3.6072306e-06,0.0,0.0,2.3330745e-06,0.0003212603,1.4829322e-05,0.000306431,4.1749295e-06,1.0654392e-05,0.0,0.0,-2.045
7,0.0024996907,0.00017128652,0.0023284042,5.9794198e-05,8.324616e-05,2.8246164e-05,0.0,0.00048985484,4.777155e-05,0.00044208326,2.1852225e-05,2.2855993e-05,0.0,3.0633344e-06,9.403692e-05,7.259326e-06,8.677759e-05,2.894482e-06,2.150506e-06,2.214338e-06,0.0,0.00034517475,3.283732e-05,0.00031233742,1.3169544e-05,1.0671201e-05,4.3939244e-06,4.6026516e-06,-1.9749999999999999
8,0.0032378263,0.00027892564,0.0029589008,8.683978e-05,0.00013625016,0.0,5.5835695e-05,0.0006676392,6.514428e-05,0.0006024949,1.9261066e-05,2.6145894e-05,9.141274e-06,1.059605e-05,8.997551e-05,4.7526237e-06,8.522289e-05,0.0,4.7526237e-06,0.0,0.0,0.00055243936,3.9302737e-05,0.0005131366,3.6578442e-06,2.053554e-05,3.9544993e-06,1.11548525e-05,-1.9049999999999998
9,0.003831968,0.00029439453,0.0035375734,0.00010327381,0.00013241118,3.0522617e-05,2.8186922e-05,0.0009215177,7.1890114e-05,0.00084962766,1.0723446e-05,3.600002e-05,8.807685e-06,1.6358958e-05,0.00015489037,1.6372409e-05,0.00013851796,3.6575186e-06,5.9928266e-06,3.870031e-06,2.8520337e-06,0.00056047813,4.9183895e-05,0.00051129423,5.7776883e-06,3.1580807e-05,4.112039e-06,7.713362e-06,-1.835
