SnapshotNumber,Time_Gyr,LookbackTime_Gyr,Redshift,ExpansionFactor,VirialRadius_ckpc,VirialMass_1E10Msun,MainHaloIdx,MainSubhaloIdx,VirialRadius00_ckpc,VirialMass00_1E10Msun,ReferencePotential_(km/s)^2,SFR_H_Msun/yr,SFR_B_Msun/yr,SFR_CD_Msun/yr,SFR_WD_Msun/yr
52,1.8685717,11.9519581,3.4065465,0.2269351,154.624,12.4367419,0,0,154.624,12.4367419,-16916.127,0.21413194380701,0.18868510112429795,0.4979496515197692,0.5140884571278075
53,1.9084833,11.9120465,3.3443509,0.230184,160.112,13.8244753,0,0,160.112,13.8244753,-28055.02,0.31088054557777167,0.08076383834721851,0.4995175690702268,0.44245206452025143
54,1.9630035,11.8575263,3.2627867,0.2345883,163.976,14.8728106,0,0,163.976,14.8728106,-15113.494,0.3879076600956847,0.360891949497097,0.3732146844632618,0.4524470761020937
55,2.0190508,11.801479,3.1827539,0.2390769,166.689,15.6474427,0,0,166.689,15.6474427,-10773.021,0.531284111607774,1.9997591857736527,0.398458212819337,0.6369007031812569
56,2.0621126,11.7584172,3.123717,0.2424997,170.076,16.6430395,0,0,170.076,16.6430395,-10225.914,0.34852230138866014,3.2211790493259613,0.25129269100355905,0.6128507412304445
57,2.1060731,11.7144567,3.0655133,0.2459714,173.413,17.6663699,0,0,173.413,17.6663699,-5994.491,0.37741118687826963,2.730306067962578,0.18687769227666903,0.5828134292324425
58,2.1661155,11.6544143,2.9891842,0.2506778,176.132,18.5449577,0,0,176.132,18.5449577,-4211.513,0.4877339266661209,2.9225958534409924,0.18170192013880768,0.5072284035918131
59,2.2122417,11.6082881,2.9328794,0.2542666,177.543,19.023354,0,0,177.543,19.023354,-6213.818,0.40361758487532434,2.8502194782988104,0.18617729133686245,0.44640258136286465
60,2.2593261,11.5612037,2.8773692,0.2579068,178.444,19.3440557,0,0,178.444,19.3440557,-4785.182,0.3293506880874393,1.5867894683588193,0.31393386891742575,0.7443471055580753
61,2.3236275,11.4969023,2.8045726,0.2628416,178.848,19.5180826,0,0,178.848,19.5180826,-767.143,0.40471580590576073,1.437606958928366,0.22929098879734036,0.6137880926938301
