SnapshotNumber,Time_Gyr,StellarMassInR200_Msun,StellarMassIn0.5R200_Msun,StellarMassIn0.3R200_Msun
0,,,,
1,,,,
2,,,,
3,,,,
4,,,,
5,,,,
6,,,,
7,,,,
8,,,,
9,,,,
10,,,,
11,,,,
12,,,,
13,,,,
14,,,,
15,,,,
16,,,,
17,,,,
18,,,,
19,,,,
20,,,,
21,,,,
22,,,,
23,,,,
24,,,,
25,,,,
26,,,,
27,,,,
28,,,,
29,,,,
30,,,,
31,,,,
32,,,,
33,,,,
34,,,,
35,0.597,91396.75,0.0,0.0
36,0.641,0.0,0.0,0.0
37,0.689,35565.625,0.0,0.0
38,0.734,81391.0,0.0,0.0
39,0.788,68767.0,0.0,0.0
40,0.846,933334.0,0.0,0.0
41,0.908,2737256.0,2147396.0,0.0
42,0.968,619874.0,149100.0,47166.0
43,1.039,313604.0,213796.0,95728.0
44,1.115,2139808.0,183124.0,0.0
45,1.197,647580.0,499780.0,42960.0
46,1.285,979164.0,540192.0,0.0
47,1.37,20249976.0,801912.0,59512.0
48,1.47,30160904.0,2743904.0,271480.0
49,1.578,33584304.0,324464.0,52448.0
50,1.693,121904064.0,119773344.0,10545536.0
51,1.817,39992320.0,19295488.0,18298752.0
52,1.949,5360768.0,3564352.0,1946688.0
53,2.091,14588416.0,878976.0,481792.0
54,2.244,147584000.0,3083648.0,0.0
55,2.39,142125056.0,127354240.0,101418752.0
56,2.545,306676736.0,129822976.0,5211264.0
57,2.691,270967552.0,228891136.0,121371392.0
58,2.846,143414528.0,55788800.0,39179264.0
59,2.988,240113664.0,145712896.0,62381824.0
60,3.137,82212352.0,71950080.0,67336192.0
61,3.293,184979456.0,66625024.0,5474048.0
62,3.456,269445120.0,97693696.0,6844672.0
63,3.602,112181760.0,89226752.0,88786944.0
64,3.754,131994624.0,111532544.0,16630784.0
65,3.911,129582080.0,108015104.0,1689600.0
66,4.047,124310528.0,112620032.0,8025600.0
67,4.217,20212224.0,7030272.0,0.0
68,4.362,25057792.0,4500992.0,3787264.0
69,4.513,21204992.0,1608192.0,119808.0
70,4.668,18617344.0,2701312.0,460288.0
71,4.827,16369664.0,3441664.0,1214464.0
72,4.992,15548416.0,4632576.0,313344.0
73,5.127,14630912.0,3989504.0,1793024.0
74,5.301,14396416.0,7256064.0,1369088.0
75,5.444,27052032.0,1740800.0,716800.0
76,5.59,29207552.0,4071424.0,202752.0
77,5.739,29660160.0,13634560.0,245760.0
78,5.93,280130560.0,22243328.0,8298496.0
79,6.087,297445376.0,23044096.0,378880.0
80,6.207,298318848.0,275018752.0,507904.0
81,6.37,150499328.0,122953728.0,120766464.0
82,6.537,258048000.0,230868992.0,50834432.0
83,6.707,828068864.0,135280640.0,2297856.0
84,6.836,1630167040.0,4579328.0,1696768.0
85,7.013,1694783488.0,3650560.0,991232.0
86,7.147,1753962496.0,1925120.0,283648.0
87,7.33,1881116672.0,1649203200.0,198656.0
88,7.469,1919977472.0,1809741824.0,42813440.0
89,7.658,1863333888.0,1811892224.0,1582792704.0
90,7.802,2742245376.0,1901801472.0,106180608.0
91,7.948,2802280448.0,1909536768.0,97492992.0
92,8.096,11618664448.0,2686359552.0,82878464.0
93,8.296,12020058112.0,3271288832.0,813369344.0
94,8.449,12032735232.0,11891970048.0,8412833792.0
95,8.603,4352071680.0,4064438272.0,1579841536.0
96,8.76,9468612608.0,9393358848.0,8501913600.0
97,8.919,7143084032.0,7061055488.0,6296694784.0
98,9.079,2858147840.0,2757853184.0,767746048.0
99,9.242,2378866688.0,530272256.0,324030464.0
100,9.407,2256244736.0,254717952.0,193343488.0
101,9.573,2266607616.0,218914816.0,178823168.0
102,9.742,2201829376.0,172904448.0,134144000.0
103,9.855,2202820608.0,162873344.0,128434176.0
104,10.026,2099081216.0,38146048.0,12443648.0
105,10.2,2090688512.0,37867520.0,983040.0
106,10.375,2092503040.0,1644728320.0,512000.0
107,10.552,2076758016.0,1966092288.0,151552.0
108,10.671,2051223552.0,1941950464.0,1921429504.0
109,10.852,1632645120.0,1523998720.0,1518862336.0
110,11.034,1768632320.0,1659662336.0,1644937216.0
111,11.156,1755181056.0,1656725504.0,86163456.0
112,11.341,1797562368.0,1734172672.0,13230080.0
113,11.527,1813073920.0,1742970880.0,37474304.0
114,11.652,1819578368.0,1753964544.0,35913728.0
115,11.842,1777442816.0,1721839616.0,1660493824.0
116,11.969,1660067840.0,1607196672.0,1571303424.0
117,12.161,1102462976.0,1025056768.0,1017688064.0
118,12.355,1226514432.0,1145061376.0,1139027968.0
119,12.485,1547862016.0,1211228160.0,1177501696.0
120,12.681,1532960768.0,1193373696.0,1156722688.0
121,12.812,1212329984.0,868212736.0,838307840.0
122,13.011,922476544.0,887394304.0,569311232.0
123,13.145,989315072.0,954904576.0,891351040.0
124,13.346,999534592.0,965783552.0,934342656.0
125,13.481,810262528.0,772935680.0,455983104.0
126,13.684,783601664.0,460947456.0,371232768.0
127,13.821,831545344.0,424239104.0,401715200.0
