,[Fe/H]_Median,[Fe/H]_MAD,StellarAge_BinCenters_Gyr,[Fe/H]_Median_H,[Fe/H]_MAD_H,[Fe/H]_Median_B,[Fe/H]_MAD_B,[Fe/H]_Median_CD,[Fe/H]_MAD_CD,[Fe/H]_Median_WD,[Fe/H]_MAD_WD
0,0.24969,0.16563,0.5,-0.058965,0.116523,0.889639,0.038145,0.214167,0.143077,0.845369,0.080761
1,0.213493,0.19484,1.5,0.029587,0.278257,0.786568,0.065161,0.156378,0.154112,0.647517,0.161111
2,0.181554,0.188107,2.5,-0.162916,0.138981,0.755685,0.071552,0.139851,0.15109,0.473393,0.275485
3,0.170593,0.179473,3.5,-0.17763,0.121276,0.595242,0.071685,0.123998,0.119788,0.307844,0.231949
4,0.155791,0.213651,4.5,-0.145011,0.171772,0.412744,0.063465,0.063863,0.171749,0.253354,0.181586
5,0.194837,0.224866,5.5,-0.313356,0.195308,0.395782,0.076059,0.096505,0.202311,0.227957,0.203544
6,0.147088,0.19515,6.5,-0.419872,0.208006,0.328187,0.092189,0.102052,0.168044,0.182829,0.177061
7,-0.00145,0.205464,7.5,-0.475675,0.18133,0.247224,0.111943,-0.040271,0.160444,0.01739,0.211127
8,-0.120804,0.21576,8.5,-0.592269,0.242868,0.171248,0.129557,-0.152846,0.160571,-0.105148,0.209674
9,-0.107646,0.251579,9.5,-0.534713,0.208751,0.126235,0.228601,-0.171533,0.183631,-0.134136,0.218516
10,-0.32274,0.239699,10.5,-0.60214,0.200682,-0.127988,0.213271,-0.310305,0.19779,-0.314219,0.219075
11,-0.536513,0.30204,11.5,-0.843464,0.240867,-0.268796,0.217551,-0.547566,0.286447,-0.548906,0.291578
12,-0.950365,0.357788,12.5,-1.213421,0.328517,-0.644902,0.244703,-0.948251,0.355604,-0.935155,0.350872
13,-1.821134,0.467074,13.5,-2.044013,0.428629,-1.499293,0.374805,-1.826193,0.482325,-1.787207,0.46169
