,[Fe/H]_Median,[Fe/H]_MAD,StellarAge_BinCenters_Gyr,[Fe/H]_Median_H,[Fe/H]_MAD_H,[Fe/H]_Median_B,[Fe/H]_MAD_B,[Fe/H]_Median_CD,[Fe/H]_MAD_CD,[Fe/H]_Median_WD,[Fe/H]_MAD_WD
0,0.236501,0.222248,0.5,-0.124874,0.072428,0.515409,0.252052,0.268597,0.150064,0.32143,0.215841
1,0.168167,0.189689,1.5,-0.180559,0.068868,0.5446,0.157122,0.172991,0.140953,0.211364,0.236058
2,0.029822,0.191707,2.5,-0.264147,0.087285,0.407997,0.218742,0.080335,0.143602,0.036092,0.187654
3,-0.007105,0.198874,3.5,-0.261056,0.121349,0.345487,0.25207,0.044681,0.14773,0.011949,0.187073
4,-0.114432,0.193103,4.5,-0.284969,0.155424,0.23685,0.20757,-0.088444,0.15241,-0.107334,0.182126
5,-0.148737,0.215955,5.5,-0.32806,0.155725,0.022837,0.219253,-0.108663,0.209436,-0.10525,0.226167
6,-0.272032,0.22334,6.5,-0.401198,0.1768,-0.0681,0.197376,-0.172578,0.261643,-0.213496,0.242963
7,-0.374477,0.22725,7.5,-0.488885,0.191443,-0.131626,0.192954,-0.237662,0.273473,-0.298488,0.255577
8,-0.429591,0.235631,8.5,-0.5946,0.184268,-0.237449,0.212601,-0.29471,0.24233,-0.341339,0.233385
9,-0.588511,0.264298,9.5,-0.75032,0.219784,-0.334396,0.220573,-0.410837,0.267176,-0.454414,0.263494
10,-0.698335,0.275453,10.5,-0.906847,0.233743,-0.469624,0.228967,-0.509498,0.262398,-0.572734,0.260194
11,-0.868734,0.340119,11.5,-1.190235,0.276468,-0.604549,0.245927,-0.671866,0.264294,-0.713282,0.285507
12,-1.020107,0.402933,12.5,-1.528718,0.335499,-0.742846,0.28811,-0.940082,0.325793,-0.928046,0.334633
13,-1.561177,0.451889,13.5,-2.217738,0.506734,-1.380863,0.372985,-1.497718,0.365595,-1.486896,0.411041
