,StellarMassFraction_0,StellarMassFraction_0_InSitu,StellarMassFraction_0_ExSitu,StellarMassFraction_0to0,StellarMassFraction_1to0,StellarMassFraction_2to0,StellarMassFraction_3to0,StellarMassFraction_1,StellarMassFraction_1_InSitu,StellarMassFraction_1_ExSitu,StellarMassFraction_0to1,StellarMassFraction_1to1,StellarMassFraction_2to1,StellarMassFraction_3to1,StellarMassFraction_2,StellarMassFraction_2_InSitu,StellarMassFraction_2_ExSitu,StellarMassFraction_0to2,StellarMassFraction_1to2,StellarMassFraction_2to2,StellarMassFraction_3to2,StellarMassFraction_3,StellarMassFraction_3_InSitu,StellarMassFraction_3_ExSitu,StellarMassFraction_0to3,StellarMassFraction_1to3,StellarMassFraction_2to3,StellarMassFraction_3to3,Abundance_[O/H]
0,0.0020913705,0.00052453176,0.0015668387,0.00026179652,0.000106665044,5.6838453e-05,8.656463e-05,0.00010458704,2.8236085e-05,7.635095e-05,4.5332167e-06,7.751016e-06,5.293863e-06,5.1166e-06,4.906795e-05,1.15011e-05,3.756685e-05,1.2668062e-06,1.2582552e-06,3.37363e-06,4.1898643e-06,0.000121228404,4.006888e-05,8.1159524e-05,1.8862393e-05,9.791522e-06,1.7111099e-06,3.4735679e-06,-1.9649999999999999
1,0.0026767827,0.00075176463,0.0019250183,0.00034144046,0.00020452423,8.0307414e-05,0.00011695744,0.00012570583,2.9075913e-05,9.662991e-05,4.5341017e-06,3.4324164e-06,8.385058e-06,1.0351554e-05,7.048901e-05,1.6145746e-05,5.4343265e-05,6.094381e-06,3.1045097e-06,1.0139584e-06,1.1828731e-06,0.0001968032,5.0286475e-05,0.00014651673,2.3341876e-05,1.1890999e-05,9.7995235e-06,2.0071852e-06,-1.895
2,0.0033837259,0.0011618183,0.0022219075,0.00053617323,0.00026305523,0.00018049007,0.00018209977,0.00017598126,6.8063135e-05,0.00010791811,9.270818e-06,1.7166003e-05,1.4676196e-05,1.5184378e-05,7.841354e-05,1.1738954e-05,6.667459e-05,4.674567e-06,3.7464406e-06,1.2604038e-06,0.0,0.00019819838,4.771012e-05,0.00015048827,1.896741e-05,5.089428e-06,1.4474681e-05,7.741986e-06,-1.825
3,0.003792122,0.0011515389,0.002640583,0.0004993504,0.00027085876,0.00014940898,0.00022477689,0.00017937779,6.376833e-05,0.00011560946,6.771994e-06,2.6597769e-05,7.210363e-06,1.37085935e-05,7.53448e-05,2.0152676e-05,5.519212e-05,7.1387794e-06,5.674042e-06,2.2544993e-06,4.0325053e-06,0.00024206289,7.5440315e-05,0.00016662257,3.050784e-05,2.536645e-05,5.566744e-06,1.3999279e-05,-1.755
4,0.0046126014,0.0016673511,0.0029452504,0.0007629114,0.0003411961,0.0002189447,0.00034429893,0.00031934545,0.0001234015,0.00019594393,8.241113e-06,5.6539826e-05,1.6655318e-05,3.4018383e-05,0.000107213506,2.3772456e-05,8.3441046e-05,5.371322e-06,8.066464e-06,4.51934e-06,4.88145e-06,0.0003059968,9.959134e-05,0.00020640547,3.0866508e-05,3.0494097e-05,9.012713e-06,2.3120485e-05,-1.685
5,0.0059516644,0.0021861559,0.0037655083,0.0010010748,0.00049427105,0.0002604747,0.00043033538,0.00026751898,0.00010855842,0.00015896052,5.341597e-06,5.9618214e-05,1.8739502e-05,1.4938961e-05,0.00012542796,2.8587478e-05,9.6840486e-05,7.356412e-06,5.6519793e-06,8.615403e-06,6.9636826e-06,0.00035666305,0.00012992503,0.00022673802,4.900834e-05,3.935157e-05,9.75054e-06,2.439561e-05,-1.615
6,0.0068857064,0.002290168,0.004595539,0.0009741251,0.00058428955,0.0003081747,0.00040784117,0.00029620843,0.00011535168,0.00018085675,6.9869907e-06,6.666667e-05,1.17427535e-05,1.8711624e-05,0.00015776303,4.331348e-05,0.000114449555,1.700584e-05,7.245967e-06,3.3258966e-06,1.353659e-05,0.00047264737,0.00015699524,0.0003156521,5.7685043e-05,4.476412e-05,1.9892286e-05,2.4973531e-05,-1.545
7,0.008455663,0.0030169466,0.005438716,0.0012567277,0.0006691818,0.00046618047,0.00062485656,0.0004615256,0.00019973406,0.00026179155,2.0743637e-05,0.00010173878,2.7213577e-05,2.7317461e-05,0.00018063266,5.0408282e-05,0.00013022439,1.2788986e-05,2.4125178e-05,4.1691146e-06,8.150177e-06,0.0005400474,0.00016741968,0.00037262775,5.9237464e-05,6.518694e-05,1.2711975e-05,2.4459727e-05,-1.475
8,0.009104274,0.0033639106,0.0057403636,0.001325528,0.0006725855,0.0005138633,0.0008426804,0.0004868303,0.00024036088,0.00024646943,3.846906e-05,0.00010543802,2.8832763e-05,5.874997e-05,0.00021539547,5.5087225e-05,0.00016030825,1.106774e-05,2.4408133e-05,1.06726875e-05,8.938661e-06,0.0006542494,0.00020445345,0.00044979595,6.3237276e-05,6.8819376e-05,1.906378e-05,4.1460546e-05,-1.4049999999999998
9,0.011301724,0.0040046545,0.007297069,0.001645987,0.0009057725,0.0005193563,0.000927983,0.0006580226,0.00032872343,0.00032929916,2.7696015e-05,0.0001798219,3.6248148e-05,6.858066e-05,0.000254114,7.051365e-05,0.00018360036,1.306097e-05,3.455839e-05,1.1258544e-05,1.1635742e-05,0.0007274075,0.0002609483,0.00046645929,7.552314e-05,9.495338e-05,3.3458058e-05,5.0865954e-05,-1.335
10,0.013663411,0.005068673,0.008594739,0.0017636946,0.0011987787,0.00093961204,0.0011665872,0.0009019951,0.0005086866,0.0003933085,4.0911724e-05,0.0002727632,6.600404e-05,0.000109001194,0.00030974287,8.0782156e-05,0.0002289607,1.9315574e-05,3.6777525e-05,8.940925e-06,1.4874106e-05,0.00094577495,0.00036425074,0.0005815243,0.0001017868,0.00015671721,4.142642e-05,5.5310287e-05,-1.265
