CylindricalRadius_ckpc,SurfaceDensity_Type0_Msun/ckpc^2,SurfaceDensity_Type4_Msun/ckpc^2,SurfaceDensity_Type4_H_Msun/ckpc^2,SurfaceDensity_Type4_B_Msun/ckpc^2,SurfaceDensity_Type4_CD_Msun/ckpc^2,SurfaceDensity_Type4_WD_Msun/ckpc^2
0.25,62.7914,5786.9326,10.0768,3672.2263,724.7991,1379.8303
0.75,71.8161,3609.5082,9.3415,1927.2057,604.974,1067.987
1.25,29.7856,1822.8209,9.2505,852.2136,330.6783,630.6785
1.75,17.1452,1010.3675,10.3535,401.638,223.0952,375.2808
2.25,12.4441,643.7319,10.8386,204.588,183.9682,244.3371
2.75,10.0175,450.6558,10.671,106.0482,170.4839,163.4527
3.25,9.927,360.4369,10.9147,59.0509,167.1067,123.3647
3.75,10.0749,301.54,11.4591,35.0195,157.3621,97.6993
4.25,9.2922,236.1873,12.3725,18.2281,130.5767,75.0101
4.75,9.85,181.6055,14.7398,6.7942,105.9721,54.0994
5.25,8.9222,141.7859,15.1757,0.5447,86.8684,39.197
5.75,7.9789,114.3808,12.1274,0.0,73.5423,28.7111
6.25,7.2371,98.2782,10.1945,0.0,65.9234,22.1602
6.75,7.0833,88.506,8.7459,0.0,61.475,18.2851
7.25,6.6655,80.9522,7.7714,0.0,57.3129,15.8679
7.75,6.4423,74.8962,6.7464,0.0,53.8493,14.3005
8.25,6.2964,69.2343,5.9351,0.0,49.9652,13.3341
8.75,6.7088,62.4783,5.3347,0.0,45.4075,11.7361
9.25,7.3548,57.484,4.7233,0.0,42.9009,9.8598
9.75,7.1488,50.9802,4.3071,0.0,38.5428,8.1303
10.25,7.1842,45.1909,3.7885,0.0,34.5582,6.8443
10.75,7.6659,38.8862,3.5456,0.0,29.2815,6.0591
11.25,7.4748,32.9697,3.1832,0.0,24.5369,5.2496
11.75,7.4347,28.5339,3.0171,0.0,20.9407,4.576
12.25,7.7977,24.7542,2.6361,0.0,17.9376,4.1805
12.75,8.5594,22.1066,2.4648,0.0,15.9349,3.707
13.25,9.2792,19.94,2.1571,0.0,14.4471,3.3358
13.75,9.7664,18.6275,2.0869,0.0,13.456,3.0846
14.25,9.7319,17.5982,1.9229,0.0,12.6343,3.041
14.75,9.952,15.9485,1.7559,0.0,11.152,3.0406
15.25,9.7545,14.3574,1.5871,0.0,9.7874,2.9829
15.75,9.6517,12.798,1.4974,0.0,8.1158,3.1848
16.25,9.0097,11.0165,1.3988,0.0,6.3096,3.3082
16.75,8.2298,9.2708,1.2832,0.0,4.7612,3.2265
17.25,7.7493,7.7119,1.22,0.0,3.4545,3.0373
17.75,7.6378,6.4975,1.1141,0.0,2.6673,2.7161
18.25,7.5527,5.4535,1.0306,0.0,2.0807,2.3423
18.75,7.527,4.4892,0.9662,0.0,1.5371,1.9859
19.25,7.2767,3.7643,0.8847,0.0,1.1773,1.7023
19.75,6.8329,3.2052,0.868,0.0,0.9752,1.3619
20.25,6.6057,2.8024,0.852,0.0,0.8059,1.1445
20.75,6.5475,2.3918,0.7359,0.0,0.6807,0.9752
21.25,6.0438,2.1303,0.7204,0.0,0.5599,0.85
21.75,5.8879,1.916,0.6808,0.0,0.4537,0.7816
22.25,5.8646,1.673,0.5819,0.0,0.3717,0.7194
22.75,5.5377,1.5254,0.603,0.0,0.3041,0.6183
23.25,5.1541,1.358,0.5484,0.0,0.2429,0.5667
23.75,4.8467,1.2714,0.5282,0.0,0.1898,0.5534
24.25,4.5318,1.1946,0.5094,0.0,0.1682,0.5169
24.75,4.0936,1.0742,0.4872,0.0,0.1513,0.4358
25.25,3.8435,0.9951,0.4511,0.0,0.1523,0.3917
25.75,3.5788,0.902,0.4345,0.0,0.1264,0.3411
26.25,3.351,0.8404,0.3944,0.0,0.1312,0.3148
26.75,3.1865,0.7363,0.3756,0.0,0.1113,0.2494
27.25,2.9983,0.7125,0.3543,0.0,0.1138,0.2444
27.75,2.895,0.6453,0.3388,0.0,0.1104,0.1961
28.25,2.7603,0.621,0.3322,0.0,0.0918,0.1969
28.75,2.6342,0.5831,0.3267,0.0,0.0922,0.1641
29.25,2.4681,0.5288,0.2889,0.0,0.088,0.1519
29.75,2.2778,0.5023,0.2832,0.0,0.0883,0.1308
30.25,2.1455,0.4851,0.2715,0.0,0.0922,0.1214
30.75,1.9362,0.4575,0.2559,0.0,0.0829,0.1186
31.25,1.852,0.4421,0.2691,0.0,0.074,0.099
31.75,1.6993,0.3781,0.2205,0.0,0.0751,0.0824
32.25,1.6052,0.407,0.2271,0.0,0.0805,0.0993
32.75,1.4834,0.3761,0.2299,0.0,0.0588,0.0874
33.25,1.4823,0.3639,0.2195,0.0,0.0575,0.0869
33.75,1.4156,0.326,0.1973,0.0,0.0546,0.0741
34.25,1.3714,0.3302,0.2058,0.0,0.0557,0.0686
34.75,1.2747,0.3108,0.1948,0.0,0.0471,0.0689
35.25,1.265,0.2794,0.1748,0.0,0.0427,0.0619
35.75,1.2494,0.295,0.1818,0.0,0.0429,0.0703
36.25,1.1445,0.2842,0.1768,0.0,0.0392,0.0682
36.75,1.1537,0.2515,0.1551,0.0,0.0316,0.0648
37.25,1.0795,0.2504,0.1558,0.0,0.0304,0.0642
37.75,1.1246,0.2456,0.155,0.0,0.0232,0.0674
38.25,1.1029,0.2294,0.1409,0.0,0.0261,0.0624
38.75,1.1045,0.2069,0.1401,0.0,0.0149,0.0519
39.25,1.0341,0.1869,0.1203,0.0,0.0184,0.0482
39.75,1.0522,0.1884,0.1319,0.0,0.0185,0.038
40.25,1.0577,0.1667,0.1153,0.0,0.0174,0.034
40.75,1.0494,0.1731,0.1252,0.0,0.0158,0.0322
41.25,1.0388,0.1575,0.112,0.0,0.0145,0.0309
41.75,1.0873,0.1378,0.1021,0.0,0.0155,0.0203
42.25,1.0803,0.1341,0.1041,0.0,0.0134,0.0165
42.75,1.0711,0.1426,0.1052,0.0,0.0152,0.0222
43.25,1.0449,0.1184,0.0878,0.0,0.013,0.0175
43.75,0.9949,0.1292,0.0943,0.0,0.0144,0.0206
44.25,0.9865,0.1063,0.0849,0.0,0.0101,0.0113
44.75,1.0259,0.1033,0.0765,0.0,0.0103,0.0166
45.25,1.0315,0.0954,0.0825,0.0,0.0045,0.0084
45.75,1.0213,0.0978,0.0786,0.0,0.0062,0.013
46.25,1.0365,0.09,0.0716,0.0,0.0066,0.0118
46.75,0.9968,0.0952,0.0809,0.0,0.0046,0.0098
47.25,0.9651,0.0933,0.0748,0.0,0.004,0.0144
47.75,0.9858,0.0914,0.0761,0.0,0.0056,0.0098
48.25,0.9961,0.0738,0.0612,0.0,0.003,0.0096
48.75,0.9726,0.0871,0.0696,0.0,0.0046,0.0129
49.25,0.9992,0.0754,0.0599,0.0,0.0032,0.0123
49.75,0.9829,0.0787,0.0679,0.0,0.0024,0.0083
