,StellarMassFraction_0,StellarMassFraction_0_InSitu,StellarMassFraction_0_ExSitu,StellarMassFraction_0to0,StellarMassFraction_1to0,StellarMassFraction_2to0,StellarMassFraction_3to0,StellarMassFraction_1,StellarMassFraction_1_InSitu,StellarMassFraction_1_ExSitu,StellarMassFraction_0to1,StellarMassFraction_1to1,StellarMassFraction_2to1,StellarMassFraction_3to1,StellarMassFraction_2,StellarMassFraction_2_InSitu,StellarMassFraction_2_ExSitu,StellarMassFraction_0to2,StellarMassFraction_1to2,StellarMassFraction_2to2,StellarMassFraction_3to2,StellarMassFraction_3,StellarMassFraction_3_InSitu,StellarMassFraction_3_ExSitu,StellarMassFraction_0to3,StellarMassFraction_1to3,StellarMassFraction_2to3,StellarMassFraction_3to3,Abundance_[O/H]
0,0.0006522672,6.230412e-05,0.00058996305,4.4905868e-05,6.2775753e-06,6.8111076e-06,4.309571e-06,0.000108550244,3.567217e-05,7.287807e-05,8.363042e-06,1.0904547e-05,4.246208e-06,0.0,2.5400725e-05,4.264113e-06,2.1136611e-05,2.8962081e-06,0.0,1.3679049e-06,0.0,0.00014460512,4.3445116e-06,0.0001402606,4.3445116e-06,0.0,0.0,0.0,-1.9649999999999999
1,0.0008873816,6.3233645e-05,0.00082414795,3.2520355e-05,1.0074611e-05,8.835654e-06,7.5705484e-06,0.000112104186,3.3804372e-05,7.829982e-05,0.0,2.281851e-05,0.0,2.9095654e-06,4.4811037e-05,5.6668423e-06,3.9144197e-05,0.0,3.5936166e-06,2.073226e-06,0.0,0.00015493023,1.9835621e-05,0.00013509461,9.075364e-06,5.032034e-06,2.1493784e-06,3.5788457e-06,-1.895
2,0.001140963,0.00012952097,0.001011442,7.3419316e-05,2.0483518e-05,3.2536166e-06,3.236451e-05,0.00016645923,5.3949596e-05,0.00011250963,1.19938795e-05,3.335953e-05,0.0,8.596183e-06,4.195107e-05,2.6692476e-06,3.9281826e-05,0.0,1.7636783e-06,9.0556927e-07,0.0,0.00022644195,4.089001e-05,0.00018555194,1.9844048e-05,1.1082837e-05,3.5104895e-06,6.4526334e-06,-1.825
3,0.0014512336,0.00019197582,0.0012592578,0.00011461162,2.6864576e-05,7.6274946e-06,4.2872136e-05,0.00021976102,5.654183e-05,0.00016321919,6.3607986e-06,2.7135313e-05,0.0,1.7834669e-05,6.102782e-05,9.5473215e-06,5.1480492e-05,2.8965906e-06,3.1722618e-06,0.0,3.4784691e-06,0.00022492539,5.004344e-05,0.00017488195,2.1082602e-05,6.647383e-06,3.2782336e-06,1.3872359e-05,-1.755
4,0.0016950311,0.00024917745,0.0014458536,0.00013625497,4.0567542e-05,8.10669e-06,6.0641632e-05,0.00035067226,0.00011016641,0.00024050585,1.50452e-05,4.5227036e-05,2.9848652e-06,3.3651362e-05,7.9873396e-05,1.4424254e-05,6.544914e-05,1.1238092e-05,0.0,3.1861623e-06,0.0,0.00037216675,6.8186e-05,0.00030398075,3.1357027e-05,2.153714e-05,0.0,1.529183e-05,-1.685
5,0.0024171155,0.00033249747,0.0020846177,0.00014652994,5.523137e-05,4.516586e-05,8.3257284e-05,0.00040652382,0.00016653459,0.00023998923,3.3351054e-05,8.544108e-05,1.3411894e-05,2.5533227e-05,0.0001322935,3.5306744e-05,9.698675e-05,1.1117384e-05,1.5048012e-05,2.6701714e-06,6.471177e-06,0.00036704965,4.6238274e-05,0.00032081138,2.2644243e-05,8.996874e-06,5.4525367e-06,9.144622e-06,-1.615
6,0.0026197373,0.00032002915,0.0022997083,0.00017240777,4.169177e-05,3.315409e-05,7.277552e-05,0.00046666025,0.00014536158,0.00032129866,1.4891528e-05,6.479714e-05,1.7930819e-05,4.7742087e-05,0.000107487234,2.4885969e-05,8.260127e-05,7.0817796e-06,1.4393405e-05,0.0,3.4107848e-06,0.00049158465,8.918817e-05,0.0004023965,3.702793e-05,3.2902517e-05,8.9746845e-06,1.0283044e-05,-1.545
7,0.0032806592,0.00041707186,0.0028635873,0.00018858953,8.085306e-05,3.7273367e-05,0.00010618403,0.0005527924,0.00018822134,0.00036457102,1.11705285e-05,0.00012188808,1.1083319e-05,4.4079407e-05,0.00015163566,4.566455e-05,0.00010597111,2.0585343e-05,1.168701e-05,6.8147665e-06,6.577431e-06,0.00060912315,0.000107769716,0.00050135347,4.1855223e-05,3.928938e-05,5.814205e-06,1.7842754e-05,-1.475
8,0.0040320186,0.0005388459,0.0034931726,0.0002564388,9.552772e-05,4.176725e-05,0.0001411754,0.0005892695,0.00016856231,0.0004207072,2.1406562e-05,9.562026e-05,1.1346636e-05,3.6208323e-05,0.00018207118,2.62954e-05,0.00015577578,5.6801164e-06,6.0125944e-06,2.9828561e-06,1.0575704e-05,0.00075528555,0.00012350974,0.00063177577,4.0391897e-05,3.434199e-05,1.7661849e-05,2.3866622e-05,-1.4049999999999998
9,0.0047104117,0.0005370984,0.0041733133,0.00025597968,7.680282e-05,4.325475e-05,0.0001610611,0.00094212405,0.00032840465,0.0006137194,3.433293e-05,0.00018945997,1.8721801e-05,7.462547e-05,0.00021717275,4.0664934e-05,0.00017650782,1.1094337e-05,1.5452235e-05,0.0,1.4118365e-05,0.000848626,0.00013491558,0.0007137104,4.1054882e-05,5.608722e-05,1.2316816e-05,2.545666e-05,-1.335
